Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Frank enacts Logan/Waystar’s wishes regardless of ethical considerations	Frank	Waystar stakeholders & affected public	70	15	Bandit	Advances his career by helping a harmful media empire despite ethical issues.
Frank works at Waystar long-term and rises high in the company hierarchy	Frank	Waystar stakeholders & affected public	80	20	Bandit	Personal success and status likely rely on complicity in corporate harms.
Frank participates in Kendall’s attempted coup against Logan	Frank	Logan	40	35	Stupid	He backs a failed move that gets him fired and destabilizes the firm with little upside for anyone.
Logan fires Frank to make way for Roman		Logan	Frank	75	10	Bandit	Logan consolidates power and promotes his son while discarding a loyal advisor.
Frank babysits Roman at work for months	Frank	Roman	20	40	Helpless	He endures a demeaning role that benefits Roman’s development more than his own standing.
Frank returns to the Roy orbit after being fired and remains trapped there	Frank	Frank	30	25	Stupid	He keeps reattaching himself to an abusive environment without meaningful gain.
Logan brings Frank back to negotiate with the Pierces		Logan	Frank	65	60	Intelligent	Logan leverages Frank’s charm to land a deal, restoring Frank’s position and serving corporate interests.
Frank negotiates the Pierces deal using his Shakespeare recitations	Frank	Pierces	75	65	Intelligent	He uses his cultural charm to secure a deal that benefits him and the company and seems acceptable to the Pierces.
Frank considers Logan’s offer to give him his job back	Frank	Frank	55	45	Helpless	Re‑engaging with Logan offers money and status but risks more exploitation and abuse.
Frank says he needs money “to pay someone to kill a guy in Palermo”	Frank	Gerri (as audience)	55	50	Intelligent	It’s snark rather than literal planning, giving him comic relief with no real consequence described.
Frank goes behind Logan’s back multiple times	Frank	Logan	45	35	Stupid	His disloyal maneuvers risk his own job and don’t produce lasting gains or system improvement.
Frank repeatedly delivers Kendall back into Logan’s hands after backing him	Frank	Kendall	40	20	Bandit	He preserves his place with Logan by sacrificing Kendall’s autonomy and leverage.
Frank serves as a consigliere and offers reasoned advice to Logan	Frank	Logan	70	60	Intelligent	His counsel strengthens Logan’s decisions and secures his own value as an advisor.
Frank “feeds the piggies” during “Boar on the Floor” despite disgust	Frank	Humiliated employees	60	5	Bandit	He preserves his standing with Logan by participating in a degrading ritual that harms others.
Frank does nothing to stop Karl from mocking Roman’s crying but is disgusted	Frank	Roman	50	30	Helpless	His inaction preserves his low-profile safety but fails to protect Roman from ridicule.
Frank lets the Roys run roughshod over him without responding	Frank	Roy family	25	45	Helpless	He accepts abuse and diminished dignity while keeping nominal access and employment.
Frank does not respond to Roman’s insults and ouster attempts	Frank	Roman	35	55	Helpless	His restraint prevents escalation and protects Roman’s status while lowering his own.
Frank wants in on Kendall’s proxy battle as soon as he hears the plan	Frank	Existing Waystar power structure	75	25	Bandit	He seeks personal gain and a bigger cut, increasing corporate chaos and risk for others.
Frank gives Kendall flying lessons and acts as a kinder parental substitute	Frank	Kendall	65	80	Intelligent	He invests time and mentorship in Kendall, building mutual trust and emotional benefit.
Frank serves evil ends at Waystar but avoids direct fraud or abuse	Frank	Waystar victims & public	55	35	Bandit	He keeps his job in a harmful system while personally abstaining from its worst acts.
Frank reminds everyone in the finale that selling to Matsson is a good deal	Frank	Waystar shareholders	70	65	Intelligent	He advocates for a financially sound sale that secures value for himself and other stakeholders.
Frank uses cutting, dry snark in conversation	Frank	Colleagues	60	55	Intelligent	His wit eases tension and maintains rapport with minor risk.
Frank asks Karl “Are you now, or have you ever been, a member of the Cruise Dirty Sex Fuck Cover-up Party?”	Frank	Karl	60	40	Bandit	The joke asserts his moral distance and status while poking at Karl’s complicity.
Frank offers rational appraisals and sensible solutions as the “Straight Man”	Frank	Decision-makers at Waystar	70	65	Intelligent	His level-headed input improves decisions and reinforces his utility.
Frank silently witnesses Logan scorning his children while he keeps working	Frank	Roy children	35	20	Bandit	He safeguards his role by not intervening, effectively enabling Logan’s emotional abuse.
Frank does nothing to help the kids when they beg Logan and Caroline not to leave them in the dust	Frank	Roy children	30	15	Bandit	He protects his alignment with Logan at the expense of the children’s already fragile position.
Frank sides against the siblings in favor of selling the company to Matsson	Frank	Roy siblings	75	35	Bandit	He backs a sale that’s good business and good for him while undermining the siblings’ control and ambitions.
