Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Turns a blind eye to Bart and Lisa’s struggles	Marge	Bart and Lisa	40	15	Stupid	Ignores her kids’ problems, gaining little while their well‑being suffers.
Is emotionally neglectful/abusive even to Maggie	Marge	Maggie	35	10	Stupid	Harms infant’s emotional security without any shown benefit to herself.
Throws vodka in Maggie’s face	Marge	Maggie	5	0	Stupid	Direct severe harm to baby with no benefit.
Becomes a police officer	Marge	Springfield public	70	75	Intelligent	Gains career and purpose while helping community safety.
Becomes a bodybuilder	Marge	Herself/Family	65	55	Intelligent	Improves her own strength/confidence and indirectly benefits family protection.
Wins an MMA match	Marge	MMA opponent/audience	60	55	Intelligent	Gains achievement and confidence in a consensual sport that entertains others.
Saves Homer when he fails to save her	Marge	Homer	80	85	Intelligent	Risks herself but preserves spouse, strengthening their bond.
Embarrasses her kids in public	Marge	Bart and Lisa	55	35	Bandit	Enjoys or ignores behavior that amuses her but socially harms children.
Allows Homer’s antics with only mild nagging	Marge	Homer and family	40	20	Stupid	Spares herself confrontation short‑term while enabling chaos that hurts everyone.
Lets religious views cloud judgment, becoming narrow‑minded	Marge	Those she judges	40	30	Stupid	Slight self‑validation while restricting or harming others’ choices.
Shames entire town for driving Bart to suicide attempt	Marge	Springfield citizens	70	40	Bandit	Defends son and self‑respect but harshly humiliates community.
Loses temper and attacks Ned with a broken bottle, stabbing him	Marge	Ned	10	5	Stupid	Extreme violence from frustration injures another and risks ruin for her.
Decides to buy deviled ham for “adrenaline”	Marge	Simpson family	55	55	Intelligent	Minor novelty that slightly improves her enjoyment and family variety.
Obsesses over her wasted potential and lives vicariously through Lisa	Marge	Lisa	35	30	Stupid	Feeds her own neurosis and pressures Lisa, undermining both.
Dyes her prematurely gray hair blue and keeps doing so	Marge	Herself	60	50	Intelligent	Improves self‑image with little clear effect on others.
Goes fully gray then back to dye to combat jealousy issues	Marge	Herself/Other women	45	45	Helpless	Appearance changes don’t resolve insecurity and have no clear benefit.
Home-schools Bart and improves his performance	Marge	Bart	80	85	Intelligent	Invests effort and gains pride while Bart’s education improves.
