Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Kelso cheats on Jackie with Pam Macy in Season 1	Kelso	Jackie	60	10	Bandit	Gains sexual gratification while seriously harming his relationship with Jackie.
Kelso cheats on Jackie with Laurie in Season 2	Kelso	Jackie	55	5	Bandit	Short-term pleasure and ego boost at the cost of deep betrayal and long-term fallout.
Kelso repeatedly has “a little action on the side” while with Jackie	Kelso	Jackie	58	8	Bandit	Continues to seek extra affairs for pleasure while compounding harm to Jackie and their relationship.
Kelso initially wants nothing to do with Brooke’s child	Kelso	Brooke and unborn child	40	10	Bandit	Tries to avoid responsibility and stress at the expense of Brooke’s burden and the child’s support.
Kelso eventually comes to accept his child	Kelso	Brooke and child	80	80	Intelligent	Accepting fatherhood improves his own growth and provides care and support for the child and Brooke.
Kelso sends Brooke to the hospital when needed	Kelso	Brooke	75	85	Intelligent	Acting responsibly in a medical situation protects Brooke and reinforces his own responsible role.
Kelso finds a job so his daughter has someone to look up to	Kelso	His daughter	85	90	Intelligent	Employment and modeling responsibility benefit his life stability and his daughter’s well-being.
Kelso dials down his pervertedness because of his daughter	Kelso	Women around him / his daughter	70	75	Intelligent	Reining in behavior improves his maturity and provides a safer, more respectful environment for others.
Kelso refuses to grope Donna’s breasts when given the opportunity	Kelso	Donna	70	80	Intelligent	He sacrifices short-term gratification to respect Donna and his new standards, helping both of them.
Kelso sells out Hyde to Red over the stash	Kelso	Hyde	65	5	Bandit	Tries to save himself from trouble by blaming Hyde, exposing Hyde to harm.
Kelso adds Fez to the blame “just for the hell of it”	Kelso	Fez	55	0	Stupid	Gains no extra protection but deliberately drags Fez into trouble, purely harming others.
Kelso paid for and hid the stash in the cabin	Kelso	Himself and friends	45	25	Bandit	Gets access to drugs and fun but increases legal and parental risk for everyone including himself.
Kelso constantly sells out friends to save himself	Kelso	Friend group	60	15	Bandit	Repeatedly avoids consequences personally while making others bear more of the cost.
Kelso is crazy jealous of Jackie while constantly cheating on her	Kelso	Jackie	50	20	Bandit	Demands exclusivity while violating it, gaining ego reassurance while increasing emotional harm and conflict.
Kelso stops apologizing for cheating, claiming it as a response to Jackie’s treatment	Kelso	Jackie	55	25	Bandit	Protects his ego and avoids remorse while further invalidating Jackie’s feelings and normalizing harm.
Kelso makes Kelso wear a summer dress and makeup (accepting Jackie’s fetish request)	Kelso	Jackie	70	70	Intelligent	He indulges her preference in a playful way that amuses him and pleases her.
Kelso warns Eric that Casey is bad news	Kelso	Eric	75	85	Intelligent	His warning costs him nothing and helps Eric avoid or reassess a harmful relationship.
Kelso is the only one besides Eric to speak poorly of Casey and Donna’s relationship	Kelso	Eric	70	80	Intelligent	Backing Eric with honest criticism strengthens Eric’s position and their friendship.
Kelso gets angry at Jackie for dating Hyde despite his own repeated cheating	Kelso	Jackie and Hyde	40	20	Bandit	Hypocritical jealousy momentarily flatters his ego but strains others with little gain to him.
Kelso agrees Nina’s racist parents are jerks	Kelso	Fez and Nina	65	75	Intelligent	Offers moral support and validation that helps the couple with no downside for himself.
Kelso gives Fez and Nina a congratulatory fist pump as they go to have sex on her parents’ bed	Kelso	Fez and Nina / Nina’s parents	60	40	Bandit	Supports his friends’ act of revenge and mischief, benefiting them while encouraging petty harm to the parents.
Kelso proudly yells “Burn!” at everyone after Brooke says she needs to talk about their night	Kelso	Friend group	55	30	Bandit	Boosts his ego and status as a stud while mildly humiliating friends.
Kelso then announces “We totally did it!” to everyone	Kelso	Brooke	50	20	Bandit	Brags about the encounter for social capital while undermining Brooke’s privacy and dignity.
Kelso immediately denies touching Brooke after she reveals she’s pregnant	Kelso	Brooke and friends	30	15	Bandit	Attempts to dodge massive responsibility but destroys his credibility and offers little real protection.
Kelso boasts constantly about how hot he is	Kelso	Others around him	60	45	Bandit	Ego inflation and self-confidence for him, but mild annoyance and self-comparison costs to others.
Kelso becomes a police officer specifically for the uniform prolonging his beauty	Kelso	Public / coworkers	70	40	Bandit	Gains a stable job and image-boost, but his motivation and incompetence reduce potential service to others.
Kelso refuses to let people do anything sexual in the circle	Kelso	Friend group	55	60	Intelligent	Protects a shared space’s comfort and ritual value while only slightly frustrating his own oversexed preferences.
Kelso has sex in a church	Kelso	Church community	60	25	Bandit	Personal pleasure with disrespect to a sacred space and those who value it.
Kelso has sex in a cemetery	Kelso	Bereaved/public	60	20	Bandit	Again gains pleasure while trivializing a place of mourning, causing symbolic harm.
Kelso shaves his mustache into a Hitler look (by allowing it, then complaining)	Kelso	Himself	20	40	Helpless	He ends up humiliated and associated with Hitler, giving others amusement more than any benefit to him.
Kelso pushes Jackie aside in fear when he thinks a vengeful spirit is present	Kelso	Jackie	50	10	Bandit	He slightly increases his own immediate safety at the cost of Jackie’s safety and feelings.
Kelso dreams of another Kelso sponge bathing him	Kelso	Himself	65	55	Intelligent	It’s pure fantasy self-indulgence that amuses him without harming anyone.
Kelso starts a fire at the police academy through negligence	Kelso	Police academy / himself	10	10	Stupid	Damages property and risks his own position without any benefit.
Kelso tells friends the fire isn’t his fault while describing how he caused it	Kelso	Friend group	30	30	Stupid	Denial protects his ego only superficially and makes him look worse to everyone.
Kelso repeatedly does dangerous stunts like “car skiing” and constantly injures himself	Kelso	Himself	15	40	Helpless	He risks and harms his body for fleeting thrills and laughs for others.
Kelso falls off the water tower once a year	Kelso	Himself	10	35	Helpless	Recurring severe risk and injury for minimal amusement, mainly entertaining onlookers.
Kelso jumps out of a moving car	Kelso	Himself	20	35	Helpless	He endangers himself badly for very little lasting benefit, mostly creating a spectacle.
Kelso sets himself on fire regularly through moronic stunts	Kelso	Himself	10	35	Helpless	He gets physical harm and embarrassment while giving others entertainment.
Kelso frequently hurts his eye when he does something stupid	Kelso	Himself	20	40	Helpless	His own idiocy repeatedly injures him while others primarily get comedic value.
