Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Hughie accidentally cheats on Annie for 10 days with a shapeshifter posing as her	Hughie	Annie	25	5	Stupid	Hughie gains limited short-term pleasure but destroys trust and emotionally harms Annie while himself ending up traumatized.
Hughie initially refuses to trust Billy after his return	Hughie	Billy	52	60	Intelligent	His suspicion protects the group from blindly following Butcher and carries little downside once Butcher proves himself.
Hughie changes his mind after Billy sacrifices himself to save Hughie	Hughie	Billy	70	70	Intelligent	Updating his judgment based on Billy’s demonstrated loyalty strengthens their alliance to mutual benefit.
Hughie fights back against supes alongside The Boys	Hughie	Supes in general	72	55	Intelligent	He risks himself to challenge abusive power structures, benefiting victims of supes more than himself.
Hughie puts on Webweaver’s costume as a disguise at Tek Knight’s party	Hughie	Tek Knight’s security/social circle	60	55	Intelligent	The disguise advances his infiltration mission with modest risk and potential upside against Tek Knight.
Hughie reflects that working a year under Neuman was a waste once he learns she served Vought	Hughie	Himself/Neuman	35	30	Helpless	His year of effort harmed his own cause while propping up Neuman’s sham reform.
On a date, Hughie tells Starlight to stop pretending to be weaker at bowling	Hughie	Starlight	78	82	Intelligent	His honesty improves their intimacy and lets Annie be herself with no real downside.
Hughie later tells Starlight he feels emasculated by her	Hughie	Starlight	45	40	Helpless	His confession, colored by Temp-V, strains their relationship more than it helps his insecurity.
Hughie clings to people and refuses to give up on them even when he has reason to	Hughie	Friends/partners	40	60	Helpless	His over-attachment stabilizes others but leaves him emotionally dependent and vulnerable.
Hughie acknowledges his unhealthy attachment and starts trying to stand on his own	Hughie	Himself	80	70	Intelligent	Recognizing and working on his issues improves his autonomy and makes relationships healthier.
Hughie screams “Sorry!” while shooting someone in self-defense	Hughie	Attacker	60	45	Intelligent	He preserves his life in a justified kill, with moderate collateral harm but no better option given the threat.
Hughie apologizes as he punches through a Russian soldier’s chest on Temp-V	Hughie	Russian soldier	62	20	Bandit	He lethally protects himself/mission at the cost of a soldier’s life, gaining survival and agency.
Hughie disguises himself as Webweaver at Tek Knight’s party to gather intel	Hughie	Tek Knight	65	55	Intelligent	The undercover op could secure valuable information, despite personal risk and humiliation.
Hughie performs sexual acts to maintain his Webweaver cover	Hughie	Ashley/Tek Knight	25	20	Helpless	He endures serious personal violation for a mission that collapses anyway, sparing others little.
Hughie is tortured and nearly raped by Tek Knight until Annie and Kimiko rescue him	Tek Knight	Hughie	5	5	Stupid	Tek inflicts extreme harm on Hughie for sadistic gratification, provoking more opposition without benefit.
Hughie has sex with someone he believes is Annie, who is actually a shapeshifter	Hughie	Shapeshifter/Annie	30	15	Helpless	He unknowingly participates in a non-consensual setup that traumatizes him and damages Annie.
Hughie detonates the bomb in Translucent’s anus after appearing to let him go	Hughie	Translucent	72	25	Bandit	The kill removes a lethal enemy and empowers Hughie but leaves a child fatherless and escalates violence.
