Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Quark shouts that rejected women have “latent attraction” to him	Quark	Women he hits on / bystanders	55	35	Bandit	He preserves ego and image with a self-serving lie that embarrasses targets and misleads listeners.
Quark, under Xanthi fever, makes moves on Keiko	Quark	Keiko	20	15	Stupid	He gains nothing, risks social and physical repercussions, and distresses Keiko and Miles.
Miles drags Quark away by his ears	Miles O’Brien	Quark	60	70	Intelligent	Miles protects his wife and stops Quark’s behavior with minimal lasting harm.
Quark accidentally kills a Klingon woman’s husband	Quark	Klingon husband / wife	25	10	Stupid	He provokes lethal conflict and social fallout without any intentional benefit to himself.
Quark marries the Klingon woman at knife-point	Quark	Klingon wife	40	40	Helpless	He is coerced into marriage, but it later works somewhat in his favor and hers.
Quark chooses running a bar over more impersonal crime (e.g., arms dealing)	Quark	Customers / station community	70	75	Intelligent	He picks a profitable, somewhat legitimate role that also provides a social hub.
Quark sells weapons using holosuites and salesmanship	Quark	Weapon buyers / their victims	80	10	Bandit	He profits heavily by enabling violence that will kill or harm others.
Quark leaps into the path of a knife to protect his Dabo girls	Quark	Dabo girls	30	85	Helpless	He seriously risks himself to save employees with little or no clear personal gain beyond conscience.
Quark initially refuses Rom time off for life‑threatening ear infection	Quark	Rom	20	15	Stupid	He endangers a key employee’s life to avoid short-term inconvenience, which could also damage his own business.
Quark secretly cuts everyone’s salary to avoid firing staff	Quark	Employees	60	60	Intelligent	He preserves his business and everyone’s jobs at reduced pay, balancing his and their interests.
Quark only takes 30% of staff tips and gives vacations	Quark	Employees	65	70	Intelligent	He sacrifices some profit to keep staff motivated and loyal, helping both sides.
Quark and his recruits lure a Vorta to Empok Nor and trick him into sending away backup	Quark	Vorta / Dominion	70	25	Bandit	He outwits the enemy to advance his side’s goal while harming the Dominion forces.
Quark’s team kills two Jem’Hadar guards	Quark	Jem’Hadar	60	30	Bandit	He removes enemy soldiers, helping his faction but directly harming the targets.
Quark’s team captures the Vorta and hands him to the Federation	Quark	Federation / Vorta	65	75	Intelligent	He gains favor and safety with the Federation by delivering a valuable prisoner, helping their war effort.
Quark risks his life when Rom is to be executed by the Dominion	Quark	Rom	30	80	Helpless	He endangers himself primarily to save his brother with little clear material gain.
Quark hits on many different species	Quark	Potential partners	55	45	Bandit	He pursues his own pleasure, often ignoring interest or comfort of others.
Sisko blackmails Quark into staying on the station for Nog’s sake	Sisko	Quark	65	70	Intelligent	Sisko secures a needed community figure and keeps Nog out of jail, while Quark retains his livelihood.
Quark acts as an informant for Odo after Worf ruins a sting	Quark	Odo / station security	60	75	Intelligent	He protects himself and earns leniency while providing valuable intel.
Quark protects a Dabo girl from an assaulting drunk customer	Quark	Dabo girl	55	80	Intelligent	He risks some harm to defend an employee while also protecting his bar’s environment.
Quark prioritizes business over girlfriends, burning through relationships	Quark	Girlfriends	70	30	Bandit	He gains business advantages but damages others’ emotional well-being and his own relationships.
Quark drags Odo up an icy mountain, refusing to give up	Quark	Odo	40	25	Bandit	He endangers both mainly to spite Odo and protect his own legacy, offering little benefit to Odo.
Quark, stranded, refuses to die and works to signal for help to spite Odo	Quark	Quark	75	55	Intelligent	His spite-driven determination ultimately improves both his own survival chances and Odo’s.
Quark smuggles, sells weapons to the Maquis, and disables the station’s warning system	Quark	DS9 / Federation	30	10	Stupid	He pursues profit through actions that nearly lead to catastrophe, risking himself along with everyone else.
Quark risks his life to atone when Jadzia is endangered by his scheme	Quark	Jadzia	35	80	Helpless	He takes on major risk mainly to repair harm he caused, strongly benefiting her.
Quark makes a sexual hologram of Kira without permission	Quark	Kira	45	10	Bandit	He gratifies himself at her expense, violating her privacy and dignity.
Quark joins Ziyal to free Kira and Rom by holding Jem’Hadar at gunpoint	Quark	Kira and Rom	40	85	Helpless	He gravely endangers himself to rescue others from certain death.
Quark goes into business with his cousin Gaila the arms dealer	Quark	Gaila’s customers / victims	75	15	Bandit	He seeks large profits by assisting mass-death arms dealing.
Quark ultimately wrecks Gaila’s arms business on principle	Quark	Potential victims of weapons	30	90	Helpless	He sacrifices a lucrative opportunity to prevent massive future casualties.
Quark sells food cheaply to Bajoran refugees during the occupation	Quark	Bajoran refugees	60	85	Intelligent	He still profits while significantly easing suffering, building goodwill and future favors.
Quark furnishes Bajorans alibis for a price	Quark	Bajorans	70	70	Intelligent	He makes money while helping them avoid Cardassian punishment.
Quark “beats” Odo when Odo feigns not noticing his gemstone smuggling	Quark	Odo / law	65	35	Bandit	He profits from smuggling, while eroding law enforcement and security.
Quark sabotages Nog’s Starfleet entry exam to “help” him	Quark	Nog	25	20	Stupid	He undercuts Nog’s ambitions and prospects while gaining no clear benefit himself.
Quark guns down Jem’Hadar soldiers to protect comatose Nog	Quark	Nog	55	80	Intelligent	He risks himself but successfully defends his injured nephew and allied soldiers.
Quark sells supplies “just above cost” to Bajorans during the occupation	Quark	Bajoran buyers	65	80	Intelligent	He earns modest profit while materially helping oppressed locals.
Quark spies for the DS9 resistance during the Dominion occupation	Quark	DS9 resistance	60	85	Intelligent	He risks moderate danger but meaningfully aids the anti-Dominion effort.
Quark is willing to die rather than break a Rule of Acquisition	Quark	Quark	10	40	Helpless	He seriously harms his own survival for abstract principle that offers little direct benefit to others.
Quark fights an effectively suicidal Klingon duel to uphold honor	Quark	Klingon audience / House	30	60	Helpless	He risks death to expose injustice and uphold perceived honor, benefiting Klingon politics more than himself.
Quark initially accepts Dominion occupation because business is good	Quark	Station population	60	30	Bandit	He adjusts to profit despite others’ oppression and fear.
Quark later denounces the Dominion/ Cardassian presence that hurts his business	Quark	Occupiers	55	45	Bandit	He primarily complains because they damage his profits, though this aligns somewhat with local interests.
Quark speaks out in defense of Odo when Odo is framed for murder	Quark	Odo	55	80	Intelligent	He risks social friction to support an innocent adversary, strengthening justice and their relationship.
Quark out-argues others with his “Root Beer” speech and similar advice	Quark	Conversation partners	65	75	Intelligent	He gains influence and respect by providing honest, insightful counsel.
Quark risks his life to help Jadzia after putting her in danger	Quark	Jadzia	35	80	Helpless	He takes major risk to repair harm he caused, primarily benefiting her.
Quark later risks his life aiding Kira’s resistance cell in season 6	Quark	Kira / resistance	40	85	Helpless	He enters serious danger to assist their cause more than his own profit.
Quark refuses to sell maraji crystals because Cardassians hate them and Bajorans can’t afford them	Quark	Bajorans / station community	65	80	Intelligent	He avoids a risky, immoral trade that would harm poor Bajorans while offering limited profit.
Quark sells food cheaply to Bajorans during Cardassian occupation (reiterated)	Quark	Bajorans	65	85	Intelligent	He creates goodwill and modest income while easing hardship.
Quark denies gouging during occupation but implies he could have	Quark	Bajorans	60	75	Intelligent	His pricing still favors Bajorans compared to his alternatives, benefiting them while he profits.
Quark gives Nog the day off in an alternate timeline so Nog can comfort Jake	Quark	Nog and Jake	70	85	Intelligent	He sacrifices business during a busy time to support family emotional needs.
Quark is repeatedly caught lawbreaking but repeatedly forgiven	Quark	Station authorities	55	55	Intelligent	He leverages contrition and usefulness to reset his position without major lasting loss to others.
Quark uses his bar to gather business intel on wormhole traffic	Quark	Customers	70	55	Intelligent	He profits from information while usually not significantly harming patrons.
Quark spies for the resistance during Dominion occupation using bar intel	Quark	Dominion / Cardassians	60	80	Intelligent	He turns his information network to the locals’ advantage against occupiers.
Quark smuggles supplies to Bajorans at “just above cost”	Quark	Bajorans	65	85	Intelligent	He profits while significantly helping an oppressed group.
Quark abandons his bar during an attack to search for Rom	Quark	Rom	35	75	Helpless	He risks business losses and some personal safety due to concern for his brother.
Quark welcomes Ezri Dax warmly when others are unsure	Quark	Ezri	60	80	Intelligent	He builds rapport and goodwill with a new senior figure at little cost to himself.
Quark temporarily becomes Nagus and adopts a “crime boss” aesthetic	Quark	Ferengi community	55	50	Bandit	He enjoys prestige and possible profit, but his self-aggrandizement carries little broad benefit.
Quark maintains a legitimate bar during war that becomes a “Bad Guy Bar”	Quark	Various patrons	60	40	Bandit	He profits from whoever is in power, including occupying forces whose presence harms others.
Sisko keeps Quark operating to anchor the community and merchant traffic	Sisko	Station community	80	80	Intelligent	Sisko’s support benefits the station’s economy and cohesion and keeps Quark successful.
Quark cuts hours/salaries instead of firing half his staff	Quark	Employees	65	65	Intelligent	He spreads hardship to keep everyone employed, serving both his interests and theirs.
Quark provides good advice even to people he dislikes	Quark	Advice seekers	65	80	Intelligent	He gains soft power and goodwill while genuinely helping others think clearly.
Quark defies the Dominion and frees Kira & Rom at gunpoint (repeated)	Quark	Kira and Rom	40	85	Helpless	Again, he risks his life more than he gains materially, heavily helping them.
Quark resents Ferengi cowardice reputation and often risks himself	Quark	Quark	45	70	Helpless	He incurs danger to prove a point and align with his values, modestly inspiring or aiding others.
Quark is willing to be killed by Garak to avoid breaking a Rule	Quark	Quark	10	45	Helpless	His extreme adherence to principle would destroy his future with little benefit beyond example.
Quark impresses Klingon elites by accepting a nearly suicidal duel	Quark	Klingon leadership	35	65	Helpless	He earns honor for them and his ally’s House while greatly risking his own life.
Quark plans to turn down Grand Nagus job unless reforms are rolled back	Quark	Ferengi Alliance	25	30	Stupid	He’s ready to sacrifice immense power and wealth for a stance that even contradicts his stated values, helping no one clearly.
Quark rejects Gaila’s original offer to go into business with him	Quark	Quark	30	50	Helpless	He passes on what would have been enormous wealth, gaining no clear offsetting benefit.
Quark copies Karemma technology for his franchise and gets caught	Quark	Karemma / Tendi & Rutherford	35	20	Stupid	He risks legal penalties and harms others, ending forced profit surrender and near-abduction.
Quark agrees to give 76% of profits to the Karemma to avoid jail	Quark	Karemma	25	70	Helpless	He loses most of his earnings but compensates those he wronged and secures his freedom.
Quark continues expanding his branded franchise despite setbacks	Quark	Customers / partners	75	65	Intelligent	He builds a large, mostly legitimate network that benefits him financially and others commercially.
Quark works as an information/broker “anchor” at DS9’s wormhole	Sisko & Zek	Quark	80	80	Intelligent	They recognize and enable his role, mutually increasing his power and their strategic advantage.
Quark chooses to avoid violence more often than other Ferengi	Quark	General public	65	70	Intelligent	His nonviolent methods reduce overt harm while still letting him succeed.
Quark sabotages a weapons deal that would kill 22 million, risking his life	Quark	Potential civilian victims	30	95	Helpless	He sacrifices his own safety and profit to prevent mass slaughter.
Quark openly threatens Brunt that he won’t walk out of the bar next time	Quark	Brunt	55	45	Bandit	He asserts deterrent dominance, intimidating an enemy more than helping others.
Quark often endangers DS9 with illegal deals (e.g., smuggling Verad aboard)	Quark	Station crew	25	10	Stupid	He profits short-term while nearly causing catastrophic losses for himself and everyone else.
Quark routinely blames Rom for anything going wrong via contract clauses	Quark	Rom	65	25	Bandit	He shields himself from legal and social consequences at his brother’s expense.
Rom ultimately leaves the bar to become an engineer	Rom	Quark	75	60	Intelligent	Rom improves his own life and reduces Quark’s exploitative hold, though Quark loses a key worker.
FCA liquidates Quark’s bar and bans him for not being “Ferengi enough”	Ferengi Commerce Authority	Quark	10	20	Stupid	They severely harm his livelihood over ideological purity, gaining little systemic benefit.
Brunt strips Quark of his license for breaking a contract	Brunt	Quark	20	35	Bandit	Brunt enforces rules and hurts Quark, but gains mainly satisfaction and status, not broad benefits.
Quark risks his life protecting a Dabo girl from a drunk and gets stabbed	Quark	Dabo girl	25	85	Helpless	He suffers serious harm to defend her, with little tangible gain to himself.
Quark refuses to sell maraji crystals during the occupation	Quark	Bajorans	65	80	Intelligent	He avoids a lucrative but destructive trade, protecting vulnerable locals.
Quark continues professional flattery and sucking up to Zek	Quark	Zek	60	40	Bandit	He cultivates potential patronage at the cost of his dignity, with little benefit to others.
Quark writes groping of Dabo girls into their contracts	Quark	Dabo girls	70	15	Bandit	He secures sexual access as a “job term,” benefiting himself while clearly exploiting them.
Quark writes a clause that Rom is responsible for anything going wrong	Quark	Rom	70	20	Bandit	He shifts risk and blame away from himself, harming Rom’s security and reputation.
Quark helps Kira, Jadzia, and other strong women respectfully over time	Quark	Various women	60	75	Intelligent	He develops cooperative, respectful ties that benefit his business and their missions.
Quark defends Odo if others attack him verbally or unjustly	Quark	Odo	60	80	Intelligent	He strengthens an adversarial friendship and supports justice, improving both their positions.
Quark stays on DS9 to keep Nog out of jail	Quark	Nog	55	75	Intelligent	He sacrifices his own desire to leave, preserving his nephew’s future and keeping his business.
