Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Saves six towns from bankruptcy as auditor	Ben	Towns he audits (including Pawnee)	92	96	Intelligent	He advances his career/reputation while preventing multiple municipalities from going bankrupt.
Takes to new Pawnee job “like a duck to water”	Ben	Pawnee government	88	90	Intelligent	His strong performance benefits his own career and materially helps the town function.
Acts as initial “Bait-and-Switch Tyrant” toward Leslie	Ben	Leslie	55	40	Bandit	His cold cynicism protects his professional stance but initially harms Leslie’s perception and comfort.
Serves as Bearer of Bad News for Chris	Ben	Departments receiving cuts	70	35	Bandit	He enjoys and professionally benefits from delivering painful information that harms others’ interests.
Delivers brutally honest assessments	Ben	People receiving assessments	78	65	Intelligent	His frank evaluations improve decisions for others while reinforcing his own effectiveness and reputation.
Creates “Cones of Dunshire” with punishing complexity	Ben	Players of his games	75	40	Bandit	He indulges his design preferences and fun at the cost of accessibility and enjoyment for most others.
Gets blackout drunk and drunk-dials Jenn to run for Congress	Ben	Ben’s own campaign prospects	20	45	Helpless	He endangers his own image via drunken calls while incidentally offering substantive policy ideas to Jenn.
Struggles to confront April and Andy while rooming	Ben	Ben himself	30	55	Helpless	His non‑confrontation harms his own comfort while allowing his friends to continue without friction.
Keeps personal/family problems bottled up	Ben	Ben himself	25	50	Helpless	His conflict‑avoidant style primarily damages his own emotional health without significantly helping or hurting others.
Builds expensive winter sports center as teen mayor	Ben	Town of Partridge	10	5	Stupid	His project bankrupts the town, destroying his own career and harming the entire community.
Chooses to work as state auditor to atone for Ice Town	Ben	Towns he audits	80	90	Intelligent	He turns his failure into a career that both redeems him and materially helps other municipalities.
Never makes fun of Garry	Ben	Garry	80	85	Intelligent	He maintains his integrity and relationships while sparing Garry mistreatment.
Helps Leslie organize a fair to raise money for Pawnee	Ben	Pawnee residents	85	88	Intelligent	He gains professional and relational capital while raising funds for the town.
Kicks Andy and April into becoming more responsible	Ben	Andy and April	78	82	Intelligent	He invests effort to improve his roommates’ responsibility, benefiting them and stabilizing his own living situation.
Becomes Leslie’s supportive husband	Ben	Leslie	95	95	Intelligent	Their mutually supportive marriage greatly benefits both of them with no indicated downside to others.
Softens socially due to Leslie and friends	Ben	Ben’s social circle	85	80	Intelligent	His growth improves his own happiness and his relationships with others.
Proudly embraces geeky culture despite mockery	Ben	Ben himself	78	60	Intelligent	Owning his identity boosts his self‑esteem and has at worst neutral, sometimes positive, effects on others.
Forms close friendships with Tom, Andy, and Chris	Ben	Tom, Andy, Chris	88	88	Intelligent	These strong bonds enrich both his life and his friends’ lives.
Publicly states that Garry is his friend and defends him	Ben	Garry	82	90	Intelligent	He risks mild social pushback to meaningfully support and humanize Garry.
Decides to resign when dating Leslie breaks workplace rules	Ben	Ben’s own career	22	75	Helpless	He sacrifices his job and status to protect Leslie and uphold the rule framework.
Bribes an electrician to keep their relationship secret	Ben	Ethical/legal norms of workplace	40	20	Bandit	The cover‑up preserves their positions short‑term but risks legal/ethical consequences and public trust.
Takes full blame at the hearing and resigns “in disgrace”	Ben	Ben himself	10	80	Helpless	He severely harms his own career and reputation to shield Leslie and minimize damage to others.
Leaves Pawnee job and becomes Leslie’s campaign manager	Ben	Leslie’s council campaign	70	88	Intelligent	He trades one stable role for another that advances both her career and his own political experience.
Accepts Jen Barkley’s offer to manage a senator’s campaign	Ben	Senator’s campaign	82	80	Intelligent	He gains higher‑level political experience while helping the senator’s bid.
Returns to Pawnee to manage Sweetums’ Charity Foundation	Ben	Sweetums Charity Foundation	78	75	Intelligent	He secures meaningful work for himself while contributing managerial skill to the charity.
Loses Sweetums job when Leslie speaks out and stays with her	Ben	Ben himself	40	70	Helpless	He accepts career loss connected to Leslie’s stance, prioritizing integrity and relationship over his own job security.
Takes over as City Manager when Chris leaves	Ben	Pawnee government	90	92	Intelligent	He gains a powerful, stable role while providing highly competent leadership for the town.
Begins a bid to run for Congress	Ben	Constituents in his district	88	85	Intelligent	He seeks higher office, benefiting his own ambitions while offering serious, policy‑oriented leadership to voters.
Accepts or pursues a chance to run for governor	Ben	State residents	90	88	Intelligent	His candidacy advances his career and potentially delivers competent governance at the state level.
Repeatedly takes and then leaves the accounting‑firm job	Ben	Accounting firm	55	40	Bandit	He uses the firm as a fallback, gaining income and security while inconveniencing the firm with repeated departures.
Overworks and becomes “wildly, insanely” depressed when idle	Ben	Ben himself	35	55	Helpless	His workaholism and inability to rest undermine his own mental health more than anyone else’s.
