Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Cersei treats the common folk of King’s Landing with haughty contempt	Cersei	Common folk of King’s Landing	40	20	Bandit	She gratifies her ego while worsening her popularity and their welfare.
Cersei spoils Joffrey and fills his head with nonsense about his strength	Cersei	Joffrey	30	10	Stupid	Her indulgence feeds his cruelty and incompetence, eventually harming her and many others.
Cersei neglects Myrcella in favor of Joffrey	Cersei	Myrcella	35	20	Stupid	She emotionally abandons a decent child, gaining nothing long-term and weakening family bonds.
Cersei orchestrates the mass murder at the Sept knowing Tommen’s wife will die	Cersei	Tommen and people in Sept	10	5	Stupid	She gains the throne but loses her last child and isolates herself, while killing many.
Cersei shows no remorse for Tommen’s suicide and makes his death about herself	Cersei	Tommen’s memory	20	10	Stupid	She preserves her self-image at the cost of any remaining empathy or alliance with Jaime.
Cersei uses her (possibly unreal) pregnancy to gain sympathy from Jaime and Tyrion	Cersei	Jaime and Tyrion	60	30	Bandit	She secures emotional leverage and political protection while misleading others.
Cersei continues drinking while pregnant, ensuring fetal damage	Cersei	Unborn child	5	5	Stupid	She endangers her own heir and health for short-term comfort.
Cersei supports Qyburn’s unethical experiments and grants him patronage	Cersei	Qyburn’s victims / realm	45	20	Bandit	She gains monstrous tools like undead Gregor at the cost of legitimizing dangerous science.
Cersei empowers Gregor Clegane to retain and use his “killing power”	Cersei	Her enemies and bystanders	50	10	Bandit	She gains a terror weapon but increases indiscriminate brutality that destabilizes her rule.
Qyburn tends Cersei’s bloodied feet after her Walk of Shame	Qyburn	Cersei	55	70	Intelligent	He preserves his patron’s health, strengthening his own position and helping her recover.
Cersei drinks heavily during Stannis’s attack on King’s Landing	Cersei	Herself and sheltered court	25	40	Helpless	She copes with fear while becoming less functional as a leader; others mostly unaffected.
Cersei grows paranoid that younger queens (Margaery, Daenerys) will cast her down	Cersei	Herself	30	40	Helpless	Her fixation drives counterproductive moves that later backfire on her and the realm.
Cersei undercuts Tyrion’s defense of King’s Landing out of spite	Cersei	Tyrion and city defense	30	25	Stupid	Her sabotage hurts the war effort and her own side without real gain.
Cersei decides Tyrion murdered Joffrey with no evidence and dedicates herself to his humiliation and execution	Cersei	Tyrion	20	15	Stupid	She gains emotional satisfaction but drives a capable Lannister into Daenerys’s camp.
Cersei perceives Tommen as having betrayed her after his actions and suicide	Cersei	Tommen’s legacy	25	20	Stupid	Her resentment severs any moral self-correction and shocks Jaime, damaging their bond.
Cersei obtains nightshade and prepares to poison herself and Tommen if Stannis wins	Cersei	Herself and Tommen	15	30	Helpless	She intends to spare them from imagined atrocities but would destroy both lives.
Cersei slaps Joffrey for his cruelty	Cersei	Joffrey	55	55	Intelligent	A rare moment of discipline slightly checks him and risks her, but could improve his behavior.
Cersei seizes the Iron Throne after blowing up the Sept	Cersei	Seven Kingdoms	40	10	Stupid	She gains formal power but destroys legitimacy, allies, and stability while massacring many.
Cersei boasts that “House Lannister has no rival” and then destroys rivals with wildfire	Cersei	Rivals and smallfolk	35	15	Stupid	Short-term dominance brings long-term overextension and rebellion.
Cersei manipulates the Faith Militant to attack her enemies	Cersei	Tyrells and sinners in KL	25	10	Stupid	She briefly hurts rivals but empowers zealots who imprison and humiliate her.
Cersei empowers the Faith despite Lancel knowing her crimes	Cersei	Herself	20	10	Stupid	She hands legal weapons to someone who can expose her, leading directly to her fall.
Cersei has the Sept of Baelor destroyed with wildfire, killing hundreds	Cersei	High Sparrow, Tyrells, bystanders	15	5	Stupid	She removes enemies but triggers Tommen’s suicide and near-total isolation.
Cersei later refuses to aid in the war against the Night King, planning to attack the survivors	Cersei	Northern alliance and realm	30	10	Stupid	She preserves her army short-term but risks annihilation by either dead or betrayed victors.
Cersei lies to Jon and Daenerys about joining the fight against the dead	Cersei	Jon and Daenerys	35	20	Bandit	She buys time and preserves forces while endangering humanity’s war effort.
Cersei orders Qyburn to hire Bronn to kill Jaime and Tyrion with a crossbow	Cersei	Jaime and Tyrion	20	15	Stupid	She tries to remove potential rivals but risks losing her only capable kin.
Cersei continuously belittles Tyrion as a “monster” from infancy	Cersei	Tyrion	30	15	Stupid	She vents hatred but creates a lifelong enemy who later helps overthrow her.
Cersei reveals her incest with Jaime to Tywin to block her marriage to Loras	Cersei	Tywin and Lannister legacy	45	20	Bandit	She escapes an unwanted match while shattering her father’s dynastic project.
Cersei rejects Tywin’s command to marry Loras and threatens scandal	Cersei	Tywin’s political plans	50	30	Bandit	She protects her autonomy at the cost of undermining Lannister strategy.
Cersei uses Myrcella’s situation to gain Oberyn’s sympathy against Tyrion	Cersei	Oberyn and Tyrion	45	30	Bandit	She wins short-term support in the trial while risking Dornish resentment.
