Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Varys decides to do whatever it takes to live and gain power after being castrated and thrown out to die	Varys	Varys	80	40	Intelligent	Securing survival and future influence greatly benefits him and modestly benefits others through later stabilizing efforts.
Varys nurses a grudge for decades and eventually tortures the sorcerer who castrated him	Varys	Sorcerer	70	5	Bandit	He gains personal emotional satisfaction at the cost of severe suffering to another with no broader gain.
Varys plays both sides and conspires to enable a Dothraki succession and invasion of Westeros	Varys	Westeros (realm)	40	20	Bandit	He increases his strategic leverage while triggering wars and devastation for the realm.
Varys later conspires to support Daenerys’s invasion of Westeros	Varys	Westeros (realm)	50	35	Bandit	Aligning with a promising claimant preserves his influence but still entails large-scale conflict and casualties.
Varys opposes Littlefinger’s rise and schemes	Varys	Littlefinger	60	65	Intelligent	Resisting Littlefinger protects his own position and helps limit a chaos‑driven rival harmful to the realm.
Varys sells out Tyrion at the trial	Varys	Tyrion	55	10	Bandit	He protects his status under the Lannisters while materially harming Tyrion and contributing to injustice.
Varys later helps Jaime free Tyrion from prison	Varys	Tyrion	65	45	Intelligent	He aids Tyrion’s escape, slightly risking himself but preserving a valuable ally and moderating injustice.
Varys asks Ned “What of your daughter’s life?” to push him toward compromise	Varys	Ned Stark	55	60	Intelligent	He uses a hard question to steer Ned toward choices that might save Sansa and reduce chaos, with minor personal benefit.
Varys traps the sorcerer in a box with his mouth sewn shut for later revenge	Varys	Sorcerer	70	5	Bandit	He derives intense personal vindication while inflicting extreme, purposeless suffering on his captive.
Varys calmly disagrees with Joffrey and pushes back on his excesses	Varys	Joffrey	55	60	Intelligent	He risks royal displeasure to restrain Joffrey’s worst impulses, aiding both his own long‑term safety and the realm’s.
Varys arranges for the sorcerer to be shipped to him for protracted revenge	Varys	Sorcerer	70	5	Bandit	He expends effort to secure a victim solely for slow vengeance, benefitting only his resentment.
Varys warns and advises Ned, which Ned ignores until too late	Varys	Ned Stark	55	70	Intelligent	He tries to prevent Ned’s downfall and larger conflict, with modest possible benefit to his own preferred stability.
Varys repeatedly tries to get Shae out of harm’s way	Varys	Shae	55	65	Intelligent	He expends resources and effort to protect a vulnerable woman, with limited but real self‑protection from future fallout.
Varys repeatedly warns others that Littlefinger is dangerous	Varys	Various nobles	55	70	Intelligent	He attempts to reduce Littlefinger’s destabilizing influence, aiding the realm and secondarily shoring up his own order‑focused agenda.
