Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Janice claiming Richie is now sensitive to women’s plight	Janice	Richie & listeners	55	40	Bandit	Boosts Richie’s and her own image with a transparently false claim that only amuses others.
Carmela laughing at Janice’s statement	Carmela	Janice	55	55	Intelligent	She vents disbelief and signals skepticism with no real harm or benefit to anyone.
Carmela shielding Meadow from Mafia excesses	Carmela	Meadow	65	70	Intelligent	She actively tries to protect her daughter from direct harms of mob life despite mixed results.
Carmela hammering into Meadow that government persecutes Italians	Carmela	Meadow	60	20	Bandit	She pushes a self-serving narrative that benefits her worldview while misinforming Meadow.
Carmela stating Tony being a gangster makes courtship exciting	Carmela	Tony	65	35	Bandit	She embraces risky criminal glamour that pleases her but helps normalize Tony’s lifestyle.
Carmela lusting after Furio	Carmela	Furio	55	35	Bandit	She entertains desire for a dangerous enforcer, gratifying herself while courting potential domestic chaos.
Carmela showing off luxury purchases to friends	Carmela	Friends/peers	65	30	Bandit	Strengthens her status and ego while subtly demeaning others and flaunting ill‑gotten wealth.
Carmela helping AJ with an essay	Carmela	AJ	55	65	Intelligent	She spends effort trying to help AJ’s schoolwork, yielding modest but real academic gain.
Carmela never admitting she stole $40,000 from Tony’s birdfeeder	Carmela	Tony	75	15	Bandit	She keeps a large illicit gain while undermining trust and reinforcing her dependence on dirty money.
Carmela sustaining the lie that Tony is unfairly persecuted	Carmela	Meadow	70	20	Bandit	She protects her comfort and Tony’s image while deeply distorting Meadow’s understanding of the world.
Carmela telling Tony about her (chaste) affair with Furio in anger	Carmela	Tony	20	10	Stupid	She damages her marriage and own security out of spite while gaining no real advantage.
Carmela having three affairs while married	Carmela	Tony/partners	45	25	Bandit	She seeks emotional/sexual gratification at the cost of marital stability and family cohesion.
Carmela throwing Meadow’s Berkeley acceptance in the trash	Carmela	Meadow	25	10	Stupid	She sabotages her daughter’s opportunity and risks being found out, jeopardizing trust and future support.
Carmela playing innocent when the trashed letter is found	Carmela	Meadow	40	15	Bandit	She tries to dodge consequences and preserve control while further eroding Meadow’s trust.
Carmela using religion to absolve herself and spend time with Father Phil	Carmela	Herself / Father Phil	60	30	Bandit	She soothes her conscience and gains emotional closeness while avoiding true moral responsibility.
Carmela asking Tony to help find AJ’s teacher’s stolen car	Carmela	AJ’s teacher	70	80	Intelligent	She uses her access to help an innocent victim and gains moral credit with little downside shown.
Carmela objecting to boosting AJ’s grade via the stolen car	Carmela	AJ	70	75	Intelligent	She refuses to corrupt AJ’s grades, favoring merit despite having the leverage to cheat.
Carmela rejecting Tony’s “confusion” excuse for Coach Hauser	Carmela	Meadow’s friend Ally	65	85	Intelligent	She clearly condemns the predatory adult, protecting the teen’s perspective on abuse.
Carmela avoiding Angie when she’s working at a grocery store	Carmela	Angie	55	20	Bandit	She protects her own fragile status by shunning a struggling widow, giving Angie only hurt and contempt.
Carmela parading her Porsche in front of Angie and Ginny	Carmela	Angie & Ginny	60	10	Bandit	She flaunts wealth to feel superior, deepening others’ humiliation without offering any benefit.
Carmela putting the squeeze on women using Tony’s position	Carmela	Women with authority	70	10	Bandit	She gets outcomes she wants via intimidation, harming targets’ autonomy and fairness.
Carmela staying with Tony for luxury despite abuse	Carmela	Herself	40	25	Helpless	She gains material comfort but accepts emotional danger and moral compromise that overall harms her.
Carmela using Church doctrine to justify staying with Tony	Carmela	Herself	45	30	Helpless	She protects her psychic comfort and lifestyle while locking herself into a damaging marriage.
Carmela almost acting on UST with Father Intintola then cutting him off	Carmela	Father Intintola	60	70	Intelligent	She stops a boundary‑violating liaison, preserving both reputations and reducing future turmoil.
Carmela calling out Tony’s profession while accepting the lifestyle	Carmela	Tony	60	30	Bandit	She vents moral criticism yet keeps all benefits, reinforcing a hypocritical status quo.
Carmela invoking Tony’s corrupt influence for spec house approval	Carmela	Regulators / community	75	15	Bandit	She advances her project and wealth by subverting fair permitting, harming civic integrity.
Carmela encouraging Meadow to seek options in life	Carmela	Meadow	70	80	Intelligent	Regardless of her hypocrisy, she pushes Meadow toward broader choices and opportunity.
Carmela coddling AJ and resisting military school	Carmela	AJ	35	30	Helpless	Her overindulgence comforts her and him short‑term but fosters his laziness and future problems.
Carmela complaining about AJ’s laziness while enabling it	Carmela	AJ	40	25	Helpless	She vents frustration but keeps undermining discipline, perpetuating his dysfunction to her own detriment.
Carmela adopting a faithful Catholic persona while knowing Tony kills	Carmela	Community	55	25	Bandit	Her image management sustains her social standing and hides complicity from others.
Carmela downplaying Afghan family’s persecution under Patriot Act	Carmela	Afghan family / Meadow	55	20	Bandit	She defends authority narratives to preserve her own worldview, invalidating real victims’ experience.
Carmela ignoring the psychiatrist’s advice and staying with Tony	Carmela	Herself & kids	30	20	Helpless	She consciously chooses a harmful situation for continued luxury, worsening long‑term risks.
Carmela taking insecurities out on those “below” her	Carmela	Lower‑status women	55	20	Bandit	She soothes her ego by belittling others, offering them only psychological harm.
Carmela drinking and revealing her true feelings about Livia	Carmela	Family at wake	55	45	Helpless	She gains some emotional release but risks social fallout and family tension at a sensitive event.
Carmela making situations revolve around her	Carmela	Those present	55	35	Bandit	Her self‑centering feeds her ego while crowding out others’ needs and perspectives.
Carmela remaining a pampered, low‑effort housewife	Carmela	Herself	40	40	Helpless	She enjoys comfort now while undermining her independence and future resilience.
Carmela grabbing an AK‑47 and confronting a perceived intruder	Carmela	Meadow’s “intruder”	75	60	Intelligent	She acts decisively to protect her daughter, and no harm occurs since it was a false alarm.
Carmela reacting similarly when seeing a bear near the house	Carmela	Bear / AJ	75	70	Intelligent	Her vigilance protects AJ from a wildlife threat with no downside shown.
Carmela being unable to break up with Tony in their toxic tango	Carmela	Herself & Tony	35	25	Helpless	She clings to a mutually damaging relationship for emotional/financial dependence.
Carmela blaming Tony alone for how the kids turned out	Carmela	Tony	50	30	Bandit	She shifts responsibility to protect her self‑image, hindering honest co‑parenting.
Carmela spoiling kids with gifts, strings, and poor example	Carmela	Meadow & AJ	35	25	Helpless	She buys affection and eases guilt but contributes to their entitlement and dysfunction.
Carmela using mob connections for her own ends	Carmela	Various civilians	70	20	Bandit	She secures favors and advantages by leveraging criminal intimidation, harming fairness and others’ agency.
Carmela invoking Tony’s reputation to bully service workers	Carmela	Waitstaff/employees	70	15	Bandit	She gets superior treatment and perks through fear and entitlement at others’ expense.
Carmela scolding kids for underage drinking despite own party behavior	Carmela	Meadow & AJ	55	35	Bandit	She reinforces control and image as strict parent while modeling hypocrisy that confuses them.
Carmela actively communicating with and supporting her kids	Carmela	Meadow & AJ	70	80	Intelligent	Her engaged parenting gives them emotional support and guidance despite flaws elsewhere.
Carmela nursing Tony back to health after his shooting/coma	Carmela	Tony	75	70	Intelligent	She invests effort and care to restore his health, benefiting both emotionally and practically.
Carmela asking Tony to help recover teacher’s car out of empathy (reprise)	Carmela	AJ’s teacher	70	80	Intelligent	Her genuine concern leads her to mobilize help for a victim, even if Tony later abuses it.
Carmela wearing the sable coat as part of Tony’s sexual request	Carmela	Tony	60	55	Intelligent	She participates in mutually desired intimacy that strengthens their bond, with no evident harm.
Carmela worrying about finances if Tony is arrested or killed	Carmela	Herself & kids	65	55	Intelligent	Her realistic concern prompts prudent thinking about long‑term security.
Carmela observing Tony’s men withholding money during his coma	Carmela	Tony’s crew	55	40	Helpless	She learns her dependence is precarious but gains only anxiety without greater autonomy.
Carmela sleeping with AJ’s guidance counselor for leverage	Carmela	Guidance counselor	45	25	Bandit	She seeks academic favors for AJ via sex, compromising herself and the counselor’s ethics.
Carmela giving money to Dean Ross to appear like a big shot	Carmela	Dean Ross	25	20	Helpless	She loses money and status when conned, gaining little more than temporary vanity.
Carmela stealing from Tony’s duck‑feed cash stash	Carmela	Tony	70	20	Bandit	She appropriates significant funds and “sends a message,” increasing her resources while damaging trust.
Carmela maintaining a Stepford‑smile façade of domestic bliss	Carmela	Family & community	45	40	Helpless	She preserves image while suppressing her own distress, delaying needed change.
Carmela cooking lavishly as the group’s best home chef	Carmela	Family & mob circle	70	80	Intelligent	Her culinary skill brings pleasure and social cohesion, enhancing her status positively.
Carmela sleeping with AJ’s guidance counselor post‑sex scene (reprise)	Carmela	Herself	45	30	Helpless	She trades intimacy for nebulous favors, degrading her self‑respect for uncertain gain.
Carmela posturing as cultured while failing to grasp the works	Carmela	Meadow & friends	55	35	Bandit	She tries to boost her image and status but mainly appears shallow, offering little to others.
