Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sandy easily defeats SpongeBob in kung-fu battles	Sandy	SpongeBob	70	40	Bandit	She practices and proves her strength, while SpongeBob is repeatedly beaten up for her benefit/fun.
Sandy and SpongeBob initially bond over karate	Sandy	SpongeBob	85	80	Intelligent	Shared karate practice builds mutual skills and deepens their friendship.
Sandy defends SpongeBob from terror	Sandy	SpongeBob	80	85	Intelligent	She protects him from threats, helping him while reinforcing her protector role and bonds.
Sandy stands up for SpongeBob and Patrick when they are bullied	Sandy	Bullies	75	80	Intelligent	She confronts bullies to shield her friends, benefiting them and enhancing her own standing.
Sandy resigns from Mr. Krabs and removes her barbeque nuts from the menu in response to his treatment of SpongeBob	Sandy	Mr. Krabs	60	40	Bandit	She sacrifices a job but asserts her values and denies Krabs profit, while incidentally removing a product customers might want.
Sandy coerces Squidward to join Patrick’s game and shuts him up when he mocks it	Sandy	Squidward	65	60	Intelligent	She forces him to participate constructively, curbing his mockery and improving the group’s experience.
Sandy goes to take out the Alaskan Bullworm for the sake of the town, ignoring SpongeBob’s warnings	Sandy	Bikini Bottomites	40	35	Helpless	Her reckless overconfidence endangers herself and fails to help the town at that stage.
Sandy fights what she thinks is the Alaskan Bullworm in the cave and defeats it	Sandy	“Worm’s tongue”	60	30	Bandit	She proves her toughness to herself but actually only attacks the tongue, briefly harming the creature without solving the real threat.
Sandy runs for her life after realizing she fought only the worm’s tongue	Sandy	Sandy	55	45	Helpless	She saves herself by fleeing but abandons the bravado goal and offers no help to others in danger.
Sandy challenges massive beachgoers to weightlifting contests	Sandy	Beachgoers	70	55	Intelligent	She hones her strength and competitive drive while giving others a fair physical challenge.
Mr. Krabs adds Sandy’s barbeque nuts to the menu and coldly dismisses SpongeBob and Krabby Patties	Mr. Krabs	SpongeBob	75	25	Bandit	He boosts his business/profits but harms SpongeBob emotionally and professionally.
Sandy takes SpongeBob along for extreme stunts in “Prehibernation Week” despite his deteriorating health	Sandy	SpongeBob	65	10	Bandit	She gets intense training and fun while severely endangering and exhausting SpongeBob.
Sandy rallies the entire town to search for SpongeBob in dangerous places, ignoring their injuries	Sandy	Bikini Bottomites	60	5	Bandit	Her concern for SpongeBob drives her, but she recklessly harms the townsfolk’s safety and comfort for her goal.
Sandy destroys the city when everyone bails on the search	Sandy	Bikini Bottom	20	0	Stupid	She vents frustration by wrecking the city, harming everyone and leaving herself in a ruined environment with no gain.
Sandy tells SpongeBob he shouldn’t be rude while having earlier taken advantage of him	Sandy	SpongeBob	60	45	Helpless	She asserts a moral stance that may help SpongeBob but exposes her hypocrisy and undermines her credibility.
Sandy exposes Kenny the Cat as a fraud in front of his fans and kicks him back to the surface without provocation	Sandy	Kenny the Cat	55	15	Bandit	She satisfies her animal pride and “truth-telling” urge while humiliating and ejecting him, helping no one else.
Sandy mistakes cats and dogs regarding a squirrel’s enemy in “Kenny the Cat”	Sandy	Sandy	30	50	Helpless	Her ignorance harms her own credibility while not clearly affecting others.
Sandy invokes the “Idiot Ball” on herself in “Squirrel Jokes” to show SpongeBob how toxic a bigoted friend is	Sandy	SpongeBob	45	75	Helpless	She makes herself the target of hurtful behavior to teach him a lesson, sacrificing her own comfort for his growth.
Sandy feeds freeloaders toxic waste out of curiosity in “SpongeBob, You’re Fired”	Sandy	Freeloaders	25	5	Stupid	Her reckless experiment endangers others’ health and offers her no real benefit beyond idle curiosity.
Sandy expresses annoyance at Patrick’s stupidity and tells him to “go be stupid somewhere else”	Sandy	Patrick	55	40	Bandit	She relieves her own irritation while dismissing him harshly, slightly harming his feelings without much upside for him.
Sandy forces SpongeBob to join extreme sports in “Prehibernation Week” while oblivious to his despair	Sandy	SpongeBob	65	10	Bandit	She gets training and enjoyment while inflicting serious fear and physical strain on him.
Sandy refuses to let the searchers sleep while looking for SpongeBob during “Prehibernation Week”	Sandy	Bikini Bottomites	50	10	Bandit	Her obsessive concern for SpongeBob drives her, but she exhausts and endangers the townsfolk.
Sandy repeatedly brags that land creatures are better than sea creatures in “Pressure”	Sandy	Sea creatures	55	25	Bandit	Her ego gets stroked while she disrespects others and contributes to a dangerous rivalry.
Sandy nearly drowns herself trying to prove land creatures are better in “Pressure”	Sandy	Sandy	15	30	Helpless	Her pride nearly kills her and offers no real benefit, slightly prompting others to re-examine their stance.
Sandy grows out of her land-vs-sea superiority after the mutual danger in “Pressure”	Sandy	Everyone involved	80	80	Intelligent	She learns from the near-disaster, dropping her bigotry and improving relationships and safety.
Sandy mocks SpongeBob for being afraid when investigating roaring noises in “Scaredy Snail”	Sandy	SpongeBob	60	35	Bandit	She bolsters her image as brave at the cost of belittling his fear.
Sandy secretly banks on SpongeBob backing out so she doesn’t have to enter the trench in “Scaredy Snail”	Sandy	SpongeBob	50	30	Helpless	Her cowardly dependence gives her an excuse not to go but undermines her own self-image and contributes no help to him.
Sandy runs for her life when an actual monster appears in “Scaredy Snail”	Sandy	Sandy	70	40	Bandit	She sensibly preserves herself but abandons her earlier “tough” pose and leaves others to face the threat.
Sandy rallies citizens to look for SpongeBob out of concern when she finds his pants caught on coral	Sandy	SpongeBob	75	70	Intelligent	Her genuine worry mobilizes a community rescue effort that, at least initially, aims to protect him and gives others a chance to help.
Sandy makes everyone search in increasingly dangerous places as time goes on in “Prehibernation Week”	Sandy	Bikini Bottomites	55	5	Bandit	Her fixation on saving SpongeBob leads her to risk others’ safety far beyond reason.
Sandy proceeds to destroy the city after the townsfolk refuse to keep helping her search	Sandy	Bikini Bottom	20	0	Stupid	She lashes out by wrecking property, hurting everyone and leaving herself in a devastated town.
