Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Burns goes to live with his grandfather instead of his caring parents	Burns as child	Burns' own welfare and parents	20	15	Stupid	He trades loving parents for a cruel billionaire, harming his own long‑term well‑being and hurting his parents emotionally with no clear benefit beyond vague wealth access.
Burns’ father burns down his own company with people inside to “teach him a lesson”	Burns’ father	Employees and himself	5	0	Stupid	He destroys his own business and kills/harms workers to make a point, devastating others and his own interests.
Burns’ father tells him to hurt dogs instead of reading comics	Burns’ father	Burns’ moral development and animals	20	10	Stupid	He pushes his son toward cruelty and away from learning, undermining the boy and animals with no gain.
Burns’ grandfather lures him away from loving parents and adopts him	Burns’ grandfather	Burns and his parents	40	5	Bandit	He gains control over a potential heir while depriving the boy of a healthy home and hurting the parents.
Burns disowns his illegitimate son after reuniting with him	Burns	Illegitimate son	60	5	Bandit	He sheds emotional responsibility and obligation while deeply harming the son’s well‑being.
Burns states he’ll only contact his son if he needs a kidney	Burns	Illegitimate son	55	5	Bandit	He keeps the son as a spare‑parts resource at the cost of the son’s dignity and security.
Burns refers to his son as “it”	Burns	Illegitimate son	60	10	Bandit	He emotionally distances himself and reinforces control while dehumanizing his child.
Burns tries to persuade Bart that his parents no longer love him	Burns	Bart	65	5	Bandit	He attempts to steal Bart’s loyalty and affection by sabotaging the boy’s trust in his family.
Burns sleeps with his teddy bear Bobo for comfort	Burns	Burns’ own psyche	80	60	Intelligent	He nurtures his emotional needs in a harmless way and others (like Smithers) show care by supporting it.
Smithers brings Bobo to bedridden Burns	Smithers	Burns	60	75	Intelligent	Smithers expends effort to comfort Burns, strengthening their bond and aiding Burns’ recovery.
Burns is affable and chummy with employees when not punishing them	Burns	Employees	70	60	Intelligent	He gains smoother operations and some goodwill while workers temporarily benefit from better treatment.
Homer gives Burns the affectionate nickname “Burnsie”	Homer	Burns	60	65	Intelligent	Homer increases rapport and informality, which tends to make Burns friendlier to him.
Burns flirts with male characters (e.g., Smithers, Homer)	Burns	Smithers/Homer/others	65	55	Intelligent	He expresses attraction and sometimes endearment, mildly benefiting himself and giving others attention or validation.
Burns threatens to club people and eat their bones	Burns	Various people threatened	55	25	Bandit	He uses intimidation for dominance, gaining fear‑based power at others’ expense.
Burns brings noodle kugel to the Simpsons’ dinner	Burns	Simpson family	65	70	Intelligent	He participates socially, gaining acceptance while providing hospitality.
Burns orders “Release the hounds” on people	Burns	Intruders/protesters/etc.	65	10	Bandit	He protects his property through excessive violence, benefiting his security while harming or endangering others.
Burns (or siblings) shoot his twin for inheritance	Burns or sibling	Twin sibling	70	0	Bandit	One heir gains or secures wealth at the direct lethal expense of a twin.
Burns maintains a menagerie of pet birds at home	Burns	Pet birds	70	65	Intelligent	He enjoys companionship and aesthetic pleasure while giving the animals care and shelter.
Burns restrains himself in a giant birdcage when incompetent	Burns	Burns’ own safety	55	55	Intelligent	He accepts containment that prevents him from harming others or himself in his impaired state.
Burns uses wildly outdated language in modern settings	Burns	Modern interlocutors	55	45	Helpless	His anachronisms isolate him socially and mildly confuse others more than help anyone.
Mrs. Burns harshly berates her son for not calling	Mrs. Burns	Burns	40	30	Stupid	She vents resentment in a way that strains their relationship without real benefit.
Burns’ behavior provokes nearly everyone in Springfield to want him dead	Burns	Springfield residents	70	10	Bandit	His extensive harms give him power and wealth but generate mass hatred and desire for revenge.
Burns installs a trap door to dismiss employees	Burns	Employees	65	15	Bandit	He gains intimidation and perverse amusement while endangering and terrifying subordinates.
Burns dumps radioactive waste at parks and playgrounds	Burns	Public, especially children	80	0	Bandit	He saves disposal costs and preserves profits while severely endangering public health.
Burns sells weapons to the Nazis during WWII	Burns	Wider world victims	85	0	Bandit	He profits financially by enabling atrocities and mass suffering.
Burns steals a trillion dollars in foreign aid from the U.S. government	Burns	US government and aid recipients	90	0	Bandit	He massively enriches himself while depriving entire populations of life‑sustaining aid.
Burns builds a giant sun-blocking device over Springfield	Burns	Springfield	85	0	Bandit	He boosts his energy monopoly at the cost of the town’s environment, health, and freedom.
Burns sells an assistant to cannibals on a trip	Burns	Assistant	80	0	Bandit	He gains money or favor by literally sacrificing a subordinate’s life.
Burns forgets who Homer is after major shared adventures	Burns	Homer	45	35	Stupid	His indifference and senility deprive him of a useful relationship and insult Homer without helping him.
Burns makes a canary legal owner of the plant to evade responsibility	Burns	Regulators/public	85	5	Bandit	He shields himself from legal consequences while undermining accountability.
Burns names a dog vice president instead of a qualified person	Burns	Qualified humans/organization	70	20	Bandit	He avoids responsibility and mocks corporate norms while weakening governance and others’ prospects.
Burns makes a carbon rod Employee of the Month over Homer	Burns	Homer	60	35	Bandit	He gets a joke at Homer’s expense and reinforces hierarchy, slightly demotivating workers.
Burns lays off many workers while town depends on his plant	Burns	Springfield workers	75	10	Bandit	He cuts costs, improving profits, while increasing unemployment and hardship.
Burns declares his own evil openly when it amuses him	Burns	People around him	60	35	Bandit	He gains theatrical satisfaction and some fear, slightly worsening trust and safety.
Burns fires employees via pneumatic tubes to unknown places	Burns	Fired employees	65	15	Bandit	He indulges sadism and spectacle while endangering workers’ fates.
Burns releases nuclear waste in ways that bald children appear	Burns	Children/public health	80	0	Bandit	He preserves wealth and convenience while harming kids’ health.
Burns brainwashes Santa’s Little Helper to be a guard dog	Burns	Santa’s Little Helper/Simpsons	65	20	Bandit	He gains a useful guard animal by overriding the dog’s prior bonds and purpose.
Burns attempts to make a tuxedo from a litter of puppies	Burns	Puppies	70	0	Bandit	He seeks luxurious clothing at the direct expense of the puppies’ lives.
Burns cuts the nuclear-plant health plan’s prescription coverage	Burns	Plant employees	80	10	Bandit	He significantly reduces costs while seriously harming employees’ access to medicine.
Burns turns car around to warn a coworker about an affair with a married man	Burns	Female coworker	65	75	Intelligent	He assumes personal risk and effort to prevent a morally and socially damaging situation.
Burns can’t bring himself to kill the greyhound puppies due to their cuteness	Burns	Puppies	55	80	Intelligent	He foregoes a cruel plan, sparing the pups and slightly softening himself emotionally.
Burns nearly shoots Bart and Lisa but refrains for the same cuteness reason	Burns	Bart and Lisa	40	80	Intelligent	He pulls back from potential murder because of their innocence, reducing harm despite his intent.
Burns shows concern when Frank Grimes dies by electrocution	Burns	Frank Grimes	50	55	Intelligent	He experiences genuine horror at the death, reflecting some empathy without direct gain.
Burns tries to stop Smithers and Homer from fighting	Burns	Smithers and Homer	60	70	Intelligent	He intervenes to prevent injury and workplace chaos, helping both himself and them.
Burns is horrified when Persephone will risk poisoning children with saltwater	Burns	Schoolchildren	55	65	Intelligent	He opposes an extreme scheme that would endanger kids, aligning his survival with public safety.
Burns divorces Persephone after discovering she lied and risked harm	Burns	Persephone/public	65	60	Intelligent	He protects his reputation and distance from her misdeeds, indirectly benefiting others by cutting her influence.
Burns hides Smithers Sr.’s corpse thinking it’s “the trend”	Burns	Smithers Sr.’s memory, Smithers Jr.	30	20	Stupid	He copies a perceived norm, creating trauma and mystery with no benefit to himself.
Burns laughs at a staged panda rape and Lisa comforting Homer	Burns	Homer/Lisa/audience	55	20	Bandit	He derives amusement from others’ humiliation and trauma, worsening their emotional state.
Burns humiliates and tubes a worker who requests safety measures	Burns	Worker	70	10	Bandit	He asserts dominance and deters dissent while endangering safety advocates and plant safety.
Burns steals candy from a baby (when he can)	Burns	Baby	65	10	Bandit	He gets trivial pleasure at a baby’s expense.
Burns builds the sun-blocking device to monopolize energy	Burns	Springfield	85	0	Bandit	He maximizes revenue by plunging the town into darkness and dependency.
Burns cripples Milhouse to “inspire” a team	Burns	Milhouse	85	0	Bandit	He permanently injures a child solely to motivate athletes.
Burns arranges that Smithers be buried alive with him	Burns	Smithers	80	5	Bandit	He secures posthumous companionship at the cost of Smithers’ remaining life.
Burns calls Homer the “fattest thing he’s ever seen,” shattering his confidence	Burns	Homer	55	15	Bandit	He gains a moment of cruel superiority while seriously damaging Homer’s self‑image.
Burns blocks food‑stealing hungry children with attack dogs	Burns	Hungry children	80	5	Bandit	He asserts property rights and cruelty while denying starving kids discarded food.
Burns takes over Springfield TV stations to seize Maggie’s teddy bear	Burns	Springfield residents/Maggie	75	5	Bandit	He uses mass media power to retrieve a toy, inconveniencing and manipulating the entire town.
Burns forces re‑hired employees to crawl through a tunnel beneath him	Burns	Returnee employees	65	15	Bandit	He degrades workers for his amusement while reasserting control.
Burns exploits legal loopholes to steal from schools and old folks’ homes	Burns	Schools and retirement homes	85	5	Bandit	He diverts institutional funds to himself, undermining education and elderly care.
Burns tries to drown Bart in “Curse of the Flying Hellfish”	Burns	Bart	70	0	Bandit	He attempts to kill a child merely for an insult or dispute.
Burns laughs off a nuclear “meltdown” as “unrequested fission surplus”	Burns	Plant employees/public	60	30	Bandit	He reframes disaster risk to protect image, undermining safety communication.
Burns is friendly with child heir Simon Woosterfield	Burns	Simon Woosterfield	60	70	Intelligent	He builds a warm intergenerational relationship that benefits both emotionally.
Burns repeatedly fires Smithers for minor “disloyalty”	Burns	Smithers	65	20	Bandit	He asserts dominance and tests loyalty, destabilizing Smithers’ security.
Burns sets strike‑breakers on unionized workers seeking medical perks	Burns	Union workers	80	10	Bandit	He protects profits by violently undermining workers’ health demands.
Burns uses company influence to have Mona arrested via visitor‑book offenses	Burns	Mona Simpson	75	10	Bandit	He exacts revenge and reasserts power, ruining Mona’s freedom and family ties.
Burns tries to have Homer’s dog Bongo euthanized after being bitten	Burns	Bongo	70	10	Bandit	He seeks retribution and security at the cost of the dog’s life.
Burns abuses Homer across his life (sterility, harassment, etc.)	Burns	Homer	80	5	Bandit	He enriches himself and exerts power while systematically damaging Homer’s health and family life.
Burns hits Bart with his car and sometimes returns to finish kids if his team loses	Burns	Bart and other children	85	0	Bandit	He uses vehicular harm as intimidation and revenge, risking their lives.
Burns unknowingly traumatizes young Homer by hiding Smithers Sr.’s corpse	Burns	Homer as child	60	10	Bandit	He avoids scandal while causing Homer a lifelong repressed trauma.
Burns acts as a Nominal Hero when conveniently on the Simpsons’ side	Burns	Simpsons/public	60	65	Intelligent	He cooperates for aligned interests, benefiting himself and others.
