Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Frodo accidentally causes Gollum and the Ring to fall into the lava while trying to take the Ring back for himself	Frodo	Gollum and the Ring	30	95	Intelligent	Though selfishly motivated and injurious to Gollum, his struggle results in the Ring’s destruction and Sauron’s fall, hugely benefiting others and ultimately freeing him.
Frodo fights back despite being less combat-capable and survives his ordeals	Frodo	Enemies he resists	80	75	Intelligent	His limited but real fighting efforts keep him alive and contribute to the quest’s progress.
Frodo escapes Shelob's lair	Frodo	Shelob/forces of Sauron	75	70	Intelligent	Survival and escape preserve the Ringbearer and thus the quest, indirectly helping Middle-earth.
Frodo is stabbed by the Witch-King, later healed by elves	Witch-King → Elves	Frodo	10	60	Helpless	The stab nearly destroys him, but elven healing saves his life at great effort; others bear cost to preserve him and the quest.
The Ring’s influence leads Frodo to alienate Sam	Frodo	Sam	20	20	Stupid	He harms his closest ally and damages their bond without gaining any durable benefit.
Frodo leaves for the Undying Lands with Gandalf because he cannot recover from his ordeal	Frodo	Frodo’s friends/remaining Shire	85	70	Intelligent	He seeks healing and peace while bequeathing the Shire to Sam and others, giving closure all around.
Bilbo gives Frodo the Ring, making him its inheritor	Bilbo	Frodo	30	80	Helpless	Frodo takes on immense danger and trauma while Middle-earth eventually gains salvation through his bearing of the Ring.
Gandalf tells Frodo he was meant to have the Ring, encouraging him	Gandalf	Frodo	70	85	Intelligent	His counsel strengthens Frodo’s resolve, aiding both Frodo’s purpose and the world’s hopes.
Bilbo gives Sting to Frodo	Bilbo	Frodo	75	80	Intelligent	The gift arms Frodo with a useful weapon, helping his survival and the quest.
Frodo rescues himself from Boromir by putting on the Ring and shoving Boromir away	Frodo	Boromir	65	55	Bandit	He protects himself and escapes while briefly worsening Boromir’s corruption/obsession.
Frodo threatens Gollum with Sting when Gollum ambushes and he nearly chokes Sam to death	Frodo	Gollum and Sam	55	35	Bandit	His aggressive defense deters Gollum but also endangers Sam and reflects Ring-fueled volatility.
Frodo orders Sam to beat him up while disguised as orcs to create a distraction	Frodo	Sam and nearby orcs	60	80	Intelligent	He and Sam incur some short-term pain but the ploy diverts suspicion and protects their cover.
