Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
She commands her late brother's ship at admiral-equivalent rank	Yara	Her fleet	82	78	Intelligent	Successful high command benefits her power/status and strengthens Greyjoy naval capability.
She has killed already in the course of raiding	Yara	Her victims	75	10	Bandit	As an Ironborn raider she gains loot/reputation while gravely harming others.
She defies her father to organize a rescue mission for Theon after receiving his castrated penis	Yara	Theon	30	72	Helpless	She risks resources and her standing with little personal gain, trying to save her brother.
She swears gruesome, bloody vengeance when Euron murders Balon	Yara	Euron	40	20	Bandit	Vow of vengeance gives her some psychological resolve but leads toward more violent conflict.
Balon considers Yara his heir instead of naming his brothers	Balon	Yara	65	40	Bandit	He secures a loyal, capable heir at the cost of risking a succession crisis among other Ironborn.
Anti‑Yara lords rally behind her uncles in response to Balon’s choice	Anti‑Yara lords	Yara’s claim	45	25	Bandit	They seek advantage in succession, benefiting their faction while destabilizing broader politics.
She ends up captured after Euron raids her fleet	Yara	Euron	20	10	Stupid	Being captured deprives her of freedom and leadership with no offsetting benefit to anyone but her enemy.
Balon enlists Yara and Theon to carry out his invasion of the North	Balon	Yara and Theon	55	20	Bandit	He gains aggressive expansion prospects while exposing his children and the North to heavy losses.
She aids Balon’s efforts in attacking the North	Yara	Northern targets	70	15	Bandit	She increases her standing and plunder while contributing to harm and instability in the North.
Balon leaves Theon to die at the hands of the Boltons	Balon	Theon	60	5	Bandit	He sheds responsibility and risk over a disgraced son at the price of extreme cruelty toward Theon.
She openly disobeys Balon’s order and sails off with her own team to save Theon	Yara	Balon’s authority	28	70	Helpless	She risks men, ships, and her position to help Theon, with little material gain to herself.
She calls Balon out for leaving Theon to torture and death	Yara	Balon	55	40	Bandit	Honest confrontation may damage her standing but asserts her values and might nudge leadership choices.
She gives her father a blunt dressing‑down for continuing the war	Yara	Balon	60	65	Intelligent	Challenging his bad strategy could improve her future prospects and the Ironborn’s survival.
She becomes commander of Daenerys’s armada after swearing support	Yara	Daenerys’s cause	88	80	Intelligent	Leadership role secures her power and aligns with a major coalition’s interests.
She develops herself to respect Theon and works around his traumas	Yara	Theon	75	82	Intelligent	Investing emotional effort aids her relationship and significantly helps Theon recover.
She ultimately sends Theon off to fight for House Stark, honoring his wishes	Yara	Theon	68	85	Intelligent	Letting him go costs her emotionally but fulfills his chosen path and aids the Starks’ defense.
She berates Theon after his takeover of Winterfell and child murders	Yara	Theon	60	55	Intelligent	Harsh truth risks their bond but may push him toward recognition of his catastrophic mistakes.
Balon enlists Yara and Theon as his “co‑dragons” in the invasion	Balon	Yara and Theon	55	25	Bandit	He leverages them as lieutenants, boosting his campaign while exposing them and the North to danger.
Yara aids Balon in the second season’s Stark/Greyjoy offensive	Yara	Northern/Stark side	70	20	Bandit	Her participation furthers her war reputation while harming Northern forces and civilians.
Balon disgustingly dismisses Theon as “not a man” and refuses to help him	Balon	Theon	62	3	Bandit	He protects resources and face while abandoning his maimed son to horrific suffering.
She shows visible fury and a death glare when Balon refuses to help Theon	Yara	Balon	52	40	Bandit	Revealing her anger risks Balon’s displeasure but asserts dissent, possibly influencing future choices.
She is visibly livid at Balon’s disregard for Theon’s torture	Yara	Balon	52	45	Bandit	Her outrage affirms her own values and may sway others, at personal political risk.
She immediately realizes at the Kingsmoot that Euron killed Balon	Yara	Herself	70	55	Intelligent	Quick deduction improves her situational awareness and can inform others’ judgments.
She openly accuses Euron of murdering Balon at the Kingsmoot	Yara	Euron	50	40	Bandit	Calling him out clarifies the truth but puts her at great personal risk without clear immediate benefit.
She makes an alliance with Daenerys Targaryen	Yara	Daenerys	85	80	Intelligent	Alliance boosts her claim and security while strengthening Daenerys’s military position.
She agrees to forswear Ironborn piracy in exchange for Iron Isles independence	Yara	Ironborn society	80	78	Intelligent	Trade‑off sacrifices old raiding gains for long‑term stability and prosperity for her people.
She pretends to be a common woman to gauge Theon as a threat	Yara	Theon	72	60	Intelligent	Deception gives her accurate intel with limited harm and better decision‑making.
She tries to persuade Theon to come with her instead of staying in Winterfell	Yara	Theon	70	75	Intelligent	Attempting to extract him would safeguard him and emotionally benefit her if successful.
She sets out on a Roaring Rampage of Rescue to find Theon and kill his captors	Yara	Theon’s captors	35	55	Helpless	She risks ships and men for family loyalty, with unclear personal gain given the eventual failure.
She flees the Dreadfort when Ramsay butchers most of her men and Theon won’t come	Yara	Her raiding party	25	30	Helpless	Retreat saves her life but leaves her with heavy losses and little achieved for others.
She delivers a rousing speech to rally her men over Theon’s mutilation	Yara	Her Ironborn followers	65	70	Intelligent	Motivating them strengthens her command and gives them shared purpose and dignity.
She tells Theon in Volantis that if he doesn’t want to live he should just kill himself or go on	Yara	Theon	45	25	Bandit	Blunt “tough love” may slightly strengthen him but risks worsening his trauma.
She apologizes for being a little insensitive afterward	Yara	Theon	60	65	Intelligent	Apology repairs trust somewhat and supports Theon emotionally with minimal cost to her.
She recognizes Bran and Rickon’s resistance as bravery while calling Theon stupid	Yara	Theon	60	55	Intelligent	Her harsh evaluation could push Theon toward self‑reflection and upholds a useful standard of courage.
She respects the boys’ bravery as “worthy opponents”	Yara	Bran and Rickon	55	65	Intelligent	Granting them respect adjusts her own moral compass and acknowledges their courage.
Ramsay treats Yara as a worthy opponent during their encounter	Ramsay	Yara	52	20	Bandit	Respecting her fighting skill costs him nothing and affirms his status while she still suffers in the clash.
After Euron wins the Kingsmoot, she and Theon go into exile rather than stay	Yara and Theon	Euron’s regime	58	68	Intelligent	Fleeing preserves their lives and frees followers from a murderous ruler.
A sizeable portion of dissident Ironborn follow Yara and Theon into exile	Dissident Ironborn	Yara and Theon	62	70	Intelligent	Backing them gives the sailors a safer, more principled leadership and bolsters Yara’s faction.
They take the best Ironborn ships with them when fleeing	Yara and Theon	Euron and Ironborn loyalists	70	35	Bandit	They greatly strengthen their own strategic position while weakening their homeland’s remaining fleet.
Balon chooses to opportunistically attack the North while its army is away	Balon	The North	60	15	Bandit	He seeks easy territorial gain at the cost of provoking long‑term resistance and instability.
Balon continues fighting to hold northern towns and castles after the southern war ends	Balon	Ironborn and Northerners	40	10	Stupid	He entrenches in indefensible territory, draining his own side while prolonging others’ suffering.
Yara berates Balon’s strategy, explaining they gain nothing from the North	Yara	Balon	65	70	Intelligent	Correct strategic critique can improve survival odds for her people and her future prospects.
She proposes instead targeting the Westerlands’ mines or the Reach’s farms	Yara	Ironborn leadership	70	75	Intelligent	Suggested alternatives would give her people real resources and a more sustainable campaign.
She berates her father for trying to fight mainland armies when their strength is at sea	Yara	Balon	67	72	Intelligent	Reorienting him toward naval warfare better fits their strengths and would spare Ironborn lives.
Theon raises similar concerns about the North but caves to impress Balon	Theon	Himself	30	35	Helpless	He abandons better judgment for approval, undermining his own position and harming others via bad strategy.
The Ironborn vote for Euron at the Kingsmoot even after he admits killing Balon	Ironborn assembly	Yara and realm	45	15	Bandit	They choose a ruthless, dangerous king, expecting strength but inviting future bloodshed.
Euron’s first decree is to have Yara and Theon killed	Euron	Yara and Theon	60	10	Bandit	Removing rivals secures his rule while severely threatening their lives and destabilizing succession further.
Euron murders Balon	Euron	Balon	70	10	Bandit	He gains the throne while killing his brother and contributing to overall instability.
Yara sails to Meereen and allies with Daenerys to seek the Salt Throne	Yara	Herself and Daenerys	85	78	Intelligent	Strategic partnership advances her claim and strengthens Daenerys’s fleet and cause.
