Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sisko beats Klingons in fist fights	Sisko	Klingon opponents	70	20	Bandit	He gains survival/status by physically defeating hostile warriors who are harmed.
Sisko navigates high-stakes interplanetary crises	Sisko	Interstellar polities	85	90	Intelligent	He preserves his own position while averting or managing crises that benefit many.
Sisko helps build starships designed to kill the Borg	Sisko	Federation / Borg	75	30	Bandit	He boosts Federation security (and his career) by creating highly lethal tools aimed at an enemy.
Sisko supervises and participates in grand-strategy meetings	Sisko	Federation and allies	80	85	Intelligent	He wields strategic influence that advances both his interests and those of the powers involved.
Prophets ascend Sisko into the Celestial Temple	Prophets	Sisko / Bajorans	60	40	Helpless	Sisko loses normal life contact while Prophets and Bajor gain their Emissary more fully.
Sisko reassures Kasidy he will return	Sisko	Kasidy	55	70	Intelligent	He offers emotional reassurance with sincere intent, giving comfort despite uncertainty for himself.
Sisko becomes Dukat’s primary adversary	Sisko	Dukat	60	40	Helpless	Obsessive rivalry endangers him and harms Dukat but offers little personal net gain.
Sisko delivers a torpedo-count threat to Gowron	Sisko	Gowron / Klingons	70	60	Intelligent	The deterrent boast protects his station and position while dissuading an attack.
Sisko fights to defend Ops against a Klingon boarding party	Sisko	Klingon boarding party	80	70	Intelligent	He risks himself to save his crew and station, succeeding at both.
Sisko punches Q in response to provocation	Sisko	Q	60	40	Helpless	He vents and asserts himself but gains little strategically while antagonizing a godlike being.
Sisko initially downplays role as Emissary	Sisko	Bajorans	45	35	Helpless	He avoids personal discomfort but undermines a role that could help him and Bajor.
Sisko later fully embraces being the Emissary	Sisko	Bajorans	80	85	Intelligent	Acceptance of his religious role enriches his life and profoundly benefits Bajor.
Sisko blackmails Quark into staying on DS9	Sisko	Quark	65	55	Intelligent	Coercion preserves station commerce/security and also suits his command needs.
Sisko builds a mechanical clock	Sisko	Himself / crew	60	55	Intelligent	Crafting the clock fulfills him and later provides symbolic/ambient benefit to others.
Sisko builds and sails a Bajoran-style lightship	Sisko	Bajorans / Federation	70	60	Intelligent	He gains personal satisfaction and diplomatic goodwill by honoring Bajoran history.
Sisko keeps emotions veiled on duty, warmer off-duty	Sisko	Crew and family	65	70	Intelligent	Professional control and selective warmth protect his role and his relationships.
Sisko keeps Quark’s bar in business and pays “storage fee”	Sisko	Quark / station civilians	70	80	Intelligent	He spends a bit to sustain morale, commerce, and community, which also aids his command.
Sisko memorizes baseball statistics and later uses them socially	Sisko	People in 2024	60	65	Intelligent	His trivia hobby boosts rapport and navigation of a tense past situation.
Prophets possess Sisko’s mother to engineer his birth	Prophets	Sisko’s parents	10	15	Stupid	They traumatize two innocents and create a child-messiah at great moral cost to them all.
Prophets release Sisko’s mother after his birth	Prophets	Sisko’s mother / family	40	35	Helpless	They end the possession but leave a broken family and unresolved damage.
Sisko returns from the wormhole healed of his trauma	Sisko	Himself / Bajorans	85	75	Intelligent	Overcoming grief restores his life and better equips him to serve Bajor and Starfleet.
Sisko physically assaults Eddington’s Maquis planet with biogenic agents	Sisko	Maquis colonists	45	25	Helpless	He wins the personal duel with Eddington but gravely damages his ethics and reputation.
Sisko tackles Dukat into the Fire Caves	Sisko	Dukat	30	70	Helpless	He sacrifices his corporeal life to eliminate a major threat, mostly benefiting others.
Sisko comforts Nog yet forces him to reveal his shameful motive	Sisko	Nog	65	60	Intelligent	He pushes Nog through painful honesty that ultimately benefits Nog’s growth and his own command.
Sisko records and then deletes his log about “In the Pale Moonlight”	Sisko	Official record	45	40	Helpless	He protects himself from scrutiny but entrenches his moral burden and erodes accountability.
Sisko rejects water and re-enters the punishment box in “Paradise”	Sisko	Evil Luddite / colonists	35	60	Helpless	He harms his health to deny her control and model resistance for others.
Sisko knocks Q down in a fistfight	Sisko	Q	60	45	Helpless	It asserts his toughness but has negligible strategic payoff against an omnipotent being.
Sisko designs the Defiant-class at Utopia Planitia	Sisko	Federation	75	80	Intelligent	His engineering work gives him purpose and provides the Federation a powerful warship.
Sisko decks Q with the line “I’m not Picard” as an early statement	Sisko	Q / DS9 crew	65	65	Intelligent	The act defines his leadership style and deters Q’s antics, bolstering his standing.
Sisko invites senior staff to home-cooked dinners	Sisko	Senior staff	70	85	Intelligent	He invests personal effort to build cohesion and morale, which reinforces his command.
Sisko donates furniture and pays Quark’s “storage fee”	Sisko	Quark	70	80	Intelligent	He spends some resources to keep a critical civilian hub open, aiding station stability.
Sisko appoints Keiko to run the station’s school	Sisko	Families on DS9	80	90	Intelligent	He secures his chief’s family and the station’s children’s education, improving morale and retention.
Sisko uses baseball as an allegory to explain linear time	Sisko	Prophets	70	80	Intelligent	He clarifies human existence to the Prophets, which deepens their mutual understanding and his role.
Sisko decides to move his family to Bajor	Sisko	Jake / himself	60	65	Intelligent	Despite misgivings, the move fosters his growth and eventually deep bonds with Bajor.
Sisko chooses to keep Bajor out of the Federation for now	Sisko	Bajor / Federation	75	90	Intelligent	The decision preserves Bajor’s neutrality and safety, benefiting him as Emissary and Bajorans.
Sisko uses Eddington’s atmosphere-poisoning tactic on a Maquis world	Sisko	Maquis and Cardassians	40	20	Bandit	He forces a surrender and vindicates himself but normalizes extreme coercive tactics.
Sisko intimidates Kira with “I’ll have your head on a platter”	Sisko	Kira	55	40	Bandit	He reasserts his authority but risks trust, gaining control at some cost to their relationship.
Sisko plans to build a house on Bajor	Sisko	Himself / family	65	60	Intelligent	The plan reflects hope and long-term commitment to Bajor, though fate thwarts it.
Sisko furiously orders biogenic torpedoes launched at Maquis settlement	Sisko	Maquis colonists	40	20	Bandit	He pressures Eddington through harsh tactics that hurt his own moral standing and the Maquis.
Sisko threatens Bashir for suggesting surrender to the Dominion	Sisko	Bashir	50	35	Bandit	His hardline stance maintains resistance but undermines open counsel from his doctor.
Sisko slowly grows to love Bajor and adopts its culture	Sisko	Bajorans	80	85	Intelligent	His personal transformation deepens ties and leads to decisions that safeguard Bajor.
Sisko meets Kirk and gets his autograph despite time-travel cautions	Sisko	Kirk / timeline	60	55	Helpless	He indulges fan desire with negligible harm but violates his own standards for restraint.
Sisko sneaks onto the Enterprise bridge to get Kirk’s autograph	Sisko	Kirk / mission	60	55	Helpless	He risks minor temporal contamination to satisfy personal enthusiasm.
Sisko uses his knowledge of civil-rights-era history in 2024 San Francisco	Sisko	2024 hostages / society	75	80	Intelligent	His historical awareness helps him navigate events and fulfill Gabriel Bell’s role.
Sisko rejects the Vegas holosuite program over its whitewashed racism	Sisko	Crews using Vic’s	55	60	Intelligent	He raises a critical perspective, prompting others (and himself) to engage more thoughtfully.
Sisko plays Gabriel Bell after Bell’s death	Sisko	2024 Earth	75	95	Intelligent	He endangers himself to preserve key historical reforms that greatly benefit future society.
Sisko uses his fanboy knowledge of Kirk while keeping crew on-mission	Sisko	DS9 crew	70	75	Intelligent	He balances personal excitement with firm leadership, maintaining discipline and morale.
Sisko keeps DS9 functioning after a “backwater” reassignment	Sisko	Starfleet / Bajorans	75	85	Intelligent	He turns a career dead-end into a thriving, strategically vital station.
Sisko wrestles/physically subdues a drunken Klingon	Sisko	Klingon	60	45	Bandit	He gains safety and dominance at the Klingon’s expense in a limited bar-room context.
Sisko methodically builds an abstract clock while possessed	Sisko (possessed)	DS9 crew	40	55	Helpless	The possession harms his agency but yields an artifact later meaningful to others.
Sisko chooses to live with being “an accessory to murder”	Sisko	Himself	35	45	Helpless	He preserves the outcome of his plot but accepts a corrosive long-term psychological burden.
