Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Maintains conservative '50s hair into 1970 for political image	He (Henry)	Himself	63	55	Intelligent	Supports his political brand with no indicated harm to others.
Stays in a loving May–December marriage despite age gap	Henry	Betty	78	72	Intelligent	Both gain emotional support and affection in a mutually loving relationship.
Tries to be voice of reason urging Betty to get along with Don for kids’ sake and her future	Henry	Betty and children	82	90	Intelligent	He promotes co‑parenting harmony that benefits Betty and the children and reinforces his own stable role.
Is terse with Don whenever they communicate in early years	Henry	Don	52	42	Bandit	He vents hostility at Don, mildly satisfying himself while undermining cooperation that could help the kids.
Later generally shrugs off conflicts with Don	Henry	Don and family	70	75	Intelligent	Letting go of conflict reduces stress for him and improves the co‑parenting environment.
Passive‑aggressively nudges his car into boxes of Don’s stuff after argument	Henry	Don	40	28	Bandit	Minor revenge likely feels satisfying but damages relations and practical arrangements.
Requests Don not come on Gene’s Sunday birthday party	Henry	Don and children	44	22	Bandit	Protects his own comfort/control at the party while significantly harming Don’s and kids’ relationship time.
Don shows up to Gene’s party anyway despite request	Don	Henry (and household)	55	47	Bandit	He preserves contact with his kids but further strains relations with Henry and Betty.
Betty lets Don attend party because he’d risk losing contact with kids otherwise	Betty	Children and Don	68	76	Intelligent	She accepts short‑term conflict to preserve the children’s ongoing relationship with their father.
Displays chauvinistic attitude, referring to Betty and teenage Sally as “Girls! Girls!”	Henry	Betty and Sally	51	30	Bandit	He asserts authority/comfort but demeans them, undermining their respect and autonomy.
Acts as parental substitute, being around more and with fewer issues than Don	Henry	Children	85	88	Intelligent	His consistent, lower‑conflict presence strongly benefits the kids and reinforces his own stable family role.
Defuses a row between Betty and Sally by shouting “Girls!”	Henry	Betty and Sally	66	62	Intelligent	Crude phrasing aside, he stops an escalating conflict, helping household stability and his own peace.
Gives generally sound advice to Betty on most matters	Henry	Betty	80	82	Intelligent	His counsel improves her decision‑making and reinforces his value and influence.
Does not use political clout to dodge petty things like car tickets	Henry	Justice system/society	73	77	Intelligent	He preserves integrity and public trust while forgoing only minor personal convenience.
Explains to his mother that his approach to a speeding ticket is “to pay it”	Henry	Mother (and by example, others)	74	78	Intelligent	He models norms of accountability, bolstering his own ethical reputation and promoting fairness.
Allows his attractiveness to benefit his political career	Henry	Constituents/voters	70	60	Intelligent	He gains career advantage from being a “silver fox” while others at least get a more electable, appealing representative.
