Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Plays conman roles and accents in investigations	Ace / Freamon	Criminal targets	82	78	Intelligent	Deception skills advance his cases and career while effectively targeting criminals.
Uses high social skills to succeed at police work	Ace / Freamon	Investigations / colleagues	85	80	Intelligent	Social aptitude helps him work cases and coordinate with others.
Uses high social skills to “score with the ladies”	Ace / Freamon	Romantic partners	78	40	Bandit	He gains romantic success; benefit to others is unclear and likely mixed.
Builds dollhouse furniture patiently for side income	Ace / Freamon	Himself / customers	88	72	Intelligent	His craft earns superior income and provides valued goods to buyers.
Investigates from a closet/warehouse as regular detective	Almighty Janitor / Freamon	Crime lord of Baltimore	92	90	Intelligent	Low‑status posting doesn’t stop him from running an effective clandestine operation.
Single-handedly orchestrates city-wide operation	Almighty Janitor / Freamon	Baltimore criminal network	95	95	Intelligent	His planning topples major crime and cements his investigative success.
Debriefs Deputy Ops matter-of-factly as if subordinate	Almighty Janitor / Freamon	Deputy Ops Daniels	80	70	Intelligent	Confident debrief affirms his control and informs command of a successful operation.
Wags a clock in Marlo’s face to boast of triumph	Freamon	Marlo Stanfield	75	25	Bandit	Personal satisfaction and dominance display offer him ego reward but mainly taunt a dangerous criminal.
Uses Army experience to teach Shardene measuring walk	Freamon	Shardene	70	88	Intelligent	His training improves her ability to gather precise intel for the case.
Mutters that MCU detectives are “draft-dodging peace freaks”	Freamon	Other MCU detectives	52	40	Bandit	Venting gives him mild emotional release while needlessly belittling colleagues.
Plays a con man to fool a savvy street felon	Freamon	Street felon	88	70	Intelligent	Effective deception furthers his investigation at limited collateral cost.
Sells Barksdale crew pre-wiretapped burner phones	Freamon	Barksdale Organization	90	30	Bandit	He gains critical intel and career success while covertly endangering the criminals’ operations.
“Punks” Bird with a bottle in the field	Freamon	Bird	72	45	Bandit	He asserts physical dominance and furthers street control but uses risky violence.
Dominates, blackmails, and outcons Clay Davis	Freamon	Clay Davis	90	55	Bandit	He secures leverage and outcomes against a corrupt politician, helping investigations but via coercion.
Takes up dollhouse furniture as side business in Pawn Shop Unit	Freamon	Himself / buyers	88	78	Intelligent	Transforms a dead-end posting into expertise and wealth while supplying quality furniture.
Uses furniture knowledge to become fairly well-off	Freamon	Himself	92	55	Intelligent	His specialized knowledge significantly improves his finances with no shown harm.
Snarks with cynical remarks at colleagues/situations	Freamon	Colleagues / others	60	55	Bandit	Wit gives him personal relief and minor bonding but can undercut morale.
Critiques McNulty’s serial killer plot as too weak	Freamon	McNulty’s scheme	58	30	Bandit	He initially resists not on legality but on quality, prioritizing craft over integrity or safety.
Uses forensic accounting despite political opposition	Freamon	Criminal finances / higher‑ups	88	82	Intelligent	Following the money cracks cases and exposes corruption despite pushback.
Advocates “follow the money” investigative approach	Freamon	Investigators / institution	80	85	Intelligent	His advice guides others toward deeper, more effective investigations.
Addresses Daniels as “Cedric” paternalistically to sway him	Freamon	Daniels	72	62	Intelligent	Soft manipulation advances good police work while nudging Daniels with minimal harm.
Accepts being drummed out of the police without regret	Freamon	Police career	75	65	Intelligent	He trades institutional status for a comfortable, low‑stress retirement.
Retires on pension plus side-business money with girlfriend	Freamon	Himself / girlfriend	95	90	Intelligent	He achieves financial security and a stable relationship, benefiting them both.
Complies with Daniels against McNulty’s solo Stringer probe	Freamon	McNulty’s effort	70	65	Intelligent	Loyalty to Daniels and unit stability outweigh personal pride in freelancing.
Berates McNulty for selfishly pissing on the unit	Freamon	McNulty	65	60	Intelligent	Harsh feedback risks friction but pushes McNulty to reconsider harmful behavior.
Endangers his career to close a case involving a fence	Freamon	His own career	20	75	Helpless	He sacrifices long‑term career security to fully close a politically sensitive case.
Charges a politically connected fence in 1989	Freamon	Politically connected fence	15	80	Helpless	Morally and investigatively correct action leads to punitive exile for him.
Starts a relationship with much younger Shardene	Freamon	Shardene	80	75	Intelligent	Depicted as mutually affectionate and lasting, benefiting both partners.
Mentors Prez in police work	Freamon	Prez	82	90	Intelligent	His guidance significantly improves Prez’s competence and growth as a detective.
Mentors Kima to a lesser extent	Freamon	Kima	75	85	Intelligent	Advice and example advance her skills and professional development.
Feigns being a hump by painting dollhouse furniture at desk	Freamon	Colleagues’ perceptions	70	60	Intelligent	He hides his true capability, lowering expectations while retaining freedom to work smart.
Exploits “Team Dad” status to get his way	Freamon	Younger detectives	72	68	Intelligent	Paternal leverage nudges them into better police work with manageable manipulation.
Stares over his glasses with “disappointed father” look	Freamon	Protege detectives	70	72	Intelligent	Nonverbal pressure steers them toward responsible action without real harm.
Invokes annoyance at being only veteran in MCU	Freamon	Non‑veteran MCU detectives	55	48	Bandit	Expressed displeasure validates his identity yet needles colleagues with mild contempt.
