Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Red laughs at Eric’s story about his last harsh words to Red’s mother and tells him it’s okay	Red	Eric	60	65	Intelligent	Red normalizes Eric’s guilt with humor, easing Eric’s distress while mildly amusing himself.
Red enjoys watching Kelso’s dangerous “canoeing” stunt in the street	Red	Kelso	60	20	Bandit	Red gains entertainment while tacitly endorsing a risky act that could harm Kelso.
Hyde takes the fall for Jackie having pot	Hyde	Jackie	15	55	Helpless	Hyde risks his own record and security to protect Jackie from consequences.
Red prepares to kick Hyde out after Hyde’s arrest for possession	Red	Hyde	40	25	Bandit	Red’s instinct to expel Hyde would reduce his own burden but heavily harm Hyde’s stability.
Red angrily berates Hyde for taking the fall for Jackie and issues a severe threat	Red	Hyde	55	45	Stupid	The tirade vents Red’s worry but mostly frightens and shames Hyde without producing clear benefit.
Red allows Hyde to remain in the house after the truth comes out	Red	Hyde	70	75	Intelligent	By keeping Hyde, Red preserves family bonds and Hyde’s future while accepting some extra burden.
Red once literally put his foot in someone’s ass at Iwo Jima	Red	Unknown person	45	20	Bandit	He asserts dominance or enforces discipline through violence, benefiting control at another’s expense.
Red balances discipline and affection as head of the household	Red	Family	75	80	Intelligent	His overall approach maintains household order while showing care, helping everyone including himself.
Red initially refuses to take Hyde in due to tight finances	Red	Hyde	45	25	Bandit	Protecting his own limited resources would leave Hyde in neglectful conditions.
Red visits Hyde, sees his squalid living conditions, and decides he “has no choice”	Red	Hyde	70	80	Intelligent	He chooses to help despite costs, improving Hyde’s welfare and his own moral integrity.
Red tells Hyde to pack up and move in, cursing and grumbling	Red	Hyde	72	80	Intelligent	He secures Hyde’s safety and a more stable home, accepting extra expense but gaining extended family.
Red effortlessly intimidates Kelso into line over dating Laurie	Red	Kelso	65	55	Intelligent	His scare tactic protects Laurie/Eric’s circle and imposes boundaries without real harm.
Red avoids direct emotional praise and instead obliquely thanks Eric via “the lawn”	Red	Eric	60	65	Intelligent	He preserves his emotional comfort while still affirming Eric’s contribution and importance.
Red refrains from groping Kitty in movie theaters out of respect	Red	Kitty	80	80	Intelligent	He values Kitty’s comfort and dignity while building a healthier, more respectful relationship for himself.
Red becomes less physically affectionate and can’t bring himself to hug anyone later in the series	Red	Family	35	40	Stupid	His emotional inhibition deprives him and his family of closeness with no offsetting gain.
Red buys a 1958 Corvette in season 4	Red	Red	78	60	Intelligent	He indulges himself with a prized car that brings joy without indicated harm to others.
Red takes in Hyde despite financial struggle to keep him from becoming a “statistic”	Red	Hyde	75	85	Intelligent	He sacrifices resources to provide structure and safety, benefiting both Hyde and his own sense of duty.
Red drops his pants as part of a prank at a USO dance	Red	Guests at dance	65	60	Intelligent	The prank leads to meeting Kitty and mutual amusement, benefitting him and not clearly harming others.
Red punches out a beachgoer who ogled and pinched Kitty	Red	Beachgoer	60	45	Bandit	He protects Kitty’s dignity and asserts himself through violence that harms the other man.
Red yells at Leo for seemingly hitting on Kitty	Red	Leo	55	60	Intelligent	His warning defends his marriage and discourages disrespect with limited collateral damage.
Red jokes about killing Hyde if he were really hitting on Kitty to signal Bob it’s a misunderstanding	Red	Bob	65	70	Intelligent	He uses exaggerated jealousy as a teaching hint, clarifying the situation without real threat.
Red repeatedly calls Eric and the teens “dumbasses”	Red	Younger characters	55	40	Stupid	The insults vent his frustration but tend to undermine relationships and confidence without clear benefit.
Red scares both teens and adults to the point they fear him, which he enjoys	Red	Teens and adults of Point Place	60	30	Bandit	He gains satisfaction and control while creating anxiety in others.
Red accidentally eats Hyde’s pot brownies and gets very high	Red	Red	50	60	Intelligent	Though unintended, the result is comic relief for others and a neutral-to-pleasant experience for himself.
