Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Merry helps Frodo leave the Shire via Bucklebury Ferry while being chased by a Ringwraith	Merry	Frodo	82	88	Intelligent	He risks himself to enable Frodo’s escape from a deadly pursuer, aiding the quest and surviving unharmed.
Merry quickly ascertains that something strange is going on about the Ring situation	Merry	Fellowship (indirectly)	70	72	Intelligent	His fast understanding improves his own preparedness and indirectly supports the group’s decisions.
Merry defeats the Witch-King alongside Éowyn in battle	Merry	Witch-King / Sauron’s forces	60	96	Intelligent	He’s badly hurt but survives, while eliminating a top enemy asset and aiding the entire war effort.
Merry worries about Pippin as they are separated and fears he can’t protect him	Merry	Pippin	40	65	Helpless	His anxiety harms his own well‑being while only modestly benefiting Pippin through care and concern.
Merry berates Pippin for his curiosity	Merry	Pippin	55	35	Bandit	He vents and possibly feels better or protects their situation, but it discourages Pippin and offers limited benefit to him.
Merry gives Pippin his half of the pipe-weed knowing Pippin smokes all of his	Merry	Pippin	70	80	Helpless	He sacrifices his own enjoyment/resources to please and support Pippin with little direct gain to himself.
Merry is clearly overtaken with worries when Gandalf leaves with Pippin for Minas Tirith	Merry	Merry	35	55	Helpless	His distress harms himself emotionally while only slightly reflecting his loyalty and concern for others.
Pippin finds an unconscious Merry after the Pelennor Fields and saves him	Pippin	Merry	85	88	Intelligent	Pippin risks effort and danger to rescue Merry, strongly benefiting Merry and gaining friendship and emotional reward.
Merry and Éowyn nearly die from contact with the Witch-King after killing him	Merry	Enemy forces / Fellowship	45	90	Intelligent	The act nearly kills him but decisively removes a key enemy, hugely benefiting others and the cause.
Merry chooses to wear a yellow vest to distinguish himself from Pippin	Merry	Others needing to tell them apart	60	65	Intelligent	He gains clearer identity and reduces confusion for others at trivial cost.
Merry sees the Rohirrim attack on the Uruk-hai as an opportunity and initiates escape	Merry	Himself & Pippin	88	92	Intelligent	He seizes a risky but successful chance to escape captivity, greatly helping both himself and Pippin.
Merry and Pippin are cornered by Uruk-hai and rely on Boromir’s rescue	Boromir	Merry & Pippin	20	80	Helpless	Boromir sacrifices his life to save them; huge benefit to them at extreme cost to himself.
Merry and Pippin later escape their Uruk captors during the Rohirrim attack	Merry & Pippin	Themselves	88	90	Intelligent	They act decisively to free themselves using the distraction, strongly improving their own and others’ situation.
Merry has always gotten both himself and Pippin into trouble since childhood	Merry	Merry & Pippin	35	40	Stupid	His tendency to start trouble harms them both with little compensating benefit mentioned.
Merry also pulls Pippin out of the trouble he starts	Merry	Pippin	70	80	Intelligent	He actively rescues Pippin from danger his antics caused, protecting Pippin at some cost and risk to himself.
Merry jumps at the call to protect Frodo alongside Pippin	Merry	Frodo	82	90	Intelligent	He willingly enters danger to support Frodo’s mission, aiding the quest and gaining purpose and growth.
Merry is dismissed as unable to fight but later is the first to march into an army	Merry	Allies / enemy army	78	88	Intelligent	He overcomes dismissal, joins battle bravely, helping the cause and earning personal valor despite risk.
Merry uses stone-throwing to headshot orcs from afar, killing them	Merry	Enemy orcs	80	85	Intelligent	His precise ranged attacks safely remove threats, protecting allies and improving his own odds of survival.
Merry forms an intergenerational friendship with Théoden and Éowyn	Merry	Théoden & Éowyn	75	80	Intelligent	The bonds provide him protection, mentorship, and mutual emotional support.
Merry forms interspecies friendships (with Treebeard and the Fellowship)	Merry	Treebeard & non-hobbit allies	80	85	Intelligent	These alliances give him protection, transport, and influence while strengthening cooperation against Sauron.
Merry jumps at the call to protect Frodo (stated separately) with Pippin	Merry	Frodo	80	88	Intelligent	Again, he eagerly commits to Frodo’s safety, trading safety for shared mission success and camaraderie.
Merry uses a Kubrick-like stare while yelling at the Ents for refusing to fight	Merry	Ents	65	70	Intelligent	His intense appeal reflects emotional investment and helps pressure the Ents toward eventual action.
Merry convinces the Ents to fight against Saruman (as “the McCoy”)	Merry	Ents & anti-Saruman forces	90	98	Intelligent	He catalyzes the Ents’ entry into war, massively benefiting the world while enhancing his own status and safety.
Merry develops a platonic life-partner bond with Éowyn in joining the Pelennor battle	Merry	Éowyn	78	82	Intelligent	The partnership strengthens both in battle and offers mutual emotional support.
Merry acts as “Blue Oni” planner and is more vocal in convincing the Ents to fight	Merry	Ents & allies	88	95	Intelligent	His strategic, vocal leadership helps turn the Ents into active combatants, hugely benefiting the cause.
Merry initiates his and Pippin’s escape from their Uruk captors	Merry	Merry & Pippin	90	92	Intelligent	His initiative directly secures their freedom with strong benefit and acceptable risk.
Merry tries to convince the Ents to take up arms against Isengard	Merry	Ents	88	96	Intelligent	His persuasion helps mobilize a decisive force against Saruman, greatly aiding others and himself.
Merry, as “the Smart Guy,” guides the hobbits as far as Bree	Merry	Other hobbits	82	85	Intelligent	His knowledge safely guides them on the early journey, benefiting both himself and his companions.
Merry’s troublemaking with Pippin as a Trickster archetype	Merry	Merry & Pippin	40	50	Helpless	His mischief gives them some fun but repeatedly gets them into risky situations with marginal net benefit.
Merry later faces down Mordor’s armies and the Witch-King without hesitation	Merry	Sauron’s forces	75	92	Intelligent	His fearless stand significantly aids the battle outcome while increasing his honor and growth despite danger.
