Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Tahani suggests they go see the Judge and plead their case	Tahani	Soul Squad and Judge	88	90	Intelligent	Gets the group in front of the Judge and catalyzes discovery that the morality system is broken, benefiting everyone including herself.
Tahani vents to Michael about her good intentions being undone by consequences	Tahani	Michael	70	85	Intelligent	Her complaint inadvertently gives Michael the key insight that the points system is broken, aiding the whole project and not clearly harming her.
Tahani raises $60 billion for non-profit groups	Tahani	Non-profit beneficiaries	82	95	Intelligent	Hugely boosts her prestige and life success while directing massive resources to charities.
Tahani defies Michael to prove she wasn’t a good person in life	Tahani	Michael	40	45	Helpless	She risks her standing and is emotionally shaken just to prove a petty point, offering little to others.
Tahani calls out a hypothetical version of her parents for being lousy parents	Tahani	Her parents (hypothetical)	75	55	Intelligent	Confronting them gives her emotional closure and self-respect with minimal impact on others.
Tahani realizes she wants to be good for its own sake, not attention	Tahani	Herself and general others	88	80	Intelligent	Internal shift improves her well-being and leads to more genuinely altruistic behavior.
Janet encourages Tahani to make amends with Kamilah	Janet	Kamilah and Tahani	70	78	Intelligent	The push helps Tahani grow and gives Kamilah a chance at salvation, with no downside shown.
Tahani makes amends with Kamilah to help save her from damnation	Tahani	Kamilah	80	82	Intelligent	Reconciliation frees Tahani from guilt and improves Kamilah’s afterlife prospects.
Tahani encourages Jason to talk with Janet about his past marriage	Tahani	Jason and Janet	60	65	Intelligent	Though it backfires situationally, the intent and likely long-term effects are to resolve their emotional issues, with some emotional cost to herself.
Tahani primes herself to talk with her old harasser John to help his soul	Tahani	John	78	80	Intelligent	She faces discomfort to reach out to John in hopes of improving his moral growth.
Tahani dedicates her afterlife to mastering practical skills	Tahani	Future souls	90	75	Intelligent	Gaining skills enriches her eternity and equips her to help others better.
Tahani decides to forgo the final door and become an afterlife architect	Tahani	New souls in afterlife	92	92	Intelligent	She finds purpose and satisfaction while devoting eternity to guiding others.
Tahani beans a demon over the head with a pool cue during a fight	Tahani	Demon attacker	75	55	Intelligent	Pragmatic self-defense protects her and her friends against hostile demons.
Tahani abandons curfew to help fix the sinkhole	Tahani	Neighborhood residents	35	70	Helpless	She endangers herself (and status) to help others during a crisis, trading her safety for their benefit.
Tahani sneaks into Kamilah’s party disguised as a waitress to confront her	Tahani	Kamilah	10	5	Stupid	Her need for confrontation yields only humiliation and sets up her fatal outcome with no benefit to anyone.
Tahani tells off Kamilah at the party for not inviting her	Tahani	Kamilah	20	10	Stupid	Venting briefly asserts herself but worsens the dynamic and contributes to the escalating humiliation.
Tahani tries to tear down Kamilah’s statue in public	Tahani	Herself and bystanders	0	5	Stupid	She kills herself in a petty rage, traumatizes onlookers, and achieves nothing against Kamilah.
Tahani has a breakdown at Kamilah’s party in front of everyone	Tahani	Party guests	5	15	Stupid	Her public meltdown destroys her dignity and upsets the scene without helping anyone.
In the new timeline, Tahani brings a fire ax to break a table in rage at Kamilah	Tahani	Kamilah’s property	15	10	Stupid	She risks harm and legal trouble to smash furniture, offering no real gain.
Tahani dies instead of going to Haiti for relief efforts because of the statue incident	Tahani	Haiti relief recipients	0	0	Stupid	Her self-destructive envy prevents her from doing real good and ends her life pointlessly.
Tahani realizes all her good acts were for attention, not true goodness (first heel realization)	Tahani	Herself	60	55	Intelligent	The painful insight damages her ego but improves her self-knowledge and capacity to change.
Tahani realizes the Bad Place’s party-torture works because she still cares about status (second heel realization)	Tahani	Herself	62	55	Intelligent	Again she suffers ego pain but gains clarity about her flaws, enabling growth.
Tahani breaks up with Jason to learn to stand on her own	Tahani	Jason	70	65	Intelligent	She sacrifices immediate emotional comfort for personal growth while freeing Jason from a dependency-based relationship.
Tahani accepts that her parents will never treat her well and stops seeking their approval	Tahani	Her parents	85	60	Intelligent	Letting go boosts her mental health and indirectly reduces everyone’s conflict.
Tahani tells Eleanor she wants to be a better friend after regaining her memories	Tahani	Eleanor	82	78	Intelligent	Opens the door to a healthier friendship, strengthening both of them.
Tahani gives her money away to charity and strangers on the street	Tahani	Charities and random people	65	90	Helpless	She lessens her material security to greatly benefit others, with limited clear payoff to herself on Earth.
Tahani decides to marry Jason to give him legal access to her money	Tahani	Jason	55	80	Helpless	She complicates her own life and existing engagement largely to enrich Jason and share resources with him.
Tahani forgets she is engaged to Larry when she marries Jason	Tahani	Larry	20	10	Stupid	She harms Larry emotionally and damages the relationship for no added benefit beyond what she had already planned for Jason.
Tahani pushes “Jianyu” to break his vow of silence despite his apparent wishes	Tahani	Jason (“Jianyu”)	35	30	Stupid	Her need for validation overrides respect for his choice, making both of them uncomfortable without gain.
Tahani assumes Eleanor and Chidi made Jianyu talk as a surprise for her	Tahani	Eleanor and Chidi	45	40	Stupid	This self-centered misreading clouds her judgment and irritates others without helping her.
Tahani assumes she and Chidi are soulmates and declares her love without considering his feelings	Tahani	Chidi	40	25	Bandit	She seeks romantic gratification while disregarding his autonomy, causing him distress.
Tahani throws a happy retirement party for Michael without understanding retirement is torture	Tahani	Michael	60	30	Stupid	Her thoughtless “celebration” inadvertently mocks his fate, slightly hurting him while doing little for herself.
Tahani frequently name-drops celebrities seeking praise and recognition	Tahani	Listeners	55	35	Bandit	She boosts her ego and image while annoying and diminishing others’ comfort.
Tahani fishes for compliments and praise due to her parents’ neglect	Tahani	Social circle	50	40	Bandit	She gains emotional validation at the cost of subtly burdening and tiring those around her.
Tahani repeatedly boops Eleanor on the nose despite her dislike	Tahani	Eleanor	45	30	Bandit	She indulges her own affection/playfulness while clearly making Eleanor uncomfortable.
Tahani stops booping Eleanor in Season 3	Tahani	Eleanor	70	75	Intelligent	Adjusting her behavior improves Eleanor’s comfort and their relationship with no cost to Tahani.
