Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
His father wants him to give up performing to be a doctor	Mike's father	Mike	40	10	Bandit	Father attempts to redirect Mike to a higher-status career, benefiting perceived family status while suppressing Mike's passion.
His father disowns him for pursuing his dancing career	Mike's father	Mike	5	0	Stupid	Disowning Mike causes serious emotional/familial harm with no clear benefit to the father.
He comes around eventually	Mike's father	Mike	70	80	Intelligent	Father reconciling restores the relationship and supports Mike’s chosen path, helping both.
When forced to choose between Glee Club and Football, he went with Glee Club without a second thought	Mike	Football team / Glee Club	85	75	Intelligent	Choosing Glee nurtures his talents and identity while strengthening the club and its performances.
Mike is on the academic decathlon team	Mike	Academic decathlon team	75	70	Intelligent	Participation builds his academic record and contributes skills/effort to the team.
He became a series regular in the third season	Showrunners / producers	Mike (character)	80	70	Intelligent	Promoting him increases his screen time/career value and enriches the show’s ensemble.
He's training his vocal prowess	Mike	Mike / Glee Club	80	70	Intelligent	Vocal training improves his skills and enhances group performances.
Mike and Matt maintain a close friendship (heterosexual life-partners)	Mike and Matt	Each other	75	75	Intelligent	Their strong, supportive friendship benefits both and adds positive social support to others.
Mike forms an easy friendship with the “losers” of the group	Mike	Tina, Artie, Kurt, Mercedes	80	80	Intelligent	He gains a solid friend group while offering acceptance and enthusiasm to marginalized peers.
He's one of the most enthusiastic members of New Directions, always moving as soon as music starts	Mike	New Directions	75	75	Intelligent	His enthusiasm expresses his passion and energetically lifts group morale and performances.
He commutes on a bus in season 4	Mike	Mike	55	55	Intelligent	Neutral-mildly positive practical action that enables him to get where he needs to go without impacting others much.
He hooks up with Tina after she sees him shirtless at Asian Camp	Mike	Tina	70	65	Intelligent	Mutual attraction leads to a consensual hookup that appears to start a stable relationship benefiting both.
Mike and Tina are in a stable relationship throughout seasons 2 and 3	Mike and Tina	Each other	85	85	Intelligent	Long-term supportive relationship benefits both partners and contributes stability to their social circle.
Mike and Tina break up shortly before the beginning of season 4	Mike and Tina	Each other	30	30	Helpless	Breakup ends a very stable, positive relationship with mutual emotional loss and no stated offsetting benefit.
Mike has an offscreen breakup with Tina at the start of season 4	Mike and Tina	Each other	30	30	Helpless	A second framing of the same breakup emphasizes mutual loss without shown gain.
Mike has an offscreen breakup with Brittany between late season 1 and season 2	Mike and Brittany	Each other	45	45	Helpless	Ending a presumably lighter relationship brings some emotional cost and ambiguity with no depicted benefit.
Mike and Tina start dating by season 2	Mike and Tina	Each other	80	80	Intelligent	Forming a romantic relationship gives both emotional fulfillment and companionship.
Mike and Brittany end their implied relationship before season 2 so he can date Tina	Mike	Brittany	60	55	Bandit	Mike appears to move from Brittany to Tina, benefiting from a more compatible relationship while causing Brittany some loss.
