Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Starts up a pet adoption to avoid filling in for Leslie at government meetings	April	Animals needing homes / public	78	82	Intelligent	She dodges boring meetings yet creates a successful adoption effort that helps animals and citizens.
Imitates Leslie’s presentation style to cope with public spotlight	April	Herself / audience	63	55	Intelligent	Using Leslie’s persona helps her manage nerves and function publicly, with no clear harm to others.
Stops imitating Leslie and starts acting like herself in presentations	April	Public / parks dept.	80	60	Intelligent	She’s more effective and comfortable, despite complaints about rudeness, so net gain for her and her work.
Constantly insults, makes fun of, and belittles Ann	April	Ann	70	20	Bandit	She gains amusement and ego boost while repeatedly hurting Ann socially/emotionally.
Turns to Ann for advice despite treating her badly	April	Ann	68	70	Intelligent	She benefits from Ann’s guidance and the dynamic slowly becomes a mutual, semi-jokey friendship.
Admits she loves Ann but mumbles and begs her not to repeat it	April	Ann	72	76	Intelligent	Honesty deepens their bond and costs her only mild embarrassment.
Eventually has a son Jack and another child with Andy	April	Her family	90	88	Intelligent	The story presents the children as part of a positive “babies ever after” outcome for them.
Shows disdain for people but actively helps cats and dogs get adopted	April	Animals / adopters	82	88	Intelligent	Her misanthropy doesn’t stop her from building a high-impact, fulfilling animal-help project.
Encourages Andy to pursue his dreams	April	Andy	77	85	Intelligent	Her support advances Andy’s growth and career, and she benefits from a more capable partner.
Insults and embarrasses other people (especially Jerry) for fun	April	Jerry / others	74	15	Bandit	She entertains herself at the repeated expense of coworkers’ dignity and comfort.
Uses hints, subterfuge, and jealousy ploys instead of telling Andy she likes him	April	Herself / Andy	28	35	Helpless	Her avoidance of direct communication prolongs problems and confusion in the relationship.
Asks “why does everything we do have to be cloaked in 15 layers of irony?” after gay boyfriends act like jerks	April	Herself / social group	75	65	Intelligent	Recognizing and challenging her own over-ironic lifestyle helps her move toward more authentic connections.
Attempts earnestly to forge a career as she realizes she can’t be a jerk to everyone	April	Herself / coworkers	88	86	Intelligent	Choosing ambition and professionalism benefits her trajectory and improves her relationships at work.
Encourages Andy’s independence by not being a caregiver in the way Ann was	April	Andy	70	78	Intelligent	Her different style pushes Andy to mature and become more self-sufficient, improving their relationship.
Rejects her two gay boyfriends for being artificial and mean, and chooses Andy instead	April	Derek & Ben / Andy	82	72	Intelligent	Leaving a toxic, performative relationship for a kind partner is good for her and for Andy.
Breaks up with her “gay boyfriend” Derek when she realizes he and Ben are mean	April	Derek & Ben	79	60	Intelligent	She removes herself from a negative dynamic and stops reinforcing their nastiness.
Encourages Andy to believe growing up can still fit who they are	Andy & April	Each other	80	78	Intelligent	They reconcile responsibility with authenticity, improving their future prospects and relationship stability.
Adopts three-legged dog Champion with Andy	April & Andy	Champion	88	90	Intelligent	The adoption increases their happiness and gives the disabled dog a loving home.
Tricks her doppelgänger into breaking into Dwyane Wade’s house	April	Doppelgänger / Dwyane Wade	68	10	Bandit	She gets amusement while putting another person at risk of legal trouble and violating someone’s property.
Puts question mark stickers on stop signs	April	Drivers / public safety	55	8	Stupid	Confusing stop signs endangers others’ safety with no real benefit beyond fleeting mischief.
Swipes Chris’ car keys so he can’t take Millicent home to have sex	April	Chris & Millicent	65	60	Intelligent	She protects Garry’s comfort and slows a situation perceived as inappropriate with little real cost to herself or them.
Consoles Leslie after her argument with Ben and encourages her to talk to him	April	Leslie	78	84	Intelligent	Her emotional support and advice improve Leslie’s chances of fixing the relationship, strengthening their bond.
Offers to take Chris to the movies with tickets she won after feeling guilty about wishing him misfortune	April	Chris	70	75	Intelligent	She mitigates earlier harm and improves Chris’s mood, while getting social time with Andy and Chris.
Sets Ann up with Tom because she thinks Tom makes Ann happy and hides it from Leslie	April	Ann & Tom	64	62	Intelligent	Her matchmaking is well intentioned and partially successful, even if it later annoys her.
Attempts to set Chris up with Andy’s college professor	April	Chris	62	58	Intelligent	She tries to help lonely Chris find companionship and also get him off their backs; outcome is messy but not clearly harmful.
Tries hard to be nice to Garry when she believes he is very ill (even scratching his back)	April	Garry	74	82	Intelligent	She overcomes her usual cruelty to comfort a supposedly sick coworker, gaining empathy practice.
Takes no action when offered to go to Indianapolis with Chris (backs out of possible transfer)	April	Herself / Chris	52	55	Intelligent	Following her gut and staying ultimately leads to a good long-term arc with Andy and her later career.
Chooses to attend time with Andy instead of a gay Halloween party she’d find amazing	April	Herself / Andy	73	71	Intelligent	She sacrifices a fun event for a meaningful night with Andy, strengthening the relationship.
Professionally matches people with projects that fit their passions	April	Clients / projects	92	95	Intelligent	Her eventual career systematically benefits both individuals and organizations across the country.
Infiltrates a wine tasting and deliberately confuses people with absurd statements	April	Wine event attendees	66	25	Bandit	She has a great time trolling the event while wasting others’ time and undermining their experience.
Stands up and makes a fake acceptance speech when a sommelier wins and has to be escorted out	April	Sommelier / audience	60	18	Bandit	Her grandstanding entertains herself while hijacking the winner’s moment and disrupting the event.
Violently protects Andy’s feelings and reputation from others’ mistreatment	April	People who might hurt Andy	77	70	Intelligent	Her fierce defense benefits Andy and usually only mildly inconveniences others.
Lists the things she cares about (Andy, Champion, Leslie, animal shelter) in Season 4	April	Herself / named people	83	80	Intelligent	Articulating her attachments reflects growth and helps her prioritize caring actions toward them.
Admits, very begrudgingly, that she cares for Ann when saying goodbye	April	Ann	78	82	Intelligent	This reluctant confession deepens their connection and brings mutual emotional benefit.
