Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Fry simultaneously mans cannons and steers ship with strings to fend off Robot Mafia	Fry	Planet Express crew	92	88	Intelligent	He risks himself using his gaming-honed skill to defend everyone and escape attackers.
Fry bonds compassionately with enemies	Fry	Enemies	70	80	Intelligent	He gains relationships and de-escalation while making former enemies feel understood.
Fry saves Earth and the universe multiple times thanks to missing Delta brainwave	Fry	All sapient beings	98	100	Intelligent	His unique brain lets him avert total destruction repeatedly, massively benefiting himself and others.
Fry flirts with Amazonian woman and is excited at prospect of snu-snu death	Fry	Amazon women	20	40	Helpless	His thrill-seeking gains little while courting literal lethal sex and offering himself as entertainment.
Fry dates Amy then remains close friends after breakup	Fry	Amy	75	78	Intelligent	He gains a past romance and enduring friendship while Amy keeps a valued friend.
Fry routinely suffers horrific injuries from Bender and situations	Fry	None specific	10	55	Helpless	He endures severe harm as a Butt-Monkey with little clear benefit, while others are mostly unaffected or amused.
Fry celebrates being in the future after realizing he’ll never see family again	Fry	Fry’s past family	60	20	Bandit	He feels liberated and happier yet implicitly discards concern for people left behind.
Fry wrestles Zoidberg and then seriously fights after arm is cut off	Fry	Zoidberg	45	35	Bandit	He escalates a deadly fight hurting both sides for pride and survival with no wider benefit.
Fry starts choking Nibbler for using him	Fry	Nibbler	30	25	Stupid	He vents anger through physical retaliation, gaining nothing and harming an ally.
Fry brightens the Planet Express crew’s lives by his presence	Fry	Planet Express crew	75	90	Intelligent	His upbeat, silly nature makes his own life better and meaningfully improves everyone’s morale.
Fry attends Mars University just so he can drop out	Fry	Mars University staff	20	40	Helpless	He wastes effort and opportunity for a joke goal while giving others minor tuition/use.
Fry lives in Bender’s closet after living in Planet Express office	Fry	Bender	60	55	Intelligent	He solves his housing problem cheaply while Bender isn’t significantly harmed and keeps a close friend nearby.
Fry is Determinator searching for Bender in space after others give up	Fry	Bender	85	95	Intelligent	He expends effort but preserves his best friend and demonstrates extreme loyalty.
Fry abandons moon rover declaring “every man for himself” and sinks in dust	Fry	Leela	10	30	Helpless	He panics and harms his own chances, then depends on Leela’s help without offering benefit.
Fry blasts a hole with the only charged phaser to hide in during war	Fry	Fellow soldiers	25	30	Helpless	He protects himself short-term while leaving comrades exposed, giving no broader gain.
Fry later rides a bouncing ball to peace meeting to save Bender’s life	Fry	Bender	80	90	Intelligent	He risks himself to intervene in high-level talks, saving his friend and helping peace.
Fry joins the police force and makes detective	Fry	Police department	70	65	Intelligent	He advances his career and contributes to law enforcement before later events undo it.
Fry warns Bender that he’s suspected of a future crime, getting himself fired	Fry	Police department	15	40	Helpless	He sacrifices a hard-earned job to protect Bender without much compensating gain.
Amnesiac Fry leads Neanderthals in war and brings them an easy victory	Fry	Neanderthals	85	30	Bandit	He becomes a successful war leader for one side while inflicting heavy losses on the other humans.
Fry challenges Leela to hand-to-hand combat and holds his own	Fry	Leela	65	55	Intelligent	He proves impressive combat competence, gaining respect and skills without major harm.
Fry re-arranges a galaxy with a gravitational array to write Leela a love message	Fry	Leela	82	75	Intelligent	He invests immense effort for romance, gaining emotional fulfillment and giving her a profound gesture.
Fry wins Delivery Boy of the Year by outliving dead child competitors	Fry	Other delivery boys’ memory	75	40	Bandit	He gains recognition largely by default while the others are celebrated mainly posthumously.
Fry manning weapons in battle against Space Pirates and taking out both ships	Fry	Planet Express crew	90	85	Intelligent	His combat skill directly secures victory and survival for himself and his shipmates.
Fry spends years in past building career as aquarium assistant director as Lars	Fry (as Lars)	Past society	82	70	Intelligent	He develops competence, status, and relationships while providing valuable work.
Fry chases persistently after Leela’s love for several seasons	Fry	Leela	60	45	Bandit	He pursues his own romantic goal, causing repeated discomfort and pressure for Leela.
