Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
His dad kidnaps him as a young boy	His dad	Frenchie	60	0	Bandit	Father gains control/power over the child while gravely harming him.
His dad is physically abusive, putting out cigarettes on his body	His dad	Frenchie	55	0	Bandit	Father asserts dominance/venting at cost of the child's health and safety.
Father tries to smother Frenchie with a Hello Kitty duvet	Father	Frenchie	40	0	Bandit	Attempted killing would remove responsibility for the child if successful, while wholly harming him.
Frenchie produces drugs	Frenchie	Drug buyers / society	70	20	Bandit	Profits and sustains his life via illicit drug production that risks harm to others.
Frenchie smuggles weapons	Frenchie	Weapons recipients / society	72	15	Bandit	Gains money/status while contributing to violent capabilities of others.
Frenchie breaks and enters	Frenchie	Victims of burglary	65	10	Bandit	Personal criminal gain or opportunity while directly harming victims’ security.
Frenchie lies to authorities	Frenchie	Authorities	75	20	Bandit	Protects himself and his operations while undermining lawful processes.
Frenchie fools Homelander with his lies	Frenchie	Homelander	80	30	Bandit	Successfully deceives a dangerous supe to protect himself and his team, at Homelander’s expense.
Frenchie kisses Hughie on the lips during the Compound V exposure	Frenchie	Hughie	60	70	Intelligent	Expresses support/solidarity that strengthens their bond with no shown downside.
Frenchie asks MM how he feels about transgender strippers for his bachelor party	Frenchie	Mother’s Milk	55	55	Intelligent	Tests MM’s openness and pushes boundaries in a way that slightly irritates but broadens perspective.
Frenchie tells MM “don’t be so close-minded” about the giant penis incident	Frenchie	Mother’s Milk	55	60	Intelligent	Pushes MM to rethink his prejudices while mostly just ribbing him.
Frenchie rigs improvised weapons and tools	Frenchie	Supes	70	30	Bandit	Improves his and his team’s offensive/defensive capacity while threatening targeted supes.
Frenchie runs arms deals	Frenchie	Clients / public	72	15	Bandit	Earns income and status by distributing weapons that endanger others.
Frenchie formulates Novichok	Frenchie	Targets of nerve agent	60	5	Bandit	Enhances his lethal arsenal with an indiscriminate weapon that heavily endangers others.
He claims he is a gunrunner for his trade	Frenchie	Associates	60	50	Intelligent	Signals his capabilities and honesty to allies, building trust/usefulness with no clear harm.
He develops ways to fight supes in his downtime	Frenchie	Supes	70	30	Bandit	Increases his side’s effectiveness in harming supes without direct benefit to them.
He helps Kimiko, feeling she makes him a better person	Frenchie	Kimiko	75	85	Intelligent	His support aids her adjustment and also serves his atonement and emotional growth.
He agrees to Mallory’s offer when told his accomplices will be spared	Frenchie	His accomplices	70	80	Intelligent	Saves himself and his friends from worse punishment by joining The Boys.
He claims to sleep with someone different every night	Frenchie	His partners / MM	60	45	Intelligent	Enjoys sexual freedom and possibly needling MM, with no shown harm to others.
He’s devastated he didn’t get to witness or participate in Herogasm	Frenchie	Frenchie	40	50	Helpless	His intense FOMO makes him unhappy without affecting others.
He uses chemistry to support his criminal career	Frenchie	Targets of his crimes	68	25	Bandit	Boosts his effectiveness and survival as a criminal at others’ expense.
He tries to befriend Hughie by telling horrifying childhood stories	Frenchie	Hughie	60	45	Intelligent	Uses dark openness to bond with Hughie, causing some discomfort but deepening connection.
He serves as Kimiko’s minder helping her readjust to life outside a cage	Frenchie	Kimiko	80	90	Intelligent	Spends time/effort guiding her rehabilitation, clearly helping both of them.
He bonds with Annie over Catholic faith hardships	Frenchie	Annie	70	70	Intelligent	Mutual sharing gives both emotional support and understanding.
He refuses to believe he is worthy of forgiveness for his past crimes	Frenchie	Frenchie	20	55	Helpless	His self-condemnation harms his own psyche while not benefiting others.
He considers Kimiko someone he should talk to, per Annie’s suggestion	Frenchie	Kimiko	70	80	Intelligent	Potential emotional openness aids his healing and strengthens their bond.
He maintains 34 addresses and 12 aliases, with a location rigged to burn	Frenchie	Investigators / neighbors	80	20	Bandit	Greatly improves his own safety/escape capability while endangering evidence and surrounding people.
Little Nina exposes his scars to humiliate him in front of Kimiko	Little Nina	Frenchie	60	10	Bandit	She asserts control and psychological dominance, harming him emotionally without clear self-harm.
Frenchie casually consumes all manner of drugs	Frenchie	Frenchie	35	50	Helpless	Sustains addiction that risks his own health despite not impairing his skills yet.
He robs banks with friends and defeats supes using wits and drugs	Frenchie	Banks / supes	70	20	Bandit	Gains money and reputation while harming institutions and targeted supes.
He cooks French cuisine and coaches Kimiko	Frenchie	Kimiko	70	80	Intelligent	Improves his own esteem/skills and supports Kimiko’s competence and joy.
He tries to kiss Kimiko while high on cocaine	Frenchie	Kimiko	20	30	Helpless	Harms his relationship and self-respect while offering only a momentary, drug-fueled impulse.
He is remorseful for crossing Kimiko’s boundaries afterward	Frenchie	Frenchie	45	65	Helpless	Accepting guilt helps Kimiko but causes him emotional pain and self-judgment.
Kimiko later kisses Frenchie, starting their romance	Kimiko	Frenchie	85	85	Intelligent	Both gain emotional intimacy and mutual happiness.
They finally admit their feelings and share a Big Damn Kiss	Frenchie & Kimiko	Each other	90	90	Intelligent	Mutual commitment brings strong emotional fulfillment to both.
He rigs weapons and traps that incapacitate or kill supes	Frenchie	Supes	72	25	Bandit	Increases his team’s survival and offensive power at the expense of targeted supes.
He realizes Translucent is vulnerable inside and decides to exploit it	Frenchie	Translucent	75	25	Bandit	Uses insight to find a lethal weakness, benefitting his side while endangering Translucent.
He knocks Translucent out with extra voltage	Frenchie	Translucent	75	20	Bandit	Neutralizes a powerful enemy, protecting his group while harming the supe.
He shoves C4 up Translucent’s rectum	Frenchie	Translucent	80	10	Bandit	Ensures a lethal failsafe; extremely harmful to Translucent, highly protective for Frenchie’s side.
He designs a Xanax-spreading RPG to neutralize a rage-based supe	Frenchie	Rage-based supe	75	40	Bandit	Non-lethally suppresses a dangerous supe but still targets them one-sidedly.
He attempts EMP-backed RPGs against Stormfront	Frenchie	Stormfront	70	25	Bandit	Failed plan still shows intent to harm a powerful enemy for his team’s benefit.
He picks locks with the right tools	Frenchie	Property owners	70	30	Bandit	Improves his access and effectiveness as a criminal at others’ security expense.
He offers Hughie an LSD/MDMA cocktail to calm his nerves	Frenchie	Hughie	50	40	Stupid	Hughie gains dubious relief while being impaired; Frenchie risks his ally’s stability with little clear benefit.
He forms life lessons from watching The Golden Girls	Frenchie	Frenchie	65	55	Intelligent	Extracts workable moral/emotional frameworks that help him function.
He spends S4E5 lamenting that he never got comeuppance for killing Colin’s family	Frenchie	Frenchie	15	60	Helpless	Deep guilt torments him but signals moral awareness valued by others.
He walks into a police station and confesses to murder	Frenchie	Police / society	10	85	Helpless	Severely harms his own freedom to provide justice and closure for others.
He urges Colin to finish strangling him if it satisfies Colin	Frenchie	Colin	5	40	Helpless	Inviting his own death only slightly helps Colin’s catharsis while destroying himself.
Colin beats and nearly strangles Frenchie, then stops	Colin	Frenchie	40	20	Bandit	Colin gets some vengeance catharsis but still harms Frenchie and leaves with ongoing rage.
Colin threatens to kill Frenchie if he sees him again	Colin	Frenchie	45	20	Bandit	Maintains emotional power and future control over Frenchie through fear.
Frenchie reads and translates Kimiko’s gestures for the group	Frenchie	Kimiko & The Boys	80	90	Intelligent	He becomes her voice, aiding communication for her and operational clarity for the team.
Frenchie uses the Wile E. Coyote vs. Road Runner analogy to argue for simply killing supes	Frenchie	The Boys’ strategy	65	20	Bandit	Clarifies a lethal, direct tactic that helps their operational focus while endangering future targets.
