Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Leela sleeps with Zapp out of pity on their first encounter	Leela	Zapp	10	20	Helpless	She gains nothing, complicates her life, while giving him gratification and leverage.
Zapp repeatedly asks Amazonians to tighten his restraint and spank him during Snu-Snu	Zapp	Amazonian women	75	55	Intelligent	He gets sexual pleasure and they seem willing participants enjoying domination.
Zapp goes on a date with Richard Nixon's Head	Zapp	Richard Nixon's Head	70	60	Intelligent	He gains romantic/sexual experience; no harm to Nixon implied.
Zapp performs an erotic fan dance in front of Kif	Zapp	Kif	65	15	Bandit	He indulges his exhibitionism while subjecting Kif to unwanted sexual display.
Zapp uses Kif as a loofah on his genitals in the shower	Zapp	Kif	70	5	Bandit	He gains physical comfort while sexually harassing and humiliating Kif.
Kif files a formal sexual-harassment complaint against Zapp	Kif	Zapp	65	55	Intelligent	He protects himself and future victims with no shown downside to innocents.
Zapp appears on a “battlefield” riding a horse on a hovering pad rather than fighting	Zapp	His troops	80	10	Bandit	He preserves his safety and image while leaving troops to face danger alone.
Zapp shows up to a battle just to show off to the cameras	Zapp	Allied forces	75	20	Bandit	He boosts his public image while contributing little to an actually dangerous situation.
Zapp observes the battle against Yivo’s tentacles from Applebee’s rather than engaging	Zapp	Humanity/DOOP forces	85	15	Bandit	He stays safe and comfortable while others fight and die without his help.
Zapp tries to fight giant tardigrades but cannot even activate his gun	Zapp	Kif	40	40	Stupid	His incompetence endangers himself and forces Kif to save him with no upside.
Kif rescues Zapp from the tardigrades	Kif	Zapp	60	55	Intelligent	He saves Zapp’s life without clear self-harm beyond standard risk.
Zapp sends his men on deadly missions over ridiculous causes	Zapp	His subordinates	70	5	Bandit	He gains glory and obedience at the cost of many soldiers’ lives.
Bender volunteers for a suicide mission after Zapp orders a “patriotic program”	Brannigan’s program	Bender	15	5	Stupid	It drives Bender to self-destructive volunteering with minimal benefit to anyone.
Zapp declares that when he’s in charge every mission is a suicide mission	Zapp	His subordinates	80	10	Bandit	He normalizes extreme risk to troops to advance his aims and reputation.
DOOP attempts to replace their army with clones of Zapp	DOOP leadership	DOOP/Zapp	10	10	Stupid	The project destroys Zapp’s competence and leaves DOOP stuck with a broken figurehead.
Zapp writes or “stamps his name onto” the Big Book of War	Zapp	Readers/commanders	65	15	Bandit	He boosts his prestige while disseminating dangerously bad doctrine.
Zapp bullies Kif personally	Zapp	Kif	70	15	Bandit	He gratifies his ego and dominance while emotionally harming Kif.
Zapp starts wars with weak races like the Pacifists of the Gandhi Nebula	Zapp	Peaceful alien races	75	5	Bandit	He creates wars for glory, devastating harmless civilizations.
Zapp continues eating Popplers after learning they are Omicronian young	Zapp	Omicronians’ offspring	80	5	Bandit	He gains gustatory pleasure by literally consuming sapient young, enraging their species.
Zapp decides he’s had enough of President McNeal’s selfishness and bags him up for the Omicronians	Zapp	President McNeal	55	25	Helpless	He rids himself of a leader he dislikes but risks his own society’s politics and safety; still slightly beneficial to others by removing a selfish president.
Zapp commissions a children’s warship because “children are our future”	Zapp	Child soldiers	60	5	Bandit	He increases manpower and image at the cost of children’s lives.
Brainwashed Zapp races to stop camp children from going to war once he realizes they’re child soldiers	Zapp	Children	55	70	Intelligent	He belatedly protects them, slightly risking his standing to safeguard their lives.
Zapp devises a plan to save Leela by using an orangutan decoy	Zapp	Leela	60	65	Intelligent	He protects his image and her life simultaneously with a relatively low-harm deception.
Zapp is genuinely disgusted when Free Waterfall Jr. sabotages the orangutan plan	Zapp	Earth/Leela	55	60	Intelligent	He values the pragmatic rescue and Earth’s safety over ideological sabotage.
Zapp avoids making sexist cracks to the female captain while under Dr. Kind	Zapp	Female captain	55	60	Intelligent	He restrains his usual harassment, mildly benefiting his reputation and her comfort.
Zapp eats Popplers during peace negotiations with Omicronians	Zapp	Omicronians/peace process	70	5	Bandit	He enjoys food while desecrating their young, sabotaging diplomacy.
Zapp openly delights in picking on those who can’t defend themselves	Zapp	Weaker beings	70	10	Bandit	He satisfies his cruelty and ego by tormenting the powerless.
Zapp seduces Leela into pity sex after admitting he’s an idiot	Zapp	Leela	85	5	Bandit	He manipulates her sympathy into sex and later gloating, leaving her burdened.
Zapp sends Kif to attend him in the men’s room while mocking his emotions	Zapp	Kif	60	30	Bandit	He gains petty convenience and ego boost, demeaning Kif emotionally.
Zapp flees his Titanic-style ship in a one‑man pod after proclaiming the captain must go down with the ship	Zapp	Passengers/crew	85	5	Bandit	He saves himself and abandons everyone else he just professed to share their fate.
Zapp acts broken up over Kif’s “death” to seduce Amy	Zapp	Amy	75	10	Bandit	He weaponizes false grief to pursue sex, preying on her vulnerability.
Zapp orders sapient balls on Spheron 1 and other peaceful races off their home planets	Zapp	Pacifist/weak races	75	5	Bandit	He gets war, glory, and resources at massive cost to displaced populations.
Zapp tries to trick the Carcarons into signing a “peace treaty” that is really a declaration of war	Zapp	Carcarons	80	5	Bandit	He pursues an unprovoked war via deceit, gaining pretext for conquest.
Munda exposes Zapp’s fake treaty to the Carcarons	Munda	Zapp	55	70	Intelligent	She protects innocents at the cost of Zapp’s plan and perhaps her relationship.
Zapp blackmails President Nixon into making him “Captain for Life”	Zapp	President Nixon/DOOP	85	10	Bandit	He gains permanent job security while locking DOOP into an incompetent, dangerous commander.
Zapp bans women from the military via rampant sexual harassment	Zapp	Female soldiers/DOOP	80	5	Bandit	He avoids accountability and keeps power while massively harming women’s careers and DOOP’s capability.
Zapp has Kif dishonorably discharged alongside him for Zapp’s own crime	Zapp	Kif	70	10	Bandit	He shares the blame with Kif to lessen his own disgrace at great cost to Kif’s career.
Zapp has Kif dislodge a missile while spamming the launch button, leading to Kif’s apparent death	Zapp	Kif	60	5	Bandit	He pushes to launch regardless of Kif’s safety, valuing his objective and impatience over Kif’s life.
Zapp sleeps with Amy after Kif’s funeral	Zapp	Amy	75	5	Bandit	He secures sex by exploiting her grief over Kif’s supposed death.
Zapp surrenders and volunteers for treason upon waking in a crisis	Zapp	Earth/DOOP	65	5	Bandit	He optimizes for his safety by betraying his side.
Zapp eats Popplers while being told to stop by Lrrr	Zapp	Lrrr/Omicronians	70	5	Bandit	He insists on his pleasure while blatantly disrespecting their demand to stop eating their young.
Zapp mocks Fry for cowardice in battle	Zapp	Fry	55	30	Bandit	He boosts his own image while unfairly belittling Fry, with no constructive effect.
Zapp orders his men to “line up and file directly into the alien death cannons” to clog them	Zapp	DOOP fleet	60	5	Bandit	He secures a tactical advantage by deliberately sacrificing huge numbers of his own troops.
Zapp uses “wave after wave of men” as his default strategy	Zapp	His forces	65	5	Bandit	He preserves his own safety and secures some victories via extreme attrition of subordinates.
Zapp rams ships into enemies as his main tactic	Zapp	His crews	50	20	Stupid	He sometimes wins battles but destroys his own assets and personnel.
Zapp sends Bender and other civilians on suicide missions	Zapp	Civilians/robots	70	5	Bandit	He gains expendable bodies and potential victories while treating non-soldiers as disposable.
Zapp deploys a “patriotic program” into every robot	Brannigan’s order	Robots	55	25	Stupid	It increases suicidal compliance at the cost of robot welfare and real strategic thinking.
Zapp genuinely assists Kif and the crew in reaching Kif’s swampy homeworld for the birth	Zapp	Kif and family	60	70	Intelligent	He expends effort and resources to help Kif and his children with no harm shown.
Zapp congratulates Kif when his children are born safely	Zapp	Kif	55	65	Intelligent	He offers sincere support, slightly improving their relationship and harming no one.
Zapp offers to be “Captain Uncle” to Kif and Amy’s kids	Zapp	Kif’s children	55	60	Intelligent	He expresses support and interest in their lives without shown downside.
Zapp invites Kif into the escape pod and finds him a suit when crashing the Neutral Planet	Zapp	Kif	55	65	Intelligent	He ensures Kif’s survival along with his own in a dangerous situation.
Zapp cites Kif as the prime example of loyalty when addressing Fry and Bender	Zapp	Kif	55	60	Intelligent	He acknowledges Kif’s loyalty, slightly validating Kif despite prior abuse.
