Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Steals Huggsy from a child	Joey	Original child owner	75	10	Bandit	Gains beloved toy long-term while depriving a child of it.
Refuses to give Huggsy to Emma	Joey	Emma	70	20	Bandit	Keeps emotional comfort item for himself while denying joy to baby Emma.
Boasts about eating ability as a Tribbiani	Joey	Himself / listeners	55	55	Intelligent	Harmless pride that amuses others and reinforces his self-image.
Memorizes lines quickly for acting work	Joey	Himself / employers	80	70	Intelligent	Improves his career prospects and delivers more competent work.
Chooses fun over studying, staying Book Dumb	Joey	Himself	35	50	Helpless	Prioritizing fun limits his intellectual and career growth without helping others.
Applies himself to encyclopedias and museum prep	Joey	Friends / dates	70	75	Intelligent	Gains knowledge and holds better conversations, benefiting social interactions.
Uses acting “characters” to help at friends’ jobs	Joey	Friends’ coworkers	75	80	Intelligent	Boosts his own social standing while making workplaces like him more.
Is blunt about Chandler’s romantic inferiority	Joey	Chandler	60	30	Bandit	Mild ego boost for Joey at the cost of Chandler’s confidence.
Makes fun of Chandler’s bad gigs / failures with group	Joey	Chandler	60	30	Bandit	Gains laughs and status in group while embarrassing Chandler.
Puts fake dance training on résumé	Joey	Casting directors	65	25	Bandit	Enhances chances of roles through deception that wastes others’ time.
Sleeps with many women consensually	Joey	Various women	80	65	Intelligent	Mutual pleasure and low-drama hookups benefit both sides overall.
Refuses to watch “Phoebe” porn to protect her dignity	Joey	Phoebe	65	80	Intelligent	Foregoes gratification to respect a friend’s feelings.
Changes mind and watches porn when it’s Ursula	Joey	Ursula	70	40	Bandit	Gains entertainment while treating Ursula’s exploitation as acceptable.
Goes to beat up man he thinks impregnated Phoebe	Joey	Supposed father	55	40	Intelligent	Acts protectively with willingness to confront a shirking father.
Proposes to Phoebe so she won’t be alone pregnant	Joey	Phoebe	40	70	Helpless	Offers major commitment that could burden him yet supports Phoebe’s security.
Proposes to Rachel on learning she’s pregnant	Joey	Rachel	45	75	Helpless	Again offers to sacrifice freedom to give Rachel and baby stability.
