Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He tolerates the Gallaghers at best in the first few episodes	Kevin	The Gallaghers	55	45	Intelligent	Cautious distance gives him some social connection without big costs or benefits early on.
He eventually becomes one of the Gallaghers’ closest friends	Kevin	The Gallaghers	80	85	Intelligent	Deep friendship gives him family-like support while he helps them with loyalty and care.
He creeps on Mandy in early episodes	Kevin	Mandy	25	20	Bandit	He pursues his own sexual interest while making her uncomfortable and risking social fallout.
He mentions having a father in prison	Kevin	Kevin’s father	50	50	Intelligent	Revealing background has neutral direct effects but builds honest connection with others.
Desperate for work, he dances at Ian’s old club the White Tail for money	Kevin	Club patrons	65	55	Intelligent	He gets income at some reputational discomfort, while providing paid entertainment to patrons.
He lets men give him handjobs for money when desperate	Kevin	Paying male clients	40	30	Bandit	He gains needed money but at personal emotional/identity cost and in an exploitative, one-sided way.
His time in foster homes encourages him to foster Ethel and her baby son	Kevin	Ethel and her baby	82	88	Intelligent	He gains emotional fulfillment and family while giving Ethel and her child a safer, more caring home.
He subsidizes the Gallaghers’ living expenses by paying for TV and phone	Kevin	The Gallaghers	60	90	Helpless	He spends significant money with limited personal return while greatly improving the Gallaghers’ quality of life.
He lets the Gallaghers borrow his appliances	Kevin	The Gallaghers	65	85	Intelligent	Minor wear and hassle for him but substantial practical help for them, strengthening bonds.
He feels torn between anger and arousal when he finds Vee cheating with Svetlana	Kevin	Veronica and Svetlana	40	45	Helpless	His conflicted reaction mainly harms his own emotional state and doesn’t clearly benefit anyone else.
He works on repairing his marriage with Veronica after Season 5	Kevin	Veronica	80	80	Intelligent	Investing in reconciliation improves his own relationship satisfaction and Vee’s emotional stability.
He takes over tending to the children while V mostly runs the bar	Kevin	His children	78	82	Intelligent	He gains close bonds and parental fulfillment while the kids receive attentive care.
He becomes so fixated on home that all he can talk about is his children	Kevin	Adults around him	70	55	Intelligent	His obsession reflects strong personal joy, with mild annoyance but no real harm to others.
He often walks around the house completely naked out of laziness	Kevin	Household members	60	45	Bandit	He gains comfort and convenience while mildly disregarding others’ comfort or boundaries.
He cuts the brakes instead of the throttle on Yanis’ bike, causing Yanis’ paralysis	Kevin	Yanis	10	5	Stupid	He mis-executes a revenge prank, gravely injuring Yanis and gaining only guilt and legal risk for himself.
He is racked with guilt over causing Yanis’ paralysis	Kevin	Kevin	20	50	Helpless	His guilt emotionally harms himself without materially helping Yanis or others.
He secretly learns how to read, leading V to think he’s cheating	Kevin	Kevin	85	55	Intelligent	Improving literacy greatly benefits him and is neutral-to-positive for others despite a temporary misunderstanding.
He becomes extremely protective of his children	Kevin	His children	75	80	Intelligent	His protectiveness generally keeps them safer and deepens family bonds.
By failing to match gun ownership with gun safety, he accidentally puts his children at risk	Kevin	His children	15	10	Stupid	Negligent gun handling endangers the kids and also threatens his own legal and emotional well-being.
He refuses to let Debbie into the Alibi after six	Kevin	Debbie	70	80	Intelligent	He sacrifices some potential business and convenience to protect an underage girl from bar exposure.
He reacts negatively upon learning Matty’s age when first meeting him with Debbie	Kevin	Debbie and Matty	72	78	Intelligent	His disapproval helps guard Debbie from an older teen relationship while costing him only mild social friction.
He enters a polyamorous throuple with Vee and Svetlana	Kevin	Vee and Svetlana	75	70	Intelligent	He gains additional intimacy and support while both partners gain shared affection and resources, despite later complications.
He and Vee convince Vee’s mother to conceive a baby with Kevin when they can’t afford IVF	Kevin	Vee’s mother (Carol)	65	40	Bandit	He gets the chance at biological parenthood but creates a very tangled, stressful family situation for Carol and the child.
He says Veronica, himself, and the Gallaghers’ kids are the closest thing he has to a family	Kevin	Veronica and the Gallagher kids	80	85	Intelligent	Affirming chosen family strengthens his own sense of belonging and reinforces mutual loyalty and support.
