Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Kurt kicks well if he does the "Single Ladies" dance before games	Kurt	Football team	70	75	Intelligent	He discovers and uses a quirky routine that improves his performance, helping both himself and the team.
Kurt openly aspires to Broadway	Kurt	Himself / future colleagues	80	70	Intelligent	Pursuing a clear artistic goal benefits his own future and adds value to others if achieved.
Finn reprimands Puck for pushing Kurt	Finn	Kurt	60	65	Intelligent	He risks some social friction to stop bullying, modestly helping himself morally and clearly helping Kurt.
Kurt flies into fury when friends (Tina/Blaine) are abused	Kurt	Abusers	55	65	Intelligent	His anger is protective of others and affirms his own boundaries despite some emotional cost.
Kurt and Blaine share a Big Damn Kiss	Blaine	Kurt	80	75	Intelligent	Mutual romantic expression strengthens their relationship and harms no one.
Kurt wants to hold his comatose father’s hand	Kurt	Burt	70	80	Intelligent	Offering comfort to his father also soothes Kurt emotionally.
Kurt and Blaine hold hands after their relationship upgrade	Kurt	Blaine	80	80	Intelligent	Affectionate intimacy nurtures both their emotional well-being.
Showrunners increase Kurt’s screen time	Showrunners	Kurt / audience	80	80	Intelligent	They respond to fan interest, boosting Kurt’s prominence and audience satisfaction.
Kurt stops manipulative scheming after it backfires	Kurt	His social circle	85	75	Intelligent	Abandoning tactics that harmed him and strained others yields better relationships.
Glee club rallies around Kurt during harassment	Glee club	Kurt	60	80	Intelligent	Their support moderately costs them but greatly helps Kurt’s safety and morale.
Kurt becomes friends with former bullies	Kurt	Former bullies	80	75	Intelligent	Forging friendships with past tormentors improves his environment and their growth.
Kurt becomes confidant to Sam over his homelessness	Kurt	Sam	65	85	Intelligent	He sacrifices some time and secrecy to materially and emotionally help Sam.
Kurt gives Sam spare clothes	Kurt	Sam	70	85	Intelligent	Material and emotional aid costs Kurt little and strongly benefits Sam.
Kurt keeps Sam’s secret under duress	Kurt	Sam	60	80	Intelligent	Protecting Sam’s dignity under pressure mildly risks Kurt but greatly helps Sam.
Burt takes Kurt’s cool car away	Burt	Kurt	50	50	Intelligent	Neutral disciplinary move; no clear long-term harm or gain is specified.
Kurt removes Finn’s jacket before dumpster toss	Kurt	Finn	60	70	Intelligent	He protects Finn’s expensive jacket at minor risk to himself and no one is harmed.
Kurt emulates Burt’s masculine persona out of fear	Kurt	Himself / Burt	40	55	Helpless	His self-erasure hurts his own authenticity while only slightly easing perceived tension with Burt.
Kurt gradually accepts and shows off his physique	Kurt	Himself / Blaine	85	75	Intelligent	Self-acceptance boosts his confidence and clarifies equality in the relationship.
Kurt refuses to apologize for not being a “delicate flower”	Kurt	Blaine	75	70	Intelligent	He asserts healthy independence, improving his self-respect and pushing Blaine to adjust expectations.
Kurt’s communication mode is brutal honesty	Kurt	Others	65	55	Intelligent	Honesty helps him and, despite occasional sting, tends to clarify truths for others.
Kurt chooses “Mister Cellophane” as an audition song	Kurt	Audition panel	70	60	Intelligent	He picks a characterful piece that suits his persona, helping his performance with no stated harm.
Kurt creates a Lady Gaga-inspired costume and performs “Bad Romance”	Kurt	Audience	75	70	Intelligent	Expressive performance boosts his confidence and entertains others.
Kurt tries to emulate a stereotypical “straight boy” and date Brittany	Kurt	Brittany	35	40	Helpless	He harms his own authenticity and confuses Brittany while only superficially testing an argument.
Kurt removes layers to show his new physique while narrating past insecurity	Kurt	Audience	80	70	Intelligent	He embraces growth and self-acceptance, modeling it positively for others.
Kurt uses his catchphrase “Mr. Schue, if I may?”	Kurt	Will Schuester	60	55	Intelligent	Asserting a polite voice in class benefits his agency and slightly enriches discussion.
Kurt forgives former bullies and is friendly with them	Kurt	Former bullies	80	70	Intelligent	Forgiveness improves his social environment and supports their reform.
Kurt appears cross-legged as a habitual tic	Kurt	Observers	55	55	Intelligent	Neutral comfort behavior with negligible, perhaps mildly positive, self-expression impact.
Kurt acts as closet key to Karofsky	Kurt	Karofsky	55	35	Bandit	Helping someone out of the closet helps Kurt socially but creates stressful pressure for Karofsky.
Kurt helps Sam by listening and advising in “Rumours”	Kurt	Sam	65	80	Intelligent	Emotional labor mildly costs him and clearly supports Sam’s resilience.
Kurt deadpan-snarks at Rachel	Kurt	Rachel	60	40	Bandit	His snark indulges his wit but often undercuts Rachel and offers her little benefit.
Kurt drops his haughty front when he trusts someone	Kurt	Trusted friends	75	75	Intelligent	Vulnerability deepens his relationships, helping everyone involved.
Kurt wears women’s clothing and defends “fashion has no gender”	Kurt	Peers	80	70	Intelligent	Authentic self-expression bolsters his confidence and challenges others’ norms constructively.
Kurt is easily forgiven for scheming and harassment	Kurt	Finn / Rachel / others	60	30	Bandit	He escapes much consequence for actions that previously harmed others.
Kurt tacitly apologizes by giving up his duet with Sam	Kurt	Sam / Finn	65	70	Intelligent	Surrendering a musical opportunity to mend relationships helps others and modestly redeems Kurt.
Kurt breaks off his engagement to Blaine coldly	Kurt	Blaine	30	10	Bandit	He preserves his own autonomy at the severe emotional and academic cost to Blaine.
Blaine immediately forgives Kurt after deep hurt	Blaine	Kurt	40	60	Helpless	His instant forgiveness soothes Kurt but leaves Blaine’s own pain unaddressed.
Kurt moves to NYC to re-audition for NYADA	Kurt	Himself / future peers	85	75	Intelligent	Pursuing a second chance advances his career and future contributions.
Kurt surprises himself by auditioning at NYADA Winter Showcase	Kurt	NYADA audience	90	85	Intelligent	His risk yields admission and acclaim, benefiting his path and delighting the audience.
Kurt as fashionista curates elaborate wardrobe	Kurt	Observers	75	65	Intelligent	His styling boosts his self-image and aesthetically pleases others.
Kurt joins Home Economics as the only boy	Kurt	Classmates	75	70	Intelligent	He gains skills and normalizes gender-role flexibility for others.
Kurt plays football and works comfortably on cars with Burt	Kurt	Burt	80	75	Intelligent	Shared activities strengthen his skills and deepen his bond with his father.
Kurt prepares two complex NYADA audition routines	Kurt	NYADA panel	40	75	Helpless	He invests enormous effort that is rejected while still entertaining and impressing others.
Kurt switches mid-audition from “Music of the Night” to “Not the Boy Next Door”	Kurt	NYADA auditor	70	80	Intelligent	On-the-spot risk showcases authenticity and talent, impressing the room despite later rejection.
Kurt attempts to act straight and date Brittany to “test” his sexuality	Kurt	Brittany	35	40	Helpless	This self-denial causes confusion and discomfort without real benefit.
Burt states he knew Kurt was gay since age three	Burt	Kurt	70	75	Intelligent	Open acceptance supports Kurt’s identity and security.
Kurt initially insists Blaine is not his boyfriend while admitting attraction	Kurt	Blaine	60	60	Intelligent	Cautious honesty balances his feelings and Blaine’s autonomy without harm.
Kurt and Blaine become an official couple	Kurt	Blaine	90	90	Intelligent	Mutual commitment greatly enriches both and harms nobody.
Kurt returns from Dalton to McKinley	Kurt	Glee club	80	85	Intelligent	Coming back to his old school restores his social network and bolsters the club.
Kurt reads Sun Tzu and develops hidden depths	Kurt	Himself / others	75	65	Intelligent	His broad interests enrich his mind and occasionally aid others.
Kurt is portrayed as demure and shorter than Blaine in media photos	Entertainment Weekly	Audience / Kurt image	65	55	Bandit	Marketing benefits from a constructed dynamic that slightly distorts Kurt’s perceived persona.
Kurt comes out of the closet and lives as an out gay man	Kurt	Himself / peers	95	80	Intelligent	Authenticity and visibility powerfully help him and provide representation for others.
Kurt tries to seduce straight Finn via manipulation	Kurt	Finn	55	15	Bandit	He chases an impossible crush at Finn’s expense, briefly feeding his fantasy while harming Finn.
Kurt tries to turn Finn off girls by calling them catty and troublesome	Kurt	Finn	45	20	Bandit	He undermines Finn’s relationships to increase his own chances.
Kurt maneuvers so Finn moves into his bedroom	Kurt	Finn	50	20	Bandit	He gains physical proximity while making Finn uncomfortable and breaching boundaries.
Kurt makes a subtler romantic attempt on Sam	Kurt	Sam	50	30	Bandit	He again pursues a likely straight boy, risking Sam’s ease for his own hopes.
Kurt openly disdains others’ fashion while upset at being picked on	Kurt	Peers	45	30	Bandit	His defensive snobbery makes others targets while not actually reducing his own victimization.
Kurt expresses disdain for bisexuality	Kurt	Bisexual people / Blaine	35	10	Stupid	His biphobia harms and alienates others while providing no real benefit to him.
Kurt favors female roles and gets angry when forced into male roles	Kurt	Male castmates	55	35	Bandit	He advances his preferences at the expense of fair role distribution.
Kurt tells Finn that girls are catty to steer him away from them	Kurt	Finn	45	20	Bandit	He manipulates Finn’s perceptions of women in service of his crush.
Kurt dismisses the existence of bisexuality to Blaine	Kurt	Blaine	35	15	Stupid	His invalidation hurts Blaine’s self-exploration and undermines trust without helping Kurt.
Kurt brings Blaine flowers after Blaine wins the part Kurt wanted	Kurt	Blaine	80	80	Intelligent	He swallows disappointment to celebrate Blaine, deepening their relationship.
Kurt rudely interrupts Santana’s proposal to condemn young marriage	Kurt	Santana, Brittany, friends	40	20	Stupid	He vents his own bitterness and publicly spoils their moment without gaining anything.
Kurt sings “Rose’s Turn” as an “I Want” song	Kurt	Audience / himself	80	75	Intelligent	Expressing his desires clarifies his goals and resonates with listeners.
Kurt threatens to punch the next person who calls him a stereotype	Kurt	Unnamed others	60	50	Intelligent	Setting a firm boundary protects his dignity, with only minor social friction.
Kurt and Blaine behave like an old married couple	Kurt	Blaine	80	80	Intelligent	Their stable dynamic supports mutual emotional security and comforts friends observing it.
Kurt befriends Brittany and dances “Single Ladies” with her	Kurt	Brittany	75	75	Intelligent	Their odd friendship gives them joy and cross-clique connection.
Kurt slowly becomes close friends and roommates with Rachel (and Santana)	Kurt	Rachel / Santana	85	85	Intelligent	Co-living and friendship strengthen all their support systems.
Kurt and Mercedes form a platonic life-partnership	Kurt	Mercedes	90	90	Intelligent	Deep platonic support massively benefits both with no downside.
Kurt fashions and wears a kilt to prom	Kurt	Prom attendees	80	70	Intelligent	Expressive choice boosts his confidence and broadens others’ ideas of masculinity.
