Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Kayce runs menial jobs and acts subservient for the Broken Rock Tribe	Kayce	Broken Rock Tribe	40	60	Helpless	He sacrifices status and autonomy to serve the Tribe’s needs with no clear personal gain beyond basic survival.
Kayce ignores his family's requests to help during the cattle dispute	Kayce	Dutton family	30	20	Stupid	His refusal to intervene leaves his family exposed and contributes to later tragedy, while giving him little real protection.
Robert shoots Kayce's brother	Robert Long	Kayce's brother	70	5	Bandit	Robert harms Kayce’s brother (and by extension the Duttons) presumably to advance his and the Tribe’s side in the dispute.
Kayce quickdraws Robert to save his brother’s life	Kayce	Robert Long	75	65	Intelligent	He eliminates an immediate lethal threat, protecting himself and his brother/family though the brother later dies.
Kayce tends to be passive and reactionary in family conflicts	Kayce	Dutton family	20	10	Stupid	His pattern of inaction worsens his own situation and allows family feuds to escalate unchecked.
Kayce fails to stop the feud between Jamie and Beth	Kayce	Jamie and Beth	15	5	Stupid	By not intervening, he allows a destructive sibling conflict to spiral, harming everyone including himself.
Kayce fails to confront John (“Calling the Old Man Out”)	Kayce	John Dutton	25	15	Stupid	His refusal to challenge John’s harmful dynamics preserves short‑term comfort but enables tragedies that damage him and others.
Kayce metaphorically “sells the farm” / forges his own path	Kayce	Himself and family legacy	55	45	Intelligent	Leaving the inherited path to build his own life offers him growth while modestly weakening but not destroying family continuity.
Kayce goes “full kamikaze” and rams the bad guy’s fleeing van	Kayce	Fleeing assailants	65	40	Bandit	He stops dangerous criminals at high personal risk and via a risky maneuver that also endangers others on the road.
Kayce maintains control and brings his truck to a safe stop	Kayce	Bystanders / fellow drivers	70	80	Intelligent	He protects himself and reduces collateral damage by controlling the crash outcome.
Militia attacker shoots Kayce in the side	Montana Free Militia attacker	Kayce	40	10	Bandit	The attacker injures Kayce in an assassination attempt that serves their cause while clearly harming him.
Kayce spends two months recuperating from his gunshot wound	Kayce	Himself	20	50	Helpless	His enforced recovery time greatly harms his capacity and offers no evident benefit to anyone else.
Kayce keeps a flash bang in his office	Kayce	Potential attackers	75	65	Intelligent	Being prepared enhances his survival odds and ability to respond effectively to threats, benefiting allies.
Kayce keeps a fully automatic rifle in his truck	Kayce	Potential attackers	75	55	Intelligent	The rifle increases his personal safety and tactical capability, though it carries some ambient risk to others.
Kayce uses the flash bang to dazzle militia members sent to kill him	Kayce	Montana Free Militia attackers	80	70	Intelligent	He neutralizes their advantage and protects himself and likely others from being killed.
Kayce uses the automatic rifle to go “full Terminator” on remaining attackers	Kayce	Montana Free Militia attackers	80	60	Intelligent	He lethally stops the assault, securing his own survival and defending his side at attackers’ expense.
John brands Kayce after Kayce refuses to force Monica to abort	John Dutton	Kayce	20	10	Bandit	Branding punishes Kayce and asserts control, benefiting John’s authority while significantly harming Kayce.
Kayce refuses to force Monica to abort their unborn child	Kayce	Monica and unborn child	70	75	Intelligent	He protects Monica’s autonomy and their child at some cost to his status, yielding deep relational benefit.
Kayce defects from his affluent family lifestyle to live on the Reservation	Kayce	Broken Rock Reservation / Dutton lifestyle	55	60	Intelligent	He sacrifices comfort and status to build a value‑aligned life with Monica and their community.
Kayce serves as the only Dutton who gets along with all the Duttons	Kayce	Dutton family	75	80	Intelligent	His bridge‑building strengthens family cohesion and grants him trust and influence.
Kayce and Monica fall in love at first sight	Kayce and Monica	Each other	85	85	Intelligent	The mutual attraction leads to a committed relationship benefiting both emotionally and socially.
Monica drives and gets in the car accident injuring her midsection	Monica	Herself / unborn child	10	5	Stupid	The accident causes serious harm to her and their unborn child with no compensating benefit mentioned.
John Dutton openly favors Kayce as his heir	John Dutton	Kayce (and other siblings)	65	40	Bandit	Kayce gains status and inheritance, while favoritism risks harming family balance and the others’ standing.
Kayce genuinely loves Jamie and is always kind to him	Kayce	Jamie	80	85	Intelligent	His consistent support strengthens their bond and emotional stability for both.
Jamie reciprocates Kayce’s brotherly love	Jamie	Kayce	75	80	Intelligent	Jamie’s affection and loyalty benefit both brothers and familial harmony.
Jamie plans to leave the ranch to Kayce’s son Tate	Jamie	Tate	70	75	Intelligent	He forgoes personal gain for Tate’s future benefit while gaining moral satisfaction and closeness.
Jamie's biological father tries to have the Duttons killed	Jamie’s biological father	Dutton family	75	5	Bandit	He seeks major advantage by annihilating the Duttons, gravely harming them if successful.
Jamie is only concerned about Kayce’s safety when he learns of the hit	Jamie	Kayce	60	65	Intelligent	His primary concern for Kayce underscores their bond and may guide his protective decisions.
Kayce repeatedly pursues enemies who underestimate him	Kayce	Various enemies	70	30	Bandit	He lethally retaliates at his father’s behest, securing his family and himself while severely harming opponents.
Avery falls in love with Kayce at first sight	Avery	Kayce	40	40	Helpless	Her one‑sided love distracts her and offers little return beyond emotional turmoil.
Avery leaves the ranch to go back to her family because her feelings threaten her focus	Avery	Herself	65	55	Intelligent	She protects her own stability and professionalism, mildly impacting the ranch by her absence.
Kayce tells Avery he would not leave Monica for her	Kayce	Avery	80	60	Intelligent	He maintains marital fidelity and sets clear boundaries, helping himself and ultimately Avery’s long‑term well‑being.
Avery appears to Kayce during his vision quest	Avery (vision / psyche)	Kayce	55	55	Intelligent	The vision prompts introspection about temptation and loyalty, offering internal clarity without obvious harm.
