Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He hugs Kendall’s head and kisses his cheek, knowing how touch-starved he is	Roman	Kendall	73	86	Intelligent	Provides comfort and affection to Kendall while also deepening their bond and Roman’s access to him.
After Kendall’s confession, he resumes affectionate head-hugging and kisses	Roman	Kendall	70	85	Intelligent	Reaffirming physical affection helps stabilize Kendall and preserves Roman’s emotional connection.
He overcomes fear of Logan and teams with siblings to try to take Logan down	Roman	Logan	40	35	Stupid	He risks his own safety and emotional stability to oppose Logan, and the failed coup only causes him pain without helping others.
He spends years scheming and power-playing for CEO despite being unready	Roman	Himself / others	30	25	Stupid	His long-term pursuit wastes his life and contributes to collective misery without yielding control.
He ultimately admits the scheming and power plays were meaningless	Roman	Himself / siblings	62	58	Intelligent	Letting go of the fantasy offers him relief and helps siblings confront reality, albeit late.
Shiv votes against Kendall, killing their chance to win	Shiv	Kendall / siblings	60	10	Bandit	She protects her own perceived interests while destroying her brothers’ shot at control.
He hugs his siblings’ heads and is affectionate when things are “a little more okay”	Roman	Siblings	68	80	Intelligent	Affection strengthens intra-sibling support during relatively stable times.
He talks a big game about liking to hurt people	Roman	People in general	55	20	Bandit	Boasting about cruelty boosts his image in his milieu while normalizing harm.
He is tasked with “seducing” powerful men to win them over to Waystar	Roman	Targets (Lawrence, Mencken, etc.)	72	25	Bandit	He advances deals and his standing via manipulative charm that underpins harmful corporate power.
He wines and dines Lawrence to bring him to the Waystar cause	Roman	Lawrence	75	30	Bandit	He furthers his and Waystar’s interests by co-opting a critic, against others’ interests.
He makes a deal with Mencken in Logan’s bathroom	Roman	Mencken / electorate	80	10	Bandit	Aligning with a fascist strengthens his own and Waystar’s leverage while empowering a dangerous figure.
He berates his assistant for interrupting a workout session	Roman	Assistant	30	20	Bandit	He asserts dominance and vents irritation at the cost of the assistant’s comfort and respect.
He pays the trainer to keep sexual acts quiet	Roman	Trainer	55	35	Bandit	He preserves his secrecy while the trainer gains hush money but is put in a compromising dynamic.
He pursues Tabitha after initially reacting “Dad would be all over that”	Roman	Tabitha	45	40	Stupid	Pursuit driven more by paternal emulation than attraction damages both and ends badly.
He lets his relationship with Tabitha dissolve due to unwillingness to be intimate	Roman	Tabitha	30	60	Helpless	He loses a potentially stabilizing relationship while sparing her continued frustration and confusion.
He participates in the childhood “dog pound” game, locking Kendall in a crate	Kendall	Roman	35	10	Bandit	As co-participant, he plays along in a cruel game that reinforces a damaging hierarchy.
He blames the “dog pound” game for psychological issues that got him sent to military school	Roman	Himself	40	60	Helpless	He internalizes harm and partially exonerates more serious abuse while clarifying a causal link for others.
He is constantly mocking siblings for their flaws and disgusting them	Roman	Shiv and Kendall	55	30	Bandit	His mockery entertains him and maintains status at the expense of their emotional well-being.
He accidentally sends a dick pic to Logan	Roman	Himself	10	65	Helpless	He severely damages his own standing and causes family shock while mildly entertaining others.
He calls out Shiv and Kendall for pretending they’re good while doing bad things	Roman	Shiv and Kendall	65	60	Intelligent	Honesty about shared corruption helps strip denial and is somewhat self-honest too.
He admits he makes choices based on which parent he finds scarier	Roman	Himself	55	55	Intelligent	Recognizing fear-driven choices slightly clarifies his motives for himself and others.
He fails to focus and drifts mentally during key business events	Roman	Waystar / himself	35	35	Stupid	Inattention blocks his advancement and undermines corporate functioning with no offsetting gain.
He behaves as an annoying obstruction whose schemes conflict with siblings	Roman	Shiv and Kendall	50	35	Bandit	His meddling amuses and positions him but creates friction and slows their plans.
He behaves as a bad boss toward subordinates	Roman	Subordinates	55	20	Bandit	He asserts dominance and ego gratification while harming morale and productivity.
He becomes Logan’s most loyal, ruthless understudy over time	Roman	Logan	70	20	Bandit	His loyalty and ruthlessness raise his status but perpetuate Logan’s abusive power.
He rallies around Shiv with brothers when they learn Logan has died	Roman	Shiv	60	85	Intelligent	Providing emotional solidarity benefits Shiv and gives him shared comfort.
He protects Shiv physically from Kendall in the finale, shouting “She’s fucking pregnant”	Roman	Shiv	80	90	Intelligent	He sacrifices his alliance with Kendall to shield Shiv, defending both her safety and his integrity.
When encouraged, he shows ruthless shrewdness as potential CEO	Roman	Waystar stakeholders	80	20	Bandit	His sharpened skills aid his and Waystar’s power, enabling continued harmful operations.
He tells off Shiv and Kendall for wanting Logan’s approval while denying it	Roman	Shiv and Kendall	60	55	Intelligent	He exposes their hypocrisy and indirectly his own, nudging all toward clearer self-knowledge.
He references Hamlet incorrectly to talk about killing Kendall and becoming king	Roman	Kendall	60	30	Bandit	The fantasy of eliminating his brother reflects his will to power at Kendall’s expense.
He embraces being a spoiled, privileged villain instead of trying to do good	Roman	Society in general	70	15	Bandit	He secures psychological comfort in amorality while affirming harmful use of privilege.
He constantly claims to get lots of sex despite functional issues	Roman	Partners / peers	50	40	Bandit	Bragging props up his image but misleads partners and hides dysfunction.
He spreads chaos for fun before Season 2, often backfiring	Roman	Everyone around	35	25	Stupid	His trolling entertains him briefly but repeatedly harms others and rebounds on him.
He sits on furniture bizarrely, ignoring manners	Roman	Colleagues	55	45	Bandit	His nonconformity amuses himself and slightly undermines workplace decorum.
He crouches beside Logan to ingratiate himself while shittalking siblings	Roman	Logan	70	20	Bandit	He gains favor with Logan by undermining siblings’ standing.
He promises a working-class kid money if he hits a home run and then tears up the check	Roman	Working-class boy	75	5	Bandit	He gets sadistic amusement and asserts status by humiliating the boy.
He doesn’t care that his niece/nephew are being followed	Roman	Children	40	20	Stupid	He avoids responsibility but heightens risk to kids and future guilt.
He tries to ruin his stepchildren’s enjoyment of a Thanksgiving movie	Roman	Grace’s children	55	25	Bandit	He entertains himself by spoiling their fun with no benefit to them.
He defends or minimizes Logan’s physical abuse when siblings mention it	Roman	Himself / siblings	30	20	Stupid	Denial protects his fantasy of Logan but entrenches trauma and invalidates siblings’ experiences.
He uses charm to win people like Matsson, Mencken, Vaulter employees, Lawrence	Roman	Various counterparts	80	25	Bandit	His networking advances deals and his career while reinforcing harmful corporate agendas.
He bites his nails when thinking or nervous	Roman	Himself	45	55	Helpless	A stress tic slightly harms his composure but signals his inner state to others.
He behaves loudly and immaturely despite being older than Shiv	Roman	Family / colleagues	45	40	Stupid	His antics undermine his authority and annoy others with minimal gain.
He functions as court jester, using jokes to poke fun and gain leeway with power	Roman	Logan / executives	75	35	Bandit	His humor buys proximity and influence while normalizing cruelty and dysfunction.
He jealously tells a waiter to get Grace’s number and fingers her while the phone rings	Roman	Grace	70	10	Bandit	He exerts sexual control and indulges jealousy while demeaning Grace.
He gets angry and nasty when Gerri dates someone else, sending unwanted dick pics	Roman	Gerri	50	10	Bandit	His possessive harassment gratifies his ego but violates her boundaries and damages the bond.
He attributes his issues to childhood abuse and family dynamics	Roman	Himself	55	60	Intelligent	Articulating causality gives him and others insight, even if he can’t yet heal.
He gradually becomes a serious contender to succeed Logan	Roman	Siblings	80	20	Bandit	His rise benefits him but deepens sibling rivalry and preserves a toxic corporate line.
He is jubilant in replacement-goldfish status as new favorite after Shiv fails	Roman	Shiv	75	20	Bandit	He relishes her fall and his rise, worsening family fractures.
He gleefully tears up the check in front of the boy and mocks him	Roman	Boy	75	5	Bandit	He maximizes sadistic pleasure and status assertion while deeply harming the boy.
He refuses Tom’s Michigan friends entry to the bachelor party despite being able to get them in	Roman	Tom’s friends	70	10	Bandit	He flexes power and relishes exclusion, hurting their experience for no reason.
He decides to push a satellite launch deadline earlier as a “wedding present” to Shiv	Roman	Launch team / Shiv	40	15	Stupid	His vanity and showiness cause an avoidable disaster and risk lives, impressing no one.
He stares in horror and then pretends he didn’t see the rocket failure	Roman	Waystar / regulators	35	20	Stupid	Denial protects him briefly but worsens accountability and safety issues.
He points out early that the board’s refusal to be CEO means deeper problems	Roman	Kendall / Logan	70	75	Intelligent	His intuition about hidden debt aids both family and company.
He tells Logan they should accept a good deal instead of crushing the opponent	Roman	Logan	65	65	Intelligent	His pragmatism would reduce pointless conflict and risk if followed.
He spends Season 2 getting experience and returns more mature, quashing a bad deal	Roman	Waystar	80	70	Intelligent	Gained competence lets him prevent a harmful deal, benefitting himself and the firm.
He cuddles up with fascists and betrays siblings to win Logan’s approval	Roman	Siblings / public	80	15	Bandit	His alignment with extremists boosts his status while endangering others and democracy.
He ends that “dutiful son” arc crying on the floor as parents and Gerri abandon him	Roman	Himself	20	40	Helpless	His loyalty costs him dignity and safety while confirming others’ callousness.
He agrees with Logan that “nothing happened” after being backhanded	Roman	Logan	25	15	Stupid	He protects his fantasy at the cost of self-respect and truth for everyone.
He openly offers a million dollars to a random person on a whim	Roman	Random person	60	40	Helpless	He throws money for amusement while the recipient’s life could change; his loss is trivial but pointless.
He uses more overtly misogynistic language than Logan	Roman	Women	60	20	Bandit	Misogynistic talk props up his masculine persona while degrading women.
He embraces his insulting nickname “Romulus” as part of his dynamic with Logan	Logan	Roman	40	20	Helpless	Acceptance of the insult helps him retain proximity while reinforcing his subordination.
He joins siblings in setting aside differences to oppose Logan	Roman	Logan	45	55	Intelligent	The alliance offers a shot at mutual liberation, though it later fails.
He genuinely worries about his mother’s safety and finances before her remarriage	Roman	Caroline	60	70	Intelligent	Concern prompts scrutiny of a potentially exploitative match, benefiting her with no real loss to him.
He recognizes going too far in saying Kendall has less use to dad than a can opener	Roman	Kendall	55	45	Helpless	His slight remorse shows some conscience but doesn’t undo the damage.
He worries he might have killed someone with the rushed rocket launch	Roman	Launch staff	45	40	Helpless	He feels guilt that harms him but only belatedly prompts concern for others.
He rides the high of Logan’s praise for gutting Vaulter despite knowing it hurts Kendall	Roman	Kendall / Vaulter staff	80	15	Bandit	He prioritizes Logan’s approval over his brother and workers’ livelihoods.
He sets a boundary that rape fantasies are too far for him	Roman	Himself	60	55	Intelligent	He maintains one ethical/psychological limit, protecting himself and partners from escalating harm.
He is disgusted when Kendall pretends to forget the waiter’s death and takes Shiv’s side	Roman	Kendall	70	65	Intelligent	His insistence on truth confronts Kendall’s denial and supports Shiv’s stance.
He shouts at Kendall to leave Shiv alone when Kendall shoves her	Roman	Shiv	75	85	Intelligent	Protecting Shiv from physical aggression helps her and affirms his own moral line.
He regularly makes offensive incest jokes and prejudiced barbs	Roman	Family and others	60	20	Bandit	His cruelty entertains him and maintains edge while inflicting emotional harm.
He routinely goes up against family members in “evil versus evil” fights	Roman	Family	70	25	Bandit	His contests for power aid his status but ensure harm regardless of winner.
He repeatedly fawns over Logan and defends him whenever abuse is mentioned	Roman	Logan	35	20	Stupid	His self-abasing loyalty preserves an abuser’s power and deepens his own damage.
He needs praise and will “knife anyone” when Logan gives him sugary affection	Roman	Others he betrays	80	15	Bandit	He sacrifices others for validation, increasing his favor at their expense.
He uses polite, joking tone while scheming to screw over companies	Roman	Targets of deals	75	20	Bandit	His affability cloaks predatory conduct that benefits him and the firm.
He allows himself to be treated as the friend nobody likes but continues seeking proximity	Roman	Siblings / Logan	40	30	Helpless	He absorbs contempt to stay close, harming himself more than others.
He trolls others about abuse to cover up Logan’s crimes	Roman	Connor and Kendall	50	25	Bandit	Deflection protects Logan and relieves his discomfort but trivializes others’ trauma.
He blames Kendall for his bad childhood via the dog cage, ignoring Logan’s role	Roman	Kendall	40	35	Stupid	He misdirects resentment to a relatively safer sibling, hurting both.
He asks Greg to get him one of Logan’s sweaters while Logan is in a coma	Roman	Himself	55	60	Intelligent	Seeking physical comfort is self-soothing and humanizes him without harming others.
He threatens to castrate Greg if he tells anyone about the sweater	Roman	Greg	55	30	Bandit	The threat protects his vulnerable image at Greg’s psychological expense.
He hypocritically uses spies to harass extended family while condemning other tactics	Roman	Extended family	60	20	Bandit	He pursues advantage by invading privacy despite criticizing adjacent methods.
He mocks others for needing Logan’s approval while clearly craving it himself	Roman	Siblings	55	30	Bandit	He scores points by exposing them but avoids confronting his own identical need.
He ignores evidence about his own abuse when Shiv looks out for him and defends Logan	Roman	Shiv	35	25	Stupid	His choice to defend Logan alienates his ally and deepens his denial.
He often just leaves the room when his abuse is mentioned	Roman	Himself	30	55	Helpless	Flight protects him briefly from pain but blocks healing; others glimpse the truth.
He uses siblings and in-laws as his “crew” instead of real friends	Roman	Himself	45	55	Helpless	Dependence on family-only “friends” limits his social world while slightly affirming them.
He points out Pierce deal is a terrible spite idea using money they don’t have	Roman	Shiv and Kendall	70	70	Intelligent	He sees the financial and emotional folly, potentially averting disaster.
He aligns fully with Mencken and spouts harsh misogynistic and racist lines	Roman	Public / colleagues	85	5	Bandit	He strengthens his political leverage but legitimizes extremism and prejudice.
He cannot pee in front of other men and has bedwetting issues	Roman	Himself	20	60	Helpless	Trauma symptoms hurt his dignity while signaling to others that something is wrong.
He mentions having written a screenplay and spends time in the film section	Roman	Himself	60	55	Intelligent	Pursuit of creative work offers personal fulfillment without clear harm.
He “pre-grieves” Logan’s death in denial and then breaks down at the funeral	Roman	Himself	25	60	Helpless	Denial worsens the later collapse, but the public crack allows some empathy and truth.
He breaks into sobs and can’t finish his eulogy, tanking public perception	Roman	Himself	20	60	Helpless	He loses prestige in a power-obsessed circle but gains a moment of human honesty.
He frequently gives “Greek chorus” commentary on others’ insecurities	Roman	Others	60	45	Bandit	His barbed insight is sometimes accurate but mainly weaponized, hurting more than helping.
He is visibly disturbed when Logan rejects a good deal just to crush opponents	Roman	Logan	60	60	Intelligent	His discomfort shows a more humane/business-rational instinct, even if he can’t stop Logan.
He stands up to Logan only when siblings are present and supporting	Roman	Logan	55	65	Intelligent	Collective resistance modestly protects them and lets him act less fearfully.
He forgives Logan for everything and is cruelly rebuffed when offering love	Roman	Himself	20	55	Helpless	Unconditional love destroys his self-respect while clarifying Logan’s incapacity to love.
He calls Peter “Peter Onion” disparagingly	Roman	Peter	60	35	Bandit	The mockery amuses him and undercuts Peter’s status.
He begins a sexual/sadomasochistic relationship with Gerri	Roman	Gerri	60	40	Bandit	He gains arousal and connection, while placing her in a compromised, risky situation.
He uses Gerri as a mommy/degrader mix and ignores her “no” on dick pics	Roman	Gerri	55	15	Bandit	He gratifies himself and re-enacts Logan-like abuse, deeply violating her consent.
He gets jealous of Gerri flirting, watching with anger while joking	Roman	Gerri	45	40	Helpless	His jealousy torments him and strains the bond while she’s mostly unhurt.
He uses his power to keep Tom’s Michigan friends out of the club	Roman	Tom’s friends	70	10	Bandit	He heightens his own status at their expense for no real necessity.
He calls Connor from the car to include him before using the supermajority	Roman	Connor	65	70	Intelligent	Reaching out acknowledges Connor’s grievance and tries to mend their bond.
He rescues Kendall from hardcore drug addicts	Roman	Kendall	80	85	Intelligent	He directly protects Kendall from a dangerous scenario and reinforces brotherly care.
He offers to keep people from doing booze and coke around Kendall at the bachelor party	Roman	Kendall	75	80	Intelligent	Adjusting the environment reduces relapse risk and shows thoughtful concern.
He notes Kendall can’t hug his daughter and worries about him	Roman	Kendall’s child	60	65	Intelligent	His observation flags Kendall’s dysfunction, potentially aiding both father and child.
He fast-tracks Brian from management training as a “rough diamond”	Roman	Brian	65	75	Intelligent	He uses his influence to help a junior colleague’s career without clear self-gain.
He is gentle with Karl during a hostage situation, calming his panic	Roman	Karl	65	70	Intelligent	Steady support protects Karl and maintains team function under extreme stress.
He sincerely praises Kendall’s performance on the stand and tries to reach out	Roman	Kendall and Shiv	70	70	Intelligent	His rare earnest praise fosters sibling cohesion if they accept it.
He objects to Kendall being scapegoat for the cruise scandal	Roman	Kendall	60	70	Intelligent	He tries to prevent his brother from unjustly bearing the brunt.
He opposes exposing Kendall’s personal problems to destabilize him	Roman	Kendall	60	70	Intelligent	He draws a line against weaponizing Kendall’s vulnerabilities despite factional stakes.
He protects Shiv in front of Logan by saying she was solid	Roman	Shiv	65	75	Intelligent	Backing her against Logan shields her standing and slightly moderates his tyranny.
He stays with Kendall when Kendall is crying, supporting and joking to help	Roman	Kendall	80	85	Intelligent	He offers precisely tuned support that eases Kendall’s breakdown.
He shows sympathy to Kerry when she’s kicked out of Logan’s wake	Roman	Kerry	60	70	Intelligent	Empathy toward a humiliated outsider costs him nothing and eases her distress.
He proposes to Gerri as a way to keep her from leaving him	Roman	Gerri	45	45	Helpless	The proposal reveals his fear of abandonment but doesn’t actually bind her or help their dynamic.
He “pre-grieves” Logan and denies his own pain while insisting he’ll be fine	Roman	Himself	25	55	Helpless	Deflection intensifies his later collapse but signals to others that he’s fragile.
He breaks down into a ball of despair and terror after the failed coup on Logan	Roman	Himself	15	60	Helpless	His psychic collapse harms him while exposing the cruelty of Logan’s victory.
He ultimately calls the family and Waystar “all bullshit” and lets go	Roman	Himself / siblings	75	70	Intelligent	Rejection of the game gives him relative peace and models a saner stance for others.
He accepts losing Waystar and returns to a playboy lifestyle, looking relieved	Roman	Himself	65	55	Intelligent	Choosing a simpler life reduces his stress and spares others his corporate ruthlessness.
He agrees to smile through a photo op with a gloating Matsson when prodded	Roman	Matsson / public	45	35	Helpless	He preserves surface decorum at the cost of self-respect and legitimizing Matsson.
He embraces the role of the optimist among siblings	Roman	Siblings	55	60	Intelligent	His optimism occasionally buoys them and himself amid dysfunction.
He constantly uses his “If it pleases the court…” catchphrase while pitching ideas	Roman	Colleagues	60	50	Bandit	His playful frame keeps him likable and heard while slightly trivializing serious matters.
He gives Shiv a bitchy slap during an argument	Roman	Shiv	50	15	Bandit	He vents aggression and asserts petty dominance while harming Shiv and the relationship.
