Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Leaving unpredictable Javier for someone more reliable after Manny's birth	Gloria	Gloria and Manny	88	80	Intelligent	She improves her and her son's stability and safety by choosing a more dependable partner.
Working with her father in a cartel (implied)	Gloria	Cartel victims / society	40	5	Bandit	Criminal activity likely offered income/skills while seriously harming others.
Enjoying and cultivating being the center of attention	Gloria	People around her in social settings	70	40	Bandit	She gains validation and status while sometimes irritating or overshadowing others.
Getting jealous when other women get more attention	Gloria	Other women / nearby people	30	30	Stupid	Her jealousy brings her insecurity to the surface without concrete benefit to herself or others.
Retaliating harshly when someone harms or insults her family	Gloria	Perceived aggressors against her family	75	35	Bandit	Her retaliation protects and vindicates family but can over-harm or escalate against others.
Getting payback on Jay for mocking her Colombian heritage	Gloria	Jay	60	45	Bandit	She asserts boundaries and self-respect but does so via revenge, mildly harming Jay.
Going on rants against perceived sexism, often at Manny	Gloria	Sexist offender (often Manny)	55	30	Bandit	She pushes back against sexism but frequently vents on Manny, upsetting him more than needed.
Threatening those who insult or hurt Manny in long rants	Gloria	People who insult/hurt Manny	70	35	Bandit	She strongly protects Manny but does so with intimidating, excessive reactions.
Joking that she’ll tell Jay’s joke to her “next husband” while spending his money	Gloria	Jay	65	55	Intelligent	She uses humor to assert power and keep playful tension without real negative consequence.
Suggestively eating marshmallows while turned on by Jay doing construction work	Gloria	Jay	80	60	Intelligent	The flirtation reinforces their mutual attraction and marital bond.
Carrying and accurately using a (BB) gun when she thinks she needs to	Gloria	Potential threats	75	45	Bandit	Her skill provides protection and deterrence but risks harm or intimidation to others.
Making mafia-style threats when someone wrongs her family or she wants something	Gloria	Whoever she threatens	65	25	Bandit	She often gets results and protects family, but via fear and implied violence to others.
Dismissing young, attractive female babysitters so they don’t outrank her	Gloria	Prospective babysitters / household	55	15	Bandit	She preserves her status and security at home while denying work and creating inconvenience for others.
Launching a campaign against Claire when Gloria’s mother favors Claire slightly	Gloria	Claire	30	25	Stupid	Her petty campaign strains relationships without yielding meaningful gain.
Demanding to be the favorite when her mother says she has no favorite	Gloria	Gloria’s mother / Claire	25	20	Stupid	Her insistence exposes insecurity and creates tension for negligible benefit.
Falling in love with Jay after their first argument	Gloria	Gloria and Jay	85	70	Intelligent	The conflict clarifies compatibility and leads to a strong, mutually beneficial marriage.
Threatening Haley’s cruel boss with calling in dangerous friends	Gloria	Haley’s boss	75	40	Bandit	She effectively protects Haley’s wellbeing but does so through intimidation and implied criminal leverage.
Taking pride in her appearance and refusing to wear glasses	Gloria	Herself / people needing her to see clearly	35	40	Helpless	Her vanity undermines her own functioning (and possibly safety) more than it affects others.
Deliberately making Jay late for his birthday party to be the most beautiful there	Gloria	Jay and party guests	40	25	Bandit	She enjoys feeling stunning but undermines Jay’s celebration and others’ time.
Enthusiastically reacting to becoming Lily’s guardian if Mitchell and Cam die	Gloria	Mitchell and Cam	60	35	Bandit	Her excitement over guardianship comforts herself but is insensitive to their potential tragedy.
Acting as a motherly figure to Lily	Gloria	Lily	80	85	Intelligent	She provides Lily emotional care and stability while deepening her own family bonds.
Acting as a parental substitute to Claire and Mitchell	Gloria	Claire and Mitchell	75	80	Intelligent	She supports them emotionally, improving family cohesion and her own place in it.
Allowing jealousy of Sonia to fester over years	Gloria	Herself / Sonia	20	25	Stupid	The rivalry causes long-term emotional strain with no real payoff.
Stealing a letter from Sonia asking for a job in America	Gloria	Sonia	70	10	Bandit	She increases her own opportunities and position while directly sabotaging Sonia’s prospects.
Making up with Sonia after jealousy is revealed	Gloria	Sonia	80	80	Intelligent	Reconciliation heals their relationship and relieves long-standing emotional burdens for both.
Punching a man in the face for insulting Jay	Gloria	Man who insulted Jay	60	20	Bandit	She defends Jay’s honor effectively but escalates with physical violence that harms the other.
Shooting Jay in the foot “accidentally” with an air pistol to spare him Lilly’s game	Gloria	Jay	70	15	Bandit	Jay avoids an unwanted obligation, but he’s physically hurt to achieve that outcome.
Shooting a sippy cup off a table from behind her back without looking	Gloria	Nearby people / household	65	30	Bandit	She demonstrates impressive skill and self-image but recklessly endangers others for show.
Shouting a lullaby at Lily	Gloria	Lily	45	40	Helpless	Her intent is to soothe Lily but her loudness likely disturbs more than it helps, and it doesn’t really benefit her.
Driving terribly at very high speed (100 mph)	Gloria	Passengers and other road users	20	10	Stupid	Her reckless driving endangers herself and others with no stated benefit beyond impatience or thrill.
