Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Pits his children against one another to harden/control them	Logan	His children	65	5	Bandit	Strengthens his dominance and succession leverage while gravely damaging their mental health and relationships.
Makes his love conditional on loyalty and usefulness	Logan	His children	70	10	Bandit	Gains obedience and control at the cost of their self-worth and capacity for secure attachment.
Strikes his grandson during the first season	Logan	Iverson	10	0	Stupid	Inflicts fear and trauma on a child with no benefit to himself, instead provoking backlash.
Strikes Roman in anger	Logan	Roman	15	5	Stupid	Momentary venting of rage worsens trust and loyalty without any strategic upside.
Offers a half‑apology to Roman that functions as gaslighting	Logan	Roman	60	10	Bandit	Repairs control and narrative advantage while further destabilizing Roman’s sense of reality.
Keeps a sexually predatory employee (Lester) but bans him from the pool with his kids	Logan	His children	40	20	Bandit	Protects his children from one risk while maintaining the predator in his orbit for convenience and loyalty.
Wants to monopolize news media to push his own agenda	Logan	Public/society	80	5	Bandit	Increases his power and influence while eroding media plurality and public interest.
Grooms Kendall as his successor then callously betrays him	Logan	Kendall	75	5	Bandit	Uses and discards Kendall to keep total control, worsening Kendall’s addiction and instability.
Opposes Shiv when she works for a politician bent on bringing him down	Logan	Shiv	70	20	Bandit	Defends his empire and weakens her independent career and alliances.
Praises himself for “protecting and spoiling” the kids while dismissing their grievances	Logan	His children	60	10	Bandit	Shore ups his self-image and moral cover while invalidating their lived harm.
Engages in corporate malfeasance and covers up a serial molester	Logan	Employees/victims/public	85	0	Bandit	Protects profits and brand power by sacrificing victims’ safety and justice.
Promises Kendall the company then retracts and stays CEO after stroke	Logan	Kendall	80	15	Bandit	Retains ultimate authority and prestige as Kendall’s confidence and credibility collapse.
Strikes Roman in “Argestes” out of anger at Shiv	Logan	Roman	10	0	Stupid	Misdirects his rage onto Roman, hurting him and gaining nothing in terms of control or strategy.
Humiliates and terrorizes subordinates as a management style	Logan	Employees	75	15	Bandit	Extracts obedience through fear while degrading morale and psychological safety.
Decides Kendall will take the fall for the cruises scandal	Logan	Kendall	90	5	Bandit	Sacrifices his son’s future and freedom to shield himself from legal and reputational consequences.
Lies in family therapy to cover himself	Logan	Family	65	20	Bandit	Uses the setting to manage liability and image, sabotaging any genuine healing.
Shepherds a sham “therapy” session mainly to cover his own ass	Logan	Family	65	20	Bandit	Weaponizes therapy as PR, further eroding trust while reducing his exposure.
Insists he had no knowledge of the cruise abuses	Logan	Shiv / public	70	15	Bandit	Attempts to evade legal and moral responsibility while undermining Shiv’s trust.
Denies ever hitting his kids	Logan	His children	60	10	Bandit	Protects his self-concept and public narrative, deepening the gaslighting of their memories.
Bullies Kendall verbally in “Nobody Is Ever Missing” over his fragility	Logan	Kendall	55	5	Bandit	Reasserts dominance and shuts down Kendall’s autonomy, worsening Kendall’s mental collapse.
Runs after Nan Pierce’s car in fury when the PGM deal collapses	Logan	Himself	20	50	Helpless	Embarrasses himself in a futile display that does nothing to salvage the deal or help others.
Uses psychological needling to “break them by talking”	Logan	His children	70	5	Bandit	Sharpens his leverage and compliance at the cost of their mental stability.
Treats employees and family with brutal, degrading “honesty”	Logan	Family & staff	70	10	Bandit	Gains fear-based clarity and control while inflicting emotional damage.
Promises protection and then turns it into a threat to Shiv	Logan	Shiv	65	15	Bandit	Uses past “protection” as leverage, making her more dependent and fearful.
Starts an affair with Kerry, decades younger	Logan	Kerry / Marcia	60	20	Bandit	Gains sexual gratification and emotional supply while destabilizing marital and familial bonds.
Neglects Connor for years, effectively disappearing as a father	Logan	Connor	20	30	Helpless	Spares Connor some direct abuse but abandons him, forfeiting a healthier bond and parental role.
Regularly weaponizes his dread reputation to control others	Logan	Family & staff	80	10	Bandit	Fear of him keeps people compliant while traumatizing his inner circle.
Skips Connor’s wedding for a Sweden deal and dies on the plane	Logan	Himself	0	10	Helpless	Sacrifices a final family moment and his life for a deal that can no longer benefit him.
Reasserts himself as CEO after stroke despite frailty	Logan	Company/children	75	20	Bandit	Clings to power and identity, blocking succession and forcing fragile leadership around him.
Blames Kendall entirely for his own problems around the accident	Logan	Kendall	60	10	Bandit	Offloads guilt and civil liability onto Kendall, exacerbating Kendall’s self-loathing.
Tries to force Kendall to stay by blocking his attempt to cash out	Logan	Kendall	70	10	Bandit	Keeps Kendall close as an emotional and business asset, preventing his independence.
Pursues PGM largely out of spite for old mockery and Ewan’s tastes	Logan	Pierces / Ewan / company	60	20	Bandit	Feeds his ego and vengeance while risking capital and stability for petty motives.
Maintains serial sexual predator in orbit while boasting “standards”	Logan	His kids / victims	55	10	Bandit	Mitigates one risk to his kids but preserves systemic danger and corporate rot.
Hides his health problems and overexerts on Josh Aaronson’s hike	Logan	Himself	5	50	Helpless	Endangers his life and worsens his condition just to appear strong.
Refuses medical help during the hike-induced heart episode	Logan	Himself	0	50	Helpless	Nearly kills himself to protect his image, with no offsetting benefit.
Secretly swims only around Marcia to conceal his scars from the kids	Logan	Himself	40	60	Helpless	Avoids emotional vulnerability but forgoes honest connection and possible healing.
Routinely humiliates staff and waiters (e.g. at Shiv’s wedding)	Logan	Service workers	70	10	Bandit	Signals status and dominance while needlessly degrading others.
Accuses Gil of being a bad husband while ignoring his own damage	Logan	Gil / Kendall	55	20	Bandit	Deflects criticism and attacks an enemy’s legitimacy, ignoring parallel harm to his son.
Maintains ATN as a far-right propaganda machine	Logan	Public	90	5	Bandit	Builds audience, power, and profits while poisoning civic discourse.
Backs Jeryd Mencken, an extreme far-right candidate	Logan	Country	85	0	Bandit	Gains access and influence at immense social and democratic cost.
Uses racist, sexist, and homophobic language and policies	Logan	Minorities/women	60	5	Bandit	Reinforces his in-group identity and control while harming targets and culture.
Hides his dementia and stroke impact to stay in charge	Logan	Himself & company	15	20	Helpless	Undermines his health and organizational resilience for the illusion of invulnerability.
Pushes his exhausted body post-stroke instead of resting	Logan	Himself	5	50	Helpless	Shortens his effective lifespan and clarity with no lasting gain beyond pride.
Verbally eviscerates Kendall, including “you’re a fucking nobody”	Logan	Kendall	60	5	Bandit	Reinscribes hierarchy and cowed dependence while deepening Kendall’s despair.
Uses “We’re all pals here!” to lower guards then attacks the weak	Logan	Family & colleagues	80	10	Bandit	Gains information and leverage by ambush at the cost of trust and safety.
Installs Kendall as fall guy while minimizing his vehicular killing	Logan	Kendall	90	5	Bandit	Repacks Kendall’s crime as disposable, locking him into sacrificial loyalty.
Blocks Kendall from leaving rehab and pulls him early for PR	Logan	Kendall	80	5	Bandit	Prioritizes optics and strategic use over Kendall’s recovery, nearly costing his son’s life.
Calls security to physically remove begging Kendall after firing	Logan	Kendall	70	5	Bandit	Displays unchallengeable authority, gratuitously intensifying Kendall’s humiliation.
Shifts blame for the children’s dysfunction entirely onto them	Logan	His children	60	10	Bandit	Protects his self-image while making them carry full psychological and moral burden.
Regularly uses “just joking” to dismiss cruelty	Logan	Family & staff	65	15	Bandit	Retains the sting of abuse while denying responsibility and confusing boundaries.
Targets Roman, Kendall, and Shiv with tailored sexual insults	Logan	His children	55	10	Bandit	Weakens them by hitting intimate vulnerabilities while contributing to their sexual dysfunction.
Excludes Shiv from serious succession consideration due to sexism	Logan	Shiv	75	5	Bandit	Keeps a male-controllable heir pipeline while squandering her talent and autonomy.
Keeps the kids emotionally dependent so they won’t leave him	Logan	His children	70	15	Bandit	Guards against abandonment at the cost of their adult independence and mental health.
Manipulates each child’s need for approval via rotating favoritism	Logan	His children	80	10	Bandit	Maximizes leverage by keeping all of them insecure and in competition.
Forces Roman into COO role despite clear unsuitability	Logan	Roman & company	40	20	Helpless	Indulges a sadistic experiment that hurts Roman and risks corporate performance.
Demands Shiv do years of training while giving Roman COO on a whim	Logan	Shiv	65	5	Bandit	Reinforces patriarchal control and keeps her off-balance while flaunting arbitrary power.
Deliberately cultivates a culture of fear (“Boar on the Floor”)	Logan	Executives	80	5	Bandit	Extracts ruthless loyalty while inflicting deep humiliation and paranoia.
Mocks Shiv’s emotions and strings her along for succession	Logan	Shiv	70	5	Bandit	Keeps Shiv tethered and reactive while worsening her sense of worth and security.
Refuses to retire despite severe, recurring health issues	Logan	Himself & company	25	30	Helpless	Clings to power in ways that undermine governance succession and his survival.
Takes out anxiety and anger on Kendall’s kids, including hitting Iverson	Logan	Grandkids	10	0	Stupid	Spreads generational trauma without strategic or emotional benefit.
Denies his kids access to the pool when Lester is around	Logan	His children	60	70	Intelligent	Reduces molestation risk to them without notable self-harm.
Pays marked attention to a humiliated working‑class kid and gives him his watch	Logan	The baseball kid	60	70	Intelligent	Offers meaningful restitution and models a value he claims to prize.
Tells Greg sincerely it’s his choice whether to side with Ewan or him	Logan	Greg	55	60	Intelligent	Signals rare respect for Greg’s agency while possibly keeping future loyalty.
Apologizes (poorly) to Roman after hitting him	Logan	Roman	55	40	Intelligent	Partially repairs the relationship and slightly reduces damage to both.
Warns Greg to keep Kendall from dying while partying in Europe	Logan	Kendall	55	55	Intelligent	Shows concern for Kendall’s survival without undermining Logan’s own position.
Treats Tom with more respect after Tom toughens up	Logan	Tom	70	60	Intelligent	Rewarding strength secures a more competent ally and gives Tom room to grow.
Gives Colin an expensive watch and names him in his will	Logan	Colin	65	70	Intelligent	Rewards loyalty and forges a lasting positive tie that costs him little.
Tells Kendall he “doesn’t do apologies”	Logan	His children	50	20	Bandit	Protects his absolute authority but shuts down channels for repair and growth.
Tries to make himself loved via fear and dependence rather than care	Logan	His children	55	15	Bandit	Gains clinging loyalty but ensures hollow, resentful relationships.
Raises his children in narcissistic Social-Darwinist fashion	Logan	His children	75	10	Bandit	Produces potential “killers” at the price of their humanity and stability.
Supports Mencken’s win for ATN clout even as chaos looms	Logan	Country	85	5	Bandit	Optimizes his channel’s dominance amid political upheaval, harming democracy.
