Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Catelyn pleads with Walder Frey to spare Robb and offers herself in his place	Catelyn Stark	Robb Stark, Walder Frey	10	40	Helpless	She gains nothing and is killed soon after, but the attempt is meant to help Robb and causes no added harm to others.
Catelyn attempts to free and exchange Jaime Lannister for her daughters	Catelyn Stark	Herself, Robb, Jaime, Lannisters	20	25	Stupid	Risking her and Robb’s position and their main leverage for a very uncertain exchange harms her side more than any clear benefit to others.
Catelyn prays for the gods to take baby Jon away	Catelyn Stark	Jon Snow	5	0	Stupid	She wishes lethal harm on an innocent child out of resentment, with no benefit to herself and potential immense harm to Jon.
Catelyn prays for Jon to be saved and promises to love and legitimize him	Catelyn Stark	Jon Snow	65	80	Intelligent	She seeks Jon’s survival and his full acceptance, improving his prospects and easing her guilt, benefiting both.
Catelyn refuses to fulfill her promise to love and legitimize Jon after he recovers	Catelyn Stark	Jon Snow, Herself	20	15	Stupid	She continues to harm Jon emotionally and believes this brings divine punishment on her family, hurting both sides.
Catelyn tells Ned to trust Littlefinger and vouches for him	Catelyn Stark	Ned Stark	5	10	Stupid	Her misplaced trust directly abets Ned’s downfall while giving her no real long-term gain and enabling catastrophic harm.
Catelyn vows revenge on the Lannisters after Ned’s death	Catelyn Stark	Lannisters, Herself	40	10	Bandit	Her resolve may bolster her own sense of purpose while committing to further violence and destruction against others.
Catelyn glares Jon Snow while he says goodbye to comatose Bran	Catelyn Stark	Jon Snow	45	20	Stupid	Her hostility yields no benefit to her and inflicts emotional harm on Jon at a vulnerable moment.
Catelyn locks herself away and refuses to eat for days after Brandon’s death	Catelyn Stark	Herself	5	50	Helpless	Her self-starving and withdrawal damage only herself and do not clearly hurt others.
Catelyn saves Littlefinger from Brandon Stark years earlier	Catelyn Stark	Petyr Baelish	15	25	Helpless	She spares Littlefinger out of pity, helping him survive while enabling someone who will later devastate her family and herself.
Catelyn threatens to slit a hostage’s throat when someone tries to murder her son	Catelyn Stark	Hostage, Attacker	55	70	Intelligent	She credibly threatens the hostage to deter harm and protect her child, gaining leverage and enhancing her side’s safety.
Catelyn fights the assassin attacking Bran, grabbing the dagger and biting his hands	Catelyn Stark	Bran’s assassin	80	90	Intelligent	She risks injury to delay the killer, directly contributing to Bran’s survival and proving her own courage and value.
