Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Brienne defeats Loras in melee and tourney duel	Brienne	Loras Tyrell	80	60	Intelligent	She proves her skill and gains Renly’s favor while Loras only suffers a modest bruised ego.
Renly rewards Brienne by offering her anything she desires	Renly	Brienne	70	70	Intelligent	He honors her achievement, strengthening her loyalty and giving her status.
Brienne asks Renly for a position on his Kingsguard	Brienne	Renly	85	80	Intelligent	She gains rank and purpose while giving Renly an extraordinarily loyal and capable bodyguard.
Brienne faithfully serves Renly as Kingsguard	Brienne	Renly	75	70	Intelligent	She gains belonging and identity while enhancing Renly’s safety and image.
Renly shows kindness and respect to Brienne	Renly	Brienne	65	70	Intelligent	His empathy wins him a fiercely loyal champion and emotionally uplifts her.
Bolton men attempt to rape Brienne	Bolton men	Brienne	5	0	Stupid	They risk their lives for no strategic gain and threaten an ally prisoner, causing pure harm.
Brienne fights off her would-be rapists	Brienne	Bolton men	70	40	Intelligent	She defends herself and deters further abuse while the men are justly harmed for predation.
Locke captures and imprisons Brienne (badass in distress)	Locke	Brienne	40	15	Bandit	He gains leverage and pleases his superiors at the cost of abusing a prisoner.
Locke throws Brienne into a bear pit with only a wooden sword	Locke	Brienne	30	10	Bandit	He entertains and intimidates others but nearly destroys a valuable captive.
Brienne fights the bear with only a wooden sword	Brienne	Bear	65	40	Intelligent	She maximizes her slim chances of survival while harming only a dangerous animal.
Brienne develops a crush on Renly because of his kindness	Brienne	Renly	55	60	Helpless	Her feelings give her purpose and loyalty but also long-term emotional pain for unrequited love.
Brienne quickly deduces Jaime has affection for her	Jaime	Brienne	60	60	Intelligent	His emotional openness gives them both a deeper bond and mutual respect.
Jaime knights Brienne with Oathkeeper and black armor gift	Jaime	Brienne	70	80	Intelligent	He redeems himself symbolically and empowers a just protector with elite gear.
Brienne swears vengeance on Stannis for killing Renly	Brienne	Stannis	40	20	Bandit	Her vendetta gives her purpose but risks clouding judgment and harms a man already at war with mutual enemies.
Jaime confronts Brienne in the bath about following Renly’s immoral orders	Jaime	Brienne	60	70	Intelligent	He risks offending her to give her crucial insight into honor vs. justice, deepening her understanding.
Brienne offers to train Podrick in combat	Brienne	Podrick	75	80	Intelligent	She gains a more competent squire and gives him skills and purpose.
