Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Peggy has her hair cut into a more fashionable flip and maintains it	Peggy	Peggy	70	60	Intelligent	Improves her professional image and confidence with no indicated harm to others.
Peggy faints when she sees a man bleeding with his foot cut off	Peggy	Injured man	10	20	Helpless	Her reaction incapacitates her and reduces her ability to help the victim.
Peggy later keeps her head together and helps a bleeding person	Peggy	Bleeding person	80	85	Intelligent	Staying calm lets her assist effectively without apparent downside.
Peggy repeatedly pursues aggressive, self-centered men	Peggy	Her romantic partners	30	25	Helpless	Her attraction brings her emotional trouble while rewarding inconsiderate men.
Peggy ultimately chooses to get together with Stan Rizzo	Peggy	Stan	85	80	Intelligent	She finds a supportive partner and mutual, healthy relationship.
Don chooses Peggy over Paul as his lead copywriter	Don	Peggy and Paul	75	70	Intelligent	Helps Don’s work quality and advances Peggy’s career though Paul loses out professionally.
Peggy hates it when people imply she slept with Don to advance	Peggy	Those making implications	50	40	Helpless	Her anger is understandable but mainly causes her stress without changing others’ behavior.
Peggy works long hours, prioritizing career over relationships	Peggy	Her romantic partners	70	30	Bandit	She gains career progression at the recurring cost of her relationships.
Peggy accepts that she cannot be both a productive team leader and a “nice” friend to underlings	Peggy	Her subordinates	75	65	Intelligent	Adopting a firmer style improves leadership with only modest relational cost.
Peggy continues to attend Mass off and on despite waning faith	Peggy	Church community	45	55	Helpless	Going despite doubt burdens her yet modestly supports her community.
Peggy creates an ad for Popsicles inspired by Catholic iconography	Peggy	Clients/consumers	75	70	Intelligent	She converts background into creative work that benefits her career and the client.
Peggy gives birth to Pete’s child and gives him up for adoption	Peggy	Her child	30	60	Helpless	She bears physical/psychological cost while the child likely gains a more stable life.
Peggy smokes marijuana for creative inspiration	Peggy	Herself	55	45	Helpless	Provides some short-term inspiration with implied health/professional risks.
Peggy focuses on advancing her career while wondering about the child she gave up	Peggy	Her child/family	60	35	Bandit	Career gains coexist with ongoing emotional burden and strained family ties.
Peggy befriends and emotionally supports neighbor boy Julio	Peggy	Julio	65	80	Intelligent	Gives him attention and care while also gaining emotional fulfillment and growth.
Peggy works her way up from shy secretary to confident Copy Chief	Peggy	Peggy’s colleagues/firm	90	80	Intelligent	Her ambition boosts her career and significantly benefits the agency’s output.
Peggy expresses that she feels unattractive and struggles with dating	Peggy	Herself	35	45	Helpless	Her insecurity harms her self-esteem without clear benefit to anyone else.
Peggy cuts off her ponytail into an aggressive business haircut	Peggy	Peggy	75	65	Intelligent	The haircut marks and supports her transition to a serious professional.
Peggy does posters for a CYO dance	Peggy	CYO/community	65	80	Intelligent	Her work helps the event and community while demonstrating her skills.
Peggy accompanies Don into the men’s room when he throws up	Peggy	Don	70	70	Intelligent	She supports Don in a vulnerable moment and cements her status as “one of the guys.”
Peggy acts as a parental substitute for Julio, letting him watch TV and confide in her	Peggy	Julio	70	85	Intelligent	She provides emotional stability and gains a meaningful connection linked to her own loss.
Peggy’s lipstick-test comments get her noticed and promoted to copywriter	Peggy	Agency	90	80	Intelligent	Using her insight advances her career and improves the firm’s creative work.
Peggy chooses to stay at work on her birthday instead of being with boyfriend and family	Peggy	Family and boyfriend	65	25	Bandit	She advances or protects her work status while damaging personal relationships.
Peggy turns down Don’s initial demand to join SCDP until he asks properly	Peggy	Don	80	55	Intelligent	She asserts her value and gains leverage while pushing Don toward respectful treatment.
Peggy quits SCDP when taken for granted and accepts CGC’s better offer	Peggy	SCDP/CGC	90	40	Bandit	Her move greatly benefits her and CGC but harms SCDP by removing key talent.
Peggy walks into McCann Erickson “with the aura of giving no fucks”	Peggy	McCann Erickson staff	80	70	Intelligent	Her confident entrance strengthens her position and earns respect.
Peggy’s lack of love life turns her paranoid and more jerkish in Season 7	Peggy	Her colleagues	30	30	Stupid	Her behavior harms her well-being and strains others without any clear gain.
Peggy behaves as an “Ungrateful Bastard,” antagonizing Don on his return	Peggy	Don	25	25	Stupid	Her antagonism damages their dynamic and gives her no tangible advantage.
Peggy’s relationship with Don is later mended and she forgives him	Peggy	Don	75	80	Intelligent	Reconciliation improves her support network and repairs a key bond.
Peggy calls out Stan for slacking off and argues with him	Peggy	Stan	70	65	Intelligent	Challenging Stan improves work output and evolves into a stronger, honest relationship.
Peggy gets together romantically with Stan	Peggy	Stan	90	90	Intelligent	Both gain mutual emotional support and a partner who respects her career.
