Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Dan has drunken sex with Amy, resulting in her pregnancy	Dan	Amy	30	20	Bandit	He seeks pleasure with no commitment, gains nothing lasting while causing major life consequences for Amy.
Amy tries to nudge Dan into settling down and raising their child together	Amy	Dan	40	60	Helpless	She makes an emotionally costly effort that could benefit both, but he remains oblivious and she gains nothing.
Dan remains oblivious to Amy’s attempts to settle down with him	Dan	Amy	45	20	Stupid	His inattention undermines a chance at stability for both and contributes to her later abortion decision.
Amy decides to get an abortion	Amy	Herself	20	40	Helpless	She harms herself emotionally/physically while arguably reducing future burden on both parents.
Dan bluntly answers “Yes” when Gary says everything he says is emasculating	Dan	Gary	55	30	Bandit	He gets a small ego boost by confirming Gary’s insecurity and offers Gary no benefit.
Dan repeatedly tries to “turn on the charm” with colleagues	Dan	Colleagues	45	35	Stupid	His fake charm fails, slightly embarrassing him and disturbing others without real gain.
Dan frequently backstabs whoever he works for to further his career	Dan	Bosses/colleagues	65	15	Bandit	He sometimes advances himself through betrayal while harming allies and teams.
Dan persists through brutal setbacks and stages multiple comebacks	Dan	Himself	80	40	Intelligent	His persistence significantly benefits his own career and mildly benefits others who use his skills.
Dan ultimately quits politics for good after Jonah “gets one in on him”	Dan	Himself	55	60	Intelligent	Leaving a field where he’s toxic and self-sabotaging slightly improves his life and removes harm to others.
Dan sneaks in a bill opposed by the President and much of Congress	Dan	Selina/administration	25	10	Stupid	He triggers a political disaster that damages his standing and forces Selina to veto her own work.
Dan is genuinely outraged when Teddy grabs Jonah’s balls and tells him not to put up with it	Dan	Jonah	65	70	Intelligent	He risks little while clearly supporting Jonah against sexual harassment.
Dan becomes a rich SoCal real-estate agent, flaunting money despite never accomplishing anything meaningful	Dan	General others	70	40	Bandit	He achieves wealth and satisfaction while contributing little of value beyond shallow status.
Dan offers Catherine a threesome with Marjorie when the couple are trying for a baby	Dan	Catherine/Marjorie	60	10	Bandit	He seeks sexual gratification at the expense of a same‑sex couple’s boundaries and stability.
Dan repeatedly gives arrogant, poorly thought-out political advice that backfires	Dan	Selina/teams	20	15	Stupid	His overconfident advice harms his own career and damages his bosses’ positions.
