Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Helps parents stay together as a child by writing an hour-long lecture	Chidi	Chidi's parents	60	70	Intelligent	He reassures himself and successfully prevents their divorce, though it later contributes to his harmful perfectionism.
Spends life obsessively searching for “the right answer” to every problem	Chidi	People around Chidi	20	15	Stupid	His rigid obsession undermines his own happiness and makes others miserable without compensating benefits.
Helps Eleanor stay in the supposed Good Place despite risk to himself	Chidi	Eleanor	40	70	Helpless	He endangers himself while significantly helping Eleanor grow morally.
Teaches Eleanor ethics through hundreds of reboots, reforming her	Chidi	Eleanor	65	85	Intelligent	He gains purpose and a close relationship while profoundly improving her character.
Reforms Michael from sadistic demon into rule-breaking savior	Chidi	Michael	70	95	Intelligent	His teaching fulfills his ethical mission and turns a powerful villain into an ally for many souls.
Proposes recreating the experiment to see if people can change after death	Chidi	Humanity / afterlife system	85	95	Intelligent	He advances his life’s ethical project and lays groundwork for systemic reform helping countless others.
Designs afterlife reform using growth-forcing scenarios with Bad Place demons	Chidi	All future afterlife participants	90	100	Intelligent	He meaningfully shapes a better system for everyone and fulfills his intellectual/ethical potential.
Works out extensively to manage anxiety	Chidi	Chidi	80	55	Intelligent	He improves his physical and mental health with no clear harm or benefit to others.
Floors Brent with a punch after Brent insults and shoves Simone	Chidi	Brent	40	35	Bandit	He defends someone he cares about and asserts himself but resorts to violence that harms Brent.
Kicks Michael out after the reenacted Trolley Problem and threatens his progress	Chidi	Michael	45	30	Bandit	He vents justified anger but impedes Michael’s moral development in that moment.
Refuses to lie even in situations where lying is necessary to avoid damnation	Chidi	Himself and his team	20	25	Stupid	His absolutism endangers both himself and allies (e.g., in the Bad Place infiltration) without offsetting gains.
Tells demons truth about torturing Eleanor by making her read books	Chidi	Eleanor	25	15	Stupid	He preserves honesty at the cost of helping design effective torture for her.
Begging John not to blow Jason’s cover	Chidi	Jason	60	75	Intelligent	He risks some social/emotional discomfort to protect Jason and it successfully influences John.
Stands up to Brent’s racism and ultimately punches him for insulting Simone	Chidi	Brent and Simone	50	40	Bandit	He gains self-respect and defends Simone but does so through harmful aggression toward Brent.
Decides to willingly give up his memories to ensure the experiment’s success	Chidi	Experiment participants	35	95	Helpless	He severely sacrifices his own continuity and relationship for the sake of many others’ moral chances.
Works patiently as an ethics professor, respected by students	Chidi	Students	70	85	Intelligent	He fulfills his vocation and is valued while improving students’ moral reasoning.
Spends half an hour choosing a bar, causing his own death by AC unit	Chidi	Chidi	0	20	Stupid	His paralysis directly gets him killed and wastes his friend’s time without any compensating benefit.
Misses his mother’s back surgery to help landlord’s nephew set up a phone	Chidi	Mother	15	25	Stupid	He sacrifices a major family event for a trivial favor, harming both his and his mother’s interests.
Obsesses for years over a trivial white lie	Chidi	Chidi and acquaintances	10	30	Stupid	He creates ongoing anxiety for himself and friction with others over something inconsequential.
Fails the Judge’s hat test by taking 82 minutes to choose	Chidi	Himself	10	40	Stupid	His indecision fails a key evaluation, hurting his prospects without helping anyone.
Writes a 3600-page, self-contradictory ethics tome	Chidi	Readers / Michael	20	35	Stupid	He pours effort into a work that confuses even near-omniscient beings and yields no usable result.
Drinks almond milk despite knowing its environmental harm	Chidi	Environment / others	40	20	Bandit	He enjoys a preferred food while contributing (slightly) to environmental damage affecting others.
Embraces nihilism and tells his students to become nihilists and ignore exams	Chidi	Students	15	10	Stupid	His breakdown harms his career and misleads students with no lasting upside shown.
Shoplifts a shirt, buys junk food, and abandons ethical restraint during breakdown	Chidi	Society / store	20	20	Stupid	He compromises his principles and risks consequences while providing only fleeting comfort.
Fails to change his unhealthy attitude despite repeated warnings	Chidi	People around Chidi	15	20	Stupid	His ignored epiphanies prolong his suffering and continue to burden others.
Secretly keeps Eleanor’s confession and commits to reforming her instead of exposing her	Chidi	Eleanor and neighborhood system	45	60	Helpless	He risks his own status and safety but significantly aids Eleanor’s moral growth and starts undermining the fake system.
Calls professor’s bright red boots ugly to his face	Chidi	Professor	35	25	Bandit	He upholds his honesty but unnecessarily hurts his professor’s feelings.
Overthinks picking between two puppies and cannot choose	Chidi	Puppies / others	20	40	Stupid	His paralysis denies himself and a dog the benefit of adoption with no compensating gain.
Fails the hat-picking Secret Test of Character by not realizing any hat is fine	Chidi	The Judge’s evaluation	10	40	Stupid	His inability to make a simple arbitrary choice damages his standing without helping anyone.
Overanalyzes schoolyard team selection based on privilege and politics as a child	Chidi	Other children	35	45	Stupid	His analysis creates unnecessary complexity and likely social friction without proportionate benefit.
Helps reform the afterlife point system and gains increased point total	Chidi	All future humans	85	100	Intelligent	He improves his own score while designing a juster system for everyone.
Comforts Eleanor by telling her she’s worth it and they have eternity to fall in love again	Chidi	Eleanor	70	90	Intelligent	He strengthens their relationship and gives her emotional security with no downside.
Tells Michael that their torture doesn’t matter because he and Eleanor are soulmates	Chidi	Michael and Eleanor	60	55	Intelligent	He gains emotional consolation and possibly undermines the torture’s effectiveness, modestly benefitting both.
Allows Eleanor to rely on him as conscience and moral guide	Chidi	Eleanor	70	80	Intelligent	He lives his purpose and deepens their bond while enabling her ethical improvement.
Maintains a strong friendship with Jason despite differences	Chidi	Jason	65	70	Intelligent	He gains social support and gives Jason guidance and care.
Considers giving Simone a dog as part of breaking up to soften the blow	Chidi	Simone	40	50	Helpless	He contemplates complicating his own obligation with a gift that mainly benefits Simone, without clear benefit to himself.
Decides to help Eleanor every time she finds him across reboots	Chidi	Eleanor	65	80	Intelligent	He gains meaning and connection while repeatedly improving her character.
Speaks multiple languages “just in case it comes back”	Chidi	Himself and teammates	75	60	Intelligent	He enriches himself and occasionally helps the group with no evident harm.
Uses exercise long-term as an anxiety-coping mechanism	Chidi	Chidi	80	55	Intelligent	He secures stable mental and physical benefits without affecting others much.
Tells dealer Nietzsche’s “God is dead” speech when offered drugs	Chidi	Drug dealer	55	40	Bandit	He avoids engaging with drugs and perhaps feels intellectually superior while unsettling the dealer.
