Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Denver beats Arturo bloody after Arturo mentions wanting to know his son and past relationship with Mónica	Denver	Arturo	20	5	Stupid	Denver gains only fleeting emotional release while seriously harming Arturo and worsening dynamics.
The Professor tells Denver he needs to get involved in another heist	The Professor	Denver	60	20	Bandit	The Professor furthers his plan while dragging Denver into more danger and distress.
Arturo deliberately starts a physical fight with Denver to get Mónica back	Arturo	Denver	15	10	Stupid	Arturo fails to achieve his goal, gets beaten, and escalates violence without benefit.
Denver overpowers Arturo in the fight and stops him from landing any hits	Denver	Arturo	55	30	Bandit	Denver protects his position and intimidates Arturo but inflicts heavy harm on him.
Arturo ends up begging Denver not to punch him in the face	Arturo	Denver	30	40	Helpless	Arturo’s plea reduces further harm to himself and indirectly de‑escalates the beating.
Denver becomes increasingly protective and paranoid about Stockholm, lashing out at Arturo and Rio	Denver	Stockholm (plus Arturo & Rio)	10	5	Stupid	His jealousy-driven aggression harms relationships and terrifies Stockholm with no benefit to him.
Denver pushes Stockholm further away through his erratic, jealous behavior	Denver	Stockholm	5	15	Stupid	His conduct directly undermines his own relationship and emotionally harms her.
Moscow lies to Denver that his mother was a domestic abuser who abandoned them	Moscow	Denver	40	15	Bandit	Moscow believes he’s protecting Denver but deceives him and damages trust when truth emerges.
Moscow previously leaves Denver's heroin-addicted mother alone at a drug market	Moscow	Denver's mother	40	5	Bandit	He protects himself and possibly young Denver from chaos but abandons the mother to severe harm.
Moscow attempts to ensure Denver’s well-being through multiple protective deceptions	Moscow	Denver	70	45	Intelligent	Within the story, these efforts are framed as keeping Denver safer and more stable despite the moral cost.
Denver comes close to disowning Moscow after learning the truth about his mother	Denver	Moscow	25	20	Stupid	Reacting in anger threatens a vital bond and hurts both without yielding clear benefit.
Denver retracts his near-disowning when he sees Moscow fatally wounded defending Tokyo	Denver	Moscow	35	55	Intelligent	He preserves their emotional connection at the end, comforting Moscow and easing mutual pain.
Moscow defends Tokyo during her return to the Mint and receives a fatal wound	Moscow	Tokyo	10	70	Helpless	He sacrifices his own life while successfully protecting Tokyo.
Denver becomes the father to Mónica's baby (Cincinnati)	Denver	Cincinnati	80	80	Intelligent	He gains a loving family role while providing emotional and practical support to the child.
Denver dreads leaving Cincinnati fatherless after Moscow’s death	Denver	Cincinnati	60	70	Intelligent	His fear motivates commitment to remain a present father, benefiting both.
Denver gives hostage parents a chance to speak to their children despite it not being in the plan	Denver	Hostage parents & their children	35	75	Helpless	He risks the heist and his safety to provide emotional relief to hostages and families.
Denver almost kills the National Bank Governor when the Governor refuses to collaborate	Denver	National Bank Governor	15	10	Stupid	He endangers his own mission and nearly kills a hostage in an uncontrolled outburst.
Denver falls in love with Mónica (Lima Syndrome)	Denver	Mónica	75	75	Intelligent	The mutual bond softens him and creates emotional support for both.
Denver adopts a “papa wolf” stance toward Cincinnati	Denver	Cincinnati	70	65	Intelligent	His fierce protectiveness strengthens his role as caregiver and enhances the child’s safety.
Arturo goads Denver by implying he will meet his son after the heist	Arturo	Denver	30	10	Stupid	He provokes a dangerous criminal for ego/control, inciting violence that backfires on him.
Denver loses control and beats Arturo bloody after Arturo’s goading about meeting his son	Denver	Arturo	20	5	Stupid	He again lets rage dictate actions, gaining nothing strategic and worsening his legal and moral situation.
Denver smokes after having sex with Mónica for the first time	Denver	Himself (health)	55	40	Bandit	He enjoys a brief personal pleasure while causing some health harm and no benefit to others.
Denver decks Mario because Mario refuses to cooperate in the bank heist	Denver	Mario	35	5	Bandit	Denver enforces compliance to help the heist at the cost of seriously harming a (senior) hostage.
Denver almost accidentally kills Mario during this assault	Denver	Mario	10	0	Stupid	Pushing the violence to near-lethal levels threatens the heist and offers no added benefit over simple coercion.
