Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Oversees occupation and exploitation of Bajor as Prefect	Dukat	Bajorans	80	3	Bandit	He gains rank and power for decades while Bajorans suffer mass death and exploitation.
Has Cardassia join the Dominion, putting his people in harm's way	Dukat	Cardassian population	40	5	Stupid	He gains short-term power but triggers catastrophic war and genocide against Cardassians.
Keeps Kira’s mother as a mistress/sex slave	Dukat	Kira Meru	85	0	Bandit	He indulges his desires and ego while coercively exploiting and imprisoning her.
Fathers many children, including out of wedlock	Dukat	His partners/family	40	30	Stupid	He spreads his genes but causes scandal, disownment, and eventual downfall for himself and turmoil for others.
Liberates Ziyal from a Breen work camp with Kira	Dukat	Ziyal	70	80	Intelligent	He risks himself to free his daughter, securing her survival and their bond.
Drops off the map and becomes an archaeologist of the Pah-wraiths	Dukat	Dukat	60	10	Helpless	He gains knowledge and a new path but this study ultimately drags him toward destructive fanaticism.
Has Bajorans join Dominion and becomes Cardassia’s head of state	Dukat	Alpha Quadrant powers	75	10	Bandit	He maximizes his personal authority at the cost of massive future casualties and instability.
Aligns himself with the Pah-wraiths as their Emissary	Dukat	All life in Alpha Quadrant	55	5	Stupid	He gains occult power but ends in eternal entombment while pushing a genocidal agenda.
Fires at hallucinations and beats injured Sisko with a pipe	Dukat	Sisko	20	5	Stupid	He vents his rage, worsens his mental state, and fails to achieve lasting advantage.
Allows Pah-wraith possession to gain power	Dukat	Dukat	60	5	Stupid	He feels loved and empowered briefly but this seals his fate as their doomed instrument.
Promises Sisko he’ll be “watching” in case Starfleet needs help	Dukat	DS9 crew	55	40	Intelligent	He cultivates influence while occasionally providing real assistance, even if self-serving.
Saves Sisko from destroyed USS Honshu to later demand respect then kill him	Dukat	Sisko	35	5	Stupid	He preserves his foe for a theatrical confrontation that fails and exposes his instability.
Reluctantly gives up position as Prefect and evacuates station	Dukat	Dukat	40	70	Helpless	He loses power but his withdrawal allows Bajor a chance at recovery and autonomy.
Restyles himself as a rebel and mounts guerrilla war on Klingons	Dukat	Klingon forces	60	40	Intelligent	He regains purpose and leverage while inflicting real damage on a hostile occupier.
Sells out Cardassia to the Dominion for power	Dukat	Cardassian Union	70	8	Bandit	He secures personal rule in exchange for his people becoming subservient cannon fodder.
Vows not to let Dukat destroy Bajor and resolve “him or me”	Sisko	Dukat	70	80	Intelligent	He commits to eliminating an existential threat, ultimately preventing galactic-scale catastrophe.
Targets disabled enemy ships’ bridges to kill everyone aboard	Dukat	Enemy crews	65	10	Bandit	He improves tactical odds via lethal efficiency at needless cost to opponents’ lives.
Destroys the Groumall with stranded Klingon crew aboard	Dukat	Klingon crew	60	5	Bandit	He preempts humiliation for them by annihilating them, gaining only minor security benefit.
Destroys another Klingon Bird-of-Prey instead of trying deception	Dukat	Klingon crew	60	5	Bandit	He chooses guaranteed slaughter over a possible bloodless solution, gaining only safety from exposure.
Runs con to seduce Bajoran women (fake harassment, then “rescuer”)	Dukat	Bajoran women	85	0	Bandit	He gains sex and ego strokes via staged abuse that manipulates and exploits victims.
Successfully corrupts Kai Winn toward the Pah-wraiths	Dukat	Kai Winn	50	10	Stupid	He advances his cult but helps create a volatile partner who later betrays him and dies.
Implements sweeping reforms to improve Bajoran camp conditions	Dukat	Bajoran laborers	55	75	Intelligent	He modestly enhances his image while significantly reducing death and suffering in the camps.
Publicly acknowledges Ziyal as his daughter	Dukat	Ziyal	30	70	Helpless	He sacrifices career and status to give her identity and family connection.
Conducts one-ship guerrilla campaign against Klingons using captured Bird-of-Prey	Dukat	Klingon forces	65	45	Intelligent	He boosts his prestige while dealing real blows to an invading enemy.
Advises eradicating Earth’s population be rejected to force submission	Dukat	Human population	80	10	Bandit	He wants living subjects to worship him instead of dead enemies, still accepting mass oppression.
Fires disruptors to destroy Xepolite ship after threats	Dukat	Xepolite crew	60	5	Bandit	He opts for lethal resolution rather than testing nonviolent alternatives, gaining control of wreckage.
Lets Maquis escape rather than insist on killing them	Sisko	Maquis	55	65	Intelligent	He preserves lives and avoids escalation while accepting some tactical loss.
Captains Cardassian resistance freighter after demotion	Dukat	Dukat	50	40	Intelligent	He rebuilds relevance and inflicts costs on Klingons despite prior disgrace.
Blames Bajorans and Central Command instead of accepting responsibility	Dukat	Opponents/critics	55	20	Bandit	He protects his ego and some reputation while deepening others’ resentment and future harm.
Kidnaps and has Rugal Pa’Dar adopted by Bajorans to hurt his rival	Dukat	Rugal & Kotan Pa’Dar	75	5	Bandit	He gains political leverage at the expense of a child’s life and his rival’s reputation.
Tries to kill Ziyal on Ravinok to protect career	Dukat	Ziyal	30	2	Stupid	He nearly murders his own daughter for image, risking psychological collapse and losing her if he succeeds.
Spies Ziyal’s friendship with Garak and feels “betrayed” by Kira	Dukat	Ziyal & Kira	40	30	Stupid	His possessive reaction strains relationships and fuels further obsession without benefit.
Orders Garak imprisoned indefinitely in Dominion prison	Dukat	Garak	65	5	Bandit	He indulges a vendetta that removes a skilled opponent but at cost of making a dangerous enemy on escape.
Has Pah-wraith cult commit to mass suicide while planning to fake his own death	Dukat	Pah-wraith cultists	40	0	Stupid	He intends to erase witnesses and scandal but is exposed, loses his flock, and flees in disgrace.
Sets up cult colony devoted to Pah-wraiths on Empok Nor	Dukat	Bajoran followers	55	10	Stupid	He gains adoration and control briefly while endangering followers in a doomed, collapsing setup.
Supplies arms to Bajoran extremist group with ties to Central Command	Dukat	Bajorans & DS9 crew	60	10	Bandit	He gains leverage in Bajoran politics while fueling violence and instability.
Admits in “Waltz” that he should have killed all Bajorans and vows genocide	Dukat	Bajorans	20	0	Stupid	He embraces an extermination goal that ensures total opposition and seals his eventual ruin.
Tries to murder Mika via airlock to hide affair	Dukat	Mika	35	3	Stupid	He risks exposure and loss of his cult for a short-term coverup already at risk of failing.
Tricks followers into believing in suicide pact to cover mistress pregnancy	Dukat	Pah-wraith cultists	35	0	Stupid	He attempts to erase evidence at catastrophic cost to others, and the plan collapses completely.
Aligns Cardassia with Dominion and announces “new era” speech	Dukat	Cardassian populace	70	10	Bandit	He gains dictatorial power while chaining his world to an exploitative empire.
Runs one-ship war rather than accept civilian government diplomacy	Dukat	Cardassian government	55	30	Helpless	He salvages personal pride and some tactical gains while undermining his own side’s policy.
Attempts to seduce Kira repeatedly despite her revulsion	Dukat	Kira Nerys	60	10	Bandit	He indulges his obsession and ego at ongoing psychological cost to her, gaining no reciprocation.
Reveals to Kira that he kept her mother as his mistress as a power move	Dukat	Kira Nerys	50	5	Stupid	He tries to destabilize her and assert dominance but only hardens her hatred and opposition.
Beats and drags Sakonna when Maquis try to kidnap him	Dukat	Sakonna	55	30	Bandit	He ensures his own survival while inflicting gratuitous violence on an opponent.
Agrees to work with Sisko to expose Central Command’s DMZ arms smuggling	Dukat	Central Command conspirators	60	70	Intelligent	He settles scores and regains influence while preventing war escalation.
Helps DS9 crew on multiple occasions while nursing resentment	Dukat	DS9 crew	60	65	Intelligent	He secures leverage and goodwill opportunities while their missions often genuinely benefit.
Destroys disabled Klingon ships instead of leaving survivors	Dukat	Klingon crews	55	5	Bandit	He insists on total enemy annihilation, gaining only marginal security over captured POWs.
Disowns Ziyal after she chooses to stay on DS9	Dukat	Ziyal	15	20	Stupid	He sacrifices his primary emotional anchor out of wounded pride, worsening later breakdown.
Attacks Sisko with pipe after seeing distress call as “betrayal”	Dukat	Sisko	25	5	Stupid	He vents rage, sabotages any chance of reconciliation, and fails to kill his enemy.
Orders purges of civilian and military dissidents during his dictatorship	Dukat	Civilian/military rivals	75	5	Bandit	He consolidates rule at cost of lives, further delegitimizing his regime.
Helps motivate Damar to “be the leader Cardassia needs”	Dukat	Damar	60	70	Intelligent	He boosts his former adjutant’s resolve, indirectly enabling the later anti-Dominion resistance.
Accepts being Dominion’s frontman rather than resisting their control	Dukat	Founders’ rule victims	65	15	Bandit	He gets to play strongman while helping entrench a brutal occupation over many worlds.
Attempts to re-create occupation dynamic via Pah-wraith cult on Empok Nor	Dukat	Bajoran cultists	45	5	Stupid	He briefly feeds his fantasy while creating another fiasco that ends his local influence.
Murders Solbor when his Anjohl disguise is exposed	Dukat	Solbor	55	5	Bandit	He silences a threat to his cover at the cost of killing a respected cleric, deepening eventual backlash.
Poisons Dukat to gain Pah-wraith power	Winn Adami	Dukat	40	15	Bandit	She attempts to remove a rival for spiritual power but instead clears the way for his resurrection and empowerment.
Reanimates Dukat and grants him supernatural powers	Pah-wraiths	Alpha Quadrant	70	5	Stupid	They empower their champion briefly but ensure a direct confrontation that leads to their defeat and entombment.
Tackles Dukat into Fire Caves chasm, destroying book and trapping him	Sisko	Dukat	35	85	Helpless	He sacrifices his own corporeal existence to neutralize Dukat permanently and save Bajor.
Reveals fake cyanide pill plan, stopping cult mass suicide	Kira Nerys	Pah-wraith cultists	65	90	Intelligent	She preserves her own integrity and prevents dozens of needless deaths.
