Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Calls dibs on the loser of Dwight and Andy’s duel	Meredith	Dwight and Andy	55	20	Bandit	She amuses herself by staking a sexual claim that clearly discomforts both men.
Drives drunk with Michael and the women, speeding to the mall	Meredith	Michael and female coworkers	10	5	Stupid	She endangers her own life and her passengers’ lives with no evident benefit beyond reckless thrill.
Defends her college alcoholism as normal college behavior	Meredith	Herself (rationalization)	30	45	Helpless	She maintains a self-harming habit while easing social/psychological tension for others who accept the excuse.
Stays in the room and tells the hired stripper (her son) to pretend she’s not there	Meredith	Her son and party guests	40	25	Helpless	She avoids embarrassment for herself and the group but inflicts awkwardness and potential harm on her relationship with her son.
Shaves her head after being blamed for bringing lice	Meredith	Herself	20	55	Helpless	She undergoes a drastic, harmful action to herself that helps the office deal with lice and removes suspicion from others.
Pam lets Meredith take the fall for the lice incident	Pam	Meredith	80	15	Bandit	Pam avoids blame and inconvenience while Meredith suffers stigma and the drastic head-shaving.
Quickly accepts Pam’s apology and invites her out for a drink	Meredith	Pam	65	80	Intelligent	She repairs the relationship, gains companionship, and makes Pam feel forgiven and included.
Forgives Michael after he hits her with his car	Meredith	Michael	40	75	Helpless	She reduces conflict and guilt for Michael but minimizes her own serious injury and potential claims.
Refuses to go to rehab because she says she can function	Meredith	Herself	15	40	Helpless	She preserves her current comfortable routine at the cost of her long-term health and stability while sparing others the hassle of confronting change.
Avoids sleeping with people who are in relationships	Meredith	Potential cheating partners and their partners	55	80	Intelligent	She forgoes some opportunities but protects others’ relationships and social harmony.
Sleeps with a terrorist	Meredith	Terrorist	30	10	Helpless	She gains dubious sexual gratification while empowering or validating someone dangerous with no benefit to others.
Wears a very short dress with no underwear or bra to the office	Meredith	Office coworkers	45	15	Bandit	She gains comfort/attention while making others uncomfortable and violating workplace norms.
Keeps her PhD work in school psychology hidden until the finale	Meredith	Herself and coworkers	60	60	Intelligent	She quietly improves her qualifications and later reveals it, enhancing her prospects and coworkers’ respect without harming anyone.
Participates in an odd but genuine friendship with Dwight (mutual respect, apocalypse comment, Motorhead headbanging)	Meredith	Dwight	75	85	Intelligent	They support and validate each other, strengthening social bonds and mutual esteem.
Openly maintains a very active sex life despite stigma	Meredith	Herself and coworkers	55	45	Bandit	She gains personal satisfaction and identity at some social cost and discomfort to her coworkers.
Responds to Jan in the twelve‑step circle by cutting off “I’m an alcoh…” and saying she’s good at supplier relations	Meredith	Group in the program	35	55	Helpless	She avoids honest self-confrontation yet keeps the tone light and functional for the group.
Prostitutes herself to suppliers to secure steep discounts for Dunder Mifflin	Meredith	Herself	20	85	Helpless	She significantly harms her own dignity and well-being while providing major financial benefit to the company.
Accepts Outback Steakhouse gift cards as “tips” from suppliers	Meredith	Herself	35	55	Helpless	She gains small perks that don’t compensate for the personal cost while providing free meals for colleagues.
Corporate shields her from punishment after learning about the prostitution arrangement	Corporate	Meredith	75	70	Intelligent	They preserve a financially valuable arrangement and spare her job, benefiting both the company and Meredith.
Scranton colleagues quickly get over their disgust because they enjoy the free meals	Scranton coworkers	Meredith	80	25	Bandit	They gain tangible benefits and social ease while effectively condoning Meredith’s self-harming behavior.
