Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Leslie repeatedly lampshades Ann’s ambiguous ethnicity with praise	Leslie	Ann	70	70	Intelligent	Leslie boosts Ann’s confidence and expresses affection without harming anyone.
Leslie tells Ann she’s thoughtful, brilliant, and represents the American melting pot	Leslie	Ann	75	80	Intelligent	Complimenting Ann strengthens their bond and makes Ann feel valued.
Ann and Andy form a healthy friendship after breakup	Ann	Andy	80	80	Intelligent	Transitioning to friendship benefits both by reducing conflict and preserving social ties.
Andy forms a healthy friendship with Ann after breakup	Andy	Ann	80	80	Intelligent	Andy maintains a positive connection that helps both move on and stay integrated in the group.
Ann and Chris remain amicable exes before getting back together	Ann	Chris	85	85	Intelligent	Remaining friendly avoids drama and opens the door to a later satisfying relationship.
Chris remains amicable exes with Ann before reuniting	Chris	Ann	85	85	Intelligent	Chris’s cooperation in an amicable breakup benefits both and supports later reconciliation.
Ann and Chris leave Pawnee to start their family	Ann	Ann & Chris’s family	90	60	Intelligent	Moving to focus on family is a big self-gain and only mildly reduces availability to friends.
Chris leaves Pawnee with Ann to start their family	Chris	Ann & Chris’s family	90	60	Intelligent	Prioritizing family life is a strong personal gain with limited cost to others.
Ann and Chris return for the finale visit with their children	Ann	Leslie & Pawnee friends	75	85	Intelligent	Coming back with their kids reinforces friendships and gives joy to their social circle.
Chris returns for the finale visit with their children	Chris	Leslie & Pawnee friends	75	85	Intelligent	His return maintains bonds and shares the happiness of their family with others.
Ann stays professional and polite to April as an extremely annoying patient	Ann	April	65	70	Intelligent	Maintaining professionalism helps April receive care and supports Ann’s role identity.
Ann ends her shift and then yells at April in frustration	Ann	April	45	20	Bandit	She vents pent‑up frustration, mildly relieving herself while upsetting April.
Ann eats an entire cheesecake at Leslie’s request	Ann	Leslie	40	65	Helpless	Ann sacrifices her own health/comfort for Leslie’s purposes and praise.
Ann colors locks of her hair bright red to impress Chris	Ann	Chris	55	60	Intelligent	Self-presentation to attract Chris mainly benefits her love life and harms no one.
Ann allows herself to be pulled into Leslie’s plans repeatedly	Ann	Leslie	35	70	Helpless	Her passivity costs her autonomy and time while advancing Leslie’s goals and projects.
Ann lets boyfriends take advantage of her due to her doormat tendencies	Ann	Boyfriends	20	60	Helpless	She is exploited while boyfriends gain attention, care, or resources.
Ann and Leslie work together to fill the Lot 48 pit	Ann	Pawnee community	80	90	Intelligent	Her collaboration with Leslie improves the town and gives her purpose and friendship.
Leslie and Ann become best friends through the pit project	Leslie	Ann	85	90	Intelligent	Leslie invests in friendship that deeply benefits them both emotionally and socially.
Ann waits on Andy hand and foot when his legs are broken	Ann	Andy	25	70	Helpless	She overinvests in caring for him, draining herself while Andy enjoys excessive support.
Ann coddles and protects Andy like a child while he is injured	Ann	Andy	30	60	Helpless	Her overprotection comforts Andy but keeps her stuck in an unequal, draining role.
Ann kisses Andy when he ends up in the hospital again	Ann	Andy	40	55	Helpless	Affection partly benefits her emotionally but reinforces attachment to a problematic partner.
Ann has a homosexual life-partner–style friendship with Leslie	Ann	Leslie	90	95	Intelligent	Deep mutual support in their friendship benefits both enormously.
Leslie invests in a life-partner–style friendship with Ann	Leslie	Ann	95	95	Intelligent	Leslie gains emotional fulfillment and gives Ann the same, with no evident downsides.
Ann consistently treats Jerry kindly compared to others	Ann	Jerry	70	80	Intelligent	She maintains kindness at little cost, improving Jerry’s experience and her own character.
Ann becomes an official couple with Chris in Season 6	Ann	Chris	90	85	Intelligent	Committing to a stable relationship benefits both partners and those around them.
Chris becomes an official couple with Ann in Season 6	Chris	Ann	90	85	Intelligent	He gains a loving partnership, and both flourish from mutual support.
Ann takes a part-time job at the city’s health department	Ann	Pawnee citizens	85	85	Intelligent	She improves her career situation while helping the community’s health.
Ann moves to Michigan with Chris to raise their family	Ann	Ann & Chris’s family	90	60	Intelligent	Prioritizing family stability gives long-term benefits while only mildly reducing presence in Pawnee.
Chris moves to Michigan with Ann to raise their family	Chris	Ann & Chris’s family	90	60	Intelligent	He aligns his life around family, gaining fulfillment with limited external cost.
Ann dates a new paramour almost every episode in Season 3	Ann	Various boyfriends	55	45	Bandit	Her experimentation boosts her self-exploration but sometimes entangles others in shallow or brief relationships.
Ann pushes for Leslie and Ben to get together	Ann	Leslie & Ben	75	80	Intelligent	Her matchmaking helps them find a strong relationship with no obvious cost to herself.
Ann sneaks an Al Green song onto Leslie and Ben’s road trip mix	Ann	Leslie & Ben	70	75	Intelligent	Subtle romantic priming furthers their connection in a mostly harmless way.
Chris breaks up with Ann using gentle, confusing wording	Chris	Ann	60	30	Bandit	He avoids his own discomfort with conflict at the cost of leaving Ann hurt and blindsided.
Ann fails to realize she has been dumped for a week	Ann	Ann	10	50	Helpless	Her lack of awareness dramatically harms her own emotional clarity without affecting others much.
Ann acts as straight man/comic foil to Leslie and the others	Ann	Leslie & group	60	65	Intelligent	Her grounded reactions stabilize the group dynamics and give her a valued role.
Ann and April gradually become friends despite snarking	Ann	April	70	70	Intelligent	She invests in a complicated but rewarding friendship that aids both characters’ growth.
Ann becomes more attracted to Chris when he gets the flu	Ann	Chris	45	40	Bandit	Her heightened attraction satisfies her preference but is rooted in his misfortune and discomfort.
Andy intentionally delays getting his cast removed to keep Ann waiting on him	Andy	Ann	80	10	Bandit	He gains extra pampering at significant cost to Ann’s time and energy.
Ann dates many lame, unattractive boyfriends along with attractive ones	Ann	Lame boyfriends	30	45	Helpless	Her poor partner choices hurt her more than they help, while some boyfriends still gain relationship benefits.
Leslie calls Ann out on dating The Douche and similar guys	Leslie	Ann	70	70	Intelligent	Honest confrontation risks brief tension but ultimately helps Ann examine her choices.
