Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jaime pushes Bran out of the window to protect his affair and children	Jaime Lannister	Bran Stark	20	5	Bandit	Secures short-term secrecy for himself and Cersei but triggers a devastating war and cripples Bran.
Jaime kills King Aerys to stop the wildfire plot	Jaime Lannister	People of King’s Landing	30	95	Helpless	Sacrifices his honor and reputation while saving hundreds of thousands from burning.
Jaime attacks Ned Stark’s party in the street over Tyrion’s arrest	Jaime Lannister	Ned Stark and men	35	10	Bandit	Tries to avenge Tyrion by force, gains no real advantage and harms Stark household.
Jaime kills Jory Cassel in front of Ned	Jaime Lannister	Jory Cassel	30	10	Bandit	Escalates the feud and hurts Ned emotionally without achieving strategic benefit.
Jaime spares Ned after his man stabs Ned in the leg	Jaime Lannister	Ned Stark	60	60	Intelligent	Protects his own sense of honor while avoiding needless escalation by killing a wounded rival.
Jaime kills his young cousin Alton to escape captivity	Jaime Lannister	Alton Lannister	25	5	Bandit	Gains a chance at escape at the price of kinslaying and lifelong guilt.
Jaime tries to escape Robb Stark’s camp, killing Rickard Karstark’s son	Jaime Lannister	Stark camp / Karstarks	25	10	Bandit	Gets a brief escape but worsens his own position and fuels Stark hatred.
Jaime warns Brienne not to fight the Bolton men planning to rape her	Jaime Lannister	Brienne of Tarth	55	40	Intelligent	Attempts to preserve her life and avoid needless slaughter while also keeping himself safer.
Jaime convinces Locke not to rape Brienne, arguing she’s worth more untouched	Jaime Lannister	Brienne of Tarth	60	70	Intelligent	Uses cunning to protect Brienne without endangering himself, gaining Locke’s favor.
Jaime goes back to Harrenhal to rescue Brienne from the bear pit	Jaime Lannister	Brienne of Tarth	45	75	Intelligent	Risks himself and his standing with Bolton men to save her, but succeeds and strengthens their bond.
Locke cuts off Jaime’s sword hand out of spite	Locke	Jaime Lannister	80	5	Bandit	Inflicts huge harm on Jaime’s value and identity while gaining status and petty satisfaction.
Jaime descends into despair and refuses to eat after losing his hand	Jaime Lannister	Jaime Lannister	10	50	Stupid	Harms his own health and recovery with no benefit to anyone.
Jaime hones his left‑handed fighting and adopts more defensive tactics	Jaime Lannister	Jaime Lannister	65	55	Intelligent	Rebuilds competency and survivability, mildly benefiting allies who rely on him in battle.
Jaime uses his golden hand as an improvised shield in combat	Jaime Lannister	Enemy combatant	70	55	Intelligent	Creatively exploits his handicap to survive and remain effective in a fight.
Jaime is fitted with an ornamental golden hand instead of a hook	Lannisters (Qyburn/armorer)	Jaime Lannister	55	45	Intelligent	Restores status and some utility, though it’s less practical than alternatives.
Jaime kills a guard and briefly escapes while prisoner	Jaime Lannister	Stark guard	40	30	Bandit	Gains a short-lived escape at cost of reigniting hostility and making his captors harsher.
Jaime returns alone to Winterfell to fight the dead	Jaime Lannister	Defenders of the North	55	80	Intelligent	Risks facing enemies and judgment but increases the North’s military strength.
Jaime apologizes to Bran for pushing him and admits he’s changed	Jaime Lannister	Bran Stark	60	70	Intelligent	Improves his own moral clarity and preserves fragile alliance by acknowledging guilt.
Bran chooses not to reveal Jaime as his attacker so Jaime can fight	Bran Stark	Jaime Lannister	60	80	Intelligent	Secures a needed warrior for the battle while relinquishing personal vengeance.
Jon, Sansa, and Dany accept Jaime’s service after Brienne vouches	Jon/Sansa/Daenerys	Jaime Lannister	65	75	Intelligent	Gain a skilled commander with minimal cost by prioritizing survival over revenge.
Brienne publicly defends Jaime at Winterfell’s hearing	Brienne of Tarth	Jaime Lannister	60	70	Intelligent	Spends her reputation to keep a proven ally in the fight, benefiting him and the cause.
Jaime knights Brienne before the Long Night	Jaime Lannister	Brienne of Tarth	70	85	Intelligent	Strengthens her morale and status while enhancing his own partial redemption.
