Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He temporarily fills in as City Manager during the budget crisis	Chris	City government / staff	86	88	Intelligent	Steps into leadership in a crisis, stabilizing the city and advancing his own career.
He takes the City Manager position permanently	Chris	Chris	90	80	Intelligent	Secures a powerful role he’s good at, benefiting both himself and the administration.
He refuses to play favorites in government	Chris	City employees / citizens	82	88	Intelligent	Maintains fairness and integrity, preserving trust and his own credibility.
He makes time to listen to Parks Department problems	Chris	Parks Department staff	78	82	Intelligent	Invests effort to support subordinates, building loyalty and solving issues.
He reminds the Parks Department of his authority when needed	Chris	Parks Department staff	70	72	Intelligent	Uses authority to ensure necessary work gets done, with some friction but net benefit.
He offers Ron the assistant city manager position	Chris	Ron	78	70	Intelligent	Gives Ron a career opportunity and potential organizational support.
He tells Ron he must actually lead the department if he stays	Chris	Ron	75	80	Intelligent	Holds Ron accountable, improving leadership behavior despite short-term discomfort.
He launches a formal investigation into Leslie and Ben’s relationship	Chris	Leslie and Ben	40	35	Bandit	Protects institutional integrity and himself at significant cost and stress to the couple.
He refuses to half‑ass Leslie’s ethics trial despite caring for them	Chris	Leslie and Ben	45	38	Bandit	Overzealous rigor hurts them more than it helps anyone, while preserving his rule-bound identity.
He clearly warns Tammy Two not to lie under oath	Chris	Tammy Two	78	85	Intelligent	Deters perjury, safeguarding the process and his own legal/ethical position.
He intimidates Tammy Two into recanting and leaving	Chris	Tammy Two / trial	75	80	Intelligent	Removes a dishonest witness, protecting the trial and himself from tainted evidence.
He prepares to physically confront Jamm at the wedding	Chris	Jamm	55	40	Bandit	Defending Leslie’s honor would emotionally satisfy him but escalate harm; Ron preempts it.
He scolds the Parks Department for goofing off instead of fixing the fountain	Chris	Parks Department staff	65	68	Intelligent	Applies negative feedback to restore focus and responsibility.
He makes a vegetable loaf instead of cake for April and Andy’s party	Chris	Party guests	60	20	Bandit	Imposes his health agenda, gaining self‑satisfaction while disappointing everyone else.
He later criticizes Ron for ruining the employee appreciation barbecue	Chris	Ron / Parks Department	68	70	Intelligent	Points out misaligned priorities, improving future events despite prior hypocrisy.
He delegates bad‑news delivery to Ben as a strategy	Chris	Ben	70	25	Bandit	Shields himself from unpopularity while shifting reputational damage onto Ben.
He asks Ben “is there anything we can do about that?” then leaves him with the bad news	Chris	Ben / complainant	68	28	Bandit	Retains a benevolent image while forcing Ben to be the visible naysayer.
He adopts a hyper-polite full‑name, pointing greeting with new people	Chris	People he meets	60	55	Intelligent	Builds memorable rapport though occasionally off‑putting, mildly helping himself and others.
He accepts Andy’s admiration that he’d “pick a dude” as flattering	Chris	Andy	62	60	Intelligent	Responds positively, strengthening social bonds with no downside.
He is openly flattered when Jean-Ralphio suggests a threesome	Chris	Jean-Ralphio / Ann	60	55	Intelligent	Takes the compliment without escalating awkwardness, preserving social ease.
