Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Abed uses filmmaking as the way he connects with people and organizes his mind	Abed	Abed & friends	85	80	Intelligent	He gains clarity and relationships while others get understanding and emotional connection through his films.
Abed processes chaos by recording reality so he can rewatch and understand it	Abed	Abed	80	60	Intelligent	His coping method stabilizes him and incidentally produces material that can help others reflect.
Abed allows himself to be hit on by both women and men without distress	Abed	Suitors	75	65	Intelligent	He maintains options and comfort while not harming and sometimes validating others’ attraction.
Abed successfully seduces Annie when he wants to	Abed	Annie	80	55	Bandit	He proves his romantic efficacy and enjoys the encounter, while Annie’s benefit is unclear and potentially mixed.
Abed makes wiggly eyebrows at Jeff and Britta when the group checks for attraction	Abed	Jeff & Britta	65	60	Intelligent	He amuses himself and lightly teases them, easing tension without real harm.
Abed shoves someone in a locker as a kid	Abed	Bully victim	55	15	Bandit	He gains power/defense at another’s expense with no shown wider upside.
Abed predicts how anyone in the group will respond and makes movies of those scenarios	Abed	Study group	85	70	Intelligent	His modeling sharpens his skills and generates films that help others see themselves and situations.
Abed uses his predictions to figure out the women’s menstrual cycles	Abed	Britta, Annie, Shirley	70	20	Bandit	He optimizes his own interactions at the cost of privacy and creeping them out.
Abed manipulates Jeff and Britta to finish a student film that will help him patch things up with his father	Abed	Jeff & Britta	90	30	Bandit	He secures artistic and familial gains while putting emotional strain on Jeff and Britta.
Abed treats the group as “in a show” and pushes them into roles that feel written	Abed	Study group	65	40	Bandit	His narrative control comforts him but can constrain others’ agency and authenticity.
Abed delivers cutting analyses of people without softening them	Abed	Friends	60	35	Bandit	He satisfies his need for truth and clarity while often hurting others’ feelings.
Abed develops more empathy and sociability over several years with the group	Abed	Study group	85	85	Intelligent	He gains functional relationships and self-knowledge while becoming more considerate and supportive to others.
Abed wails loudly when distressed in Season 3	Abed	Nearby people	30	40	Helpless	His reaction evidences his suffering while mainly distressing or inconveniencing others.
Abed orchestrates events by nudging people into positions to reach an emotional endpoint	Abed	Study group	80	70	Intelligent	He gets the satisfaction of guiding arcs while others often achieve needed lessons or resolutions.
Abed designs elaborate experiences and roleplays to move people toward lessons	Abed	Study group	80	75	Intelligent	He enjoys structured play while helping others process emotions and conflicts.
