Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Flaca sells fake LSD (wet paper) at her school	Flaca	School peers	30	5	Bandit	She gains money/status from the scam while giving buyers worthless product and exposing them to risk.
A kid takes the fake LSD, believes it’s real, and injures himself	Kid who bought "LSD"	Himself	10	40	Helpless	He harms himself due to his own action, with no clear benefit to him but giving Flaca profit/validation.
Flaca’s fake LSD scam leads to her imprisonment	Flaca	Herself	5	40	Helpless	Her own fraudulent scheme backfires severely, sending her to prison while others mainly suffer fear/confusion.
Flaca convinces Maritza to film a makeup tutorial together	Flaca	Maritza	70	70	Intelligent	They both gain a fun project, bonding, and a possible platform without clear harm to others.
Flaca and Maritza start their “Flaritza” beauty-guru YouTube channel	Flaca	Online audience	80	80	Intelligent	They benefit from attention/identity while viewers get entertainment or beauty tips.
Flaca deliberately cultivates sounding “dumb” to attract insecure men	Flaca	Insecure men	40	30	Bandit	She gains romantic/sexual leverage while subtly manipulating and reinforcing others’ insecurities.
Flaca works on the prison newsletter using her strong grammar skills	Flaca	Newsletter readers	65	75	Intelligent	She exercises skills and gains esteem while improving the quality of information for others.
Flaca exploits Officer Bennett to obtain contraband	Flaca	Bennett	60	20	Bandit	She gains illicit goods at the cost of putting Bennett at professional and legal risk.
Flaca asks Bennett specifically for gay porn so as not to exploit women	Flaca	Gay porn actors (and women she avoids exploiting)	55	60	Intelligent	She still seeks contraband for herself but tries to align it with her ethical concern about not harming women.
Flaca organizes workers in Piper’s panty ring	Flaca	Workers in panty ring	70	65	Intelligent	Her organizing improves her own and other inmates’ position in an exploitative scheme.
