Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He and his ex-wife remain on friendly terms after divorce	Jay	DeDe	82	80	Intelligent	Maintaining a warm post-divorce relationship benefits both of them socially and emotionally.
They dance together at a wedding	Jay	DeDe	78	76	Intelligent	Choosing to dance together shows mutual comfort and gives both a positive social moment.
Jay grows more comfortable around Manny, Cam, and Phil over time	Jay	Manny/Cam/Phil	85	82	Intelligent	His emotional growth improves his own relationships and their comfort with him.
Jay will put himself through pain, misery or loss before admitting he might be wrong	Jay	Jay’s close relations	30	25	Stupid	His stubbornness harms him and strains others with no real compensating gain.
He is a very good stepfather to Manny and loves him dearly	Jay	Manny	90	88	Intelligent	Investing in Manny’s wellbeing strengthens their bond and Manny’s development.
He loves Gloria deeply and considers her son his own	Jay	Gloria and Manny	92	90	Intelligent	Emotional commitment enriches his own life and provides security and love to Gloria and Manny.
He dotes on Stella and keeps a butler dog mannequin he finds hilarious	Jay	Stella/household	75	70	Intelligent	Caring for a pet and expressing quirky humor brings him joy and lightens the household.
He confides things to Cam that he won’t tell anyone else	Jay	Cam	83	80	Intelligent	Trusting Cam gives him support and deepens Cam’s sense of importance and connection.
He absolutely dotes on his dog and takes an interest in dog shows	Jay	Stella/dog community	78	72	Intelligent	Active care and hobby engagement give him satisfaction and provide attentive care and interest around dogs.
He always means well and will do what’s right in the end	Jay	Family/others	88	86	Intelligent	Choosing the right action ultimately helps others and gives him moral and relational benefits.
Jay’s mother runs onto the field and yells at his coach to defend him	Jay’s mother	Jay’s coach	65	40	Bandit	She protects and comforts her son yet undermines the coach and the structure of the game.
Jay’s homophobia decreases slightly over time	Jay	Mitchell/Cam/others	70	68	Intelligent	Reducing prejudice eases his own conflicts and makes life easier for his gay family members.
He throws a lavish wedding for Cam and Mitch and calls them his sons	Jay	Cam and Mitch	93	95	Intelligent	Lavish support affirms his sons, improving their happiness and his connection to them.
He fusses over their crying adoptive daughter, who stops crying	Jay	Lily	80	88	Intelligent	Comforting his granddaughter soothes her and likely gives him emotional satisfaction.
He constantly gives Phil a hard time for not being “manly” enough	Jay	Phil	55	20	Bandit	He reinforces his own identity and amusement at the expense of Phil’s feelings and comfort.
Phil turns the other cheek to Jay’s teasing	Phil	Jay	40	65	Helpless	Phil protects the relationship by absorbing hurt, benefiting Jay while emotionally costing himself.
Jay does not receive emotional support from his father growing up	Jay’s father	Jay	60	15	Bandit	The father avoids emotional investment while significantly harming Jay’s emotional development.
Jay’s father calls him “Becky” when kissing him goodnight	Jay’s father	Jay	55	20	Bandit	The father amuses himself or is careless while undermining Jay’s sense of being seen and respected.
Jay’s father gives the promised fishing cabin to Becky instead	Jay’s father	Jay	60	10	Bandit	He favors another child or gains convenience while deeply betraying Jay’s trust.
Jay’s father makes him a sandwich and tells him to forget the girl after Jay is stood up	Jay’s father	Jay	75	78	Intelligent	He provides comfort and practical advice that helps Jay cope with rejection.
Jay’s father throws him into the lake to get him over fear of swimming	Jay’s father	Jay	45	35	Stupid	The harsh method risks physical/psychological harm and only dubiously helps with the fear.
Jay’s father refuses to grant him a start-up loan	Jay’s father	Jay	55	25	Bandit	He protects his own resources while blocking Jay’s opportunity, contributing to Jay’s resentment.
Jay tries hard to do better parenting Manny and Joe after recognizing past mistakes	Jay	Manny and Joe	92	90	Intelligent	Self-reflection and improved parenting benefit him emotionally and greatly help the younger kids.
