Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Kev reacts badly when called stupid (berserk button)	Kev	Person calling him stupid	30	20	Stupid	His overreaction likely strains relationships and gains him little or no benefit.
Kev and Veronica maintain a happy marriage	Kev and Veronica	Each other	85	85	Intelligent	Their mutual commitment and affection benefit both of them.
Kev is attracted to Veronica’s body	Kev	Veronica	70	55	Intelligent	His attraction supports their romantic and sexual bond with no indicated harm.
Veronica and Kev go through a rough patch in Season 5	Veronica and Kev	Each other	35	35	Stupid	The mutual conflict harms both and has no shown compensating benefit.
Veronica plays a sexy nurse in pornos with Kev	Veronica	Kev and porn audience	65	40	Bandit	She gains income/validation while catering to others’ sexual interests with unclear benefit to them overall.
Veronica prioritizes herself over her children in Season 5	Veronica	Her children	55	20	Bandit	She protects her own comfort while neglecting her children’s needs.
Veronica admits to Kev she never considered putting children’s needs first	Veronica	Kev	60	55	Intelligent	Honest admission may improve communication and help the relationship despite short-term discomfort.
Veronica gets frustrated when Kev focuses on the twins	Veronica	Kev	35	35	Stupid	Her jealousy stresses the relationship without improving her situation or helping the family.
Veronica acts protectively toward Ethel (Mama Bear)	Veronica	Ethel	65	80	Intelligent	Her protectiveness helps Ethel and reinforces Veronica’s caring identity.
Veronica struggles with being overwhelmed by the twins	Veronica	Herself	30	50	Helpless	Her difficulty harms her well-being while the twins still receive care and eventually benefit as she improves.
Veronica becomes more competent as a mother over time	Veronica	Her twins	70	85	Intelligent	Growing maternal competence helps her children and gives her confidence and stability.
Veronica patches up main cast members’ medical needs	Veronica	Main cast	70	85	Intelligent	Using her medical skills aids others and likely enhances her value and relationships.
Veronica stars in amateur porn with Kev to pay the bills	Veronica	Household finances	75	55	Intelligent	She gains needed income; others’ consumption is at least neutral or voluntarily beneficial.
Kev participates in amateur porn with Veronica to pay bills	Kev	Household finances	75	55	Intelligent	He also gains income and helps support the household.
Veronica, Kev, and Svetlana form a throuple	Veronica, Kev, Svetlana	Each other	70	60	Intelligent	The consensual polyamorous relationship provides mutual emotional/sexual benefits with no stated harm.
Veronica and Fiona drift apart in Season 7	Veronica and Fiona	Each other	40	40	Stupid	The loss of friendship harms both with no clear upside.
Veronica and Fiona more or less reconcile by the end	Veronica and Fiona	Each other	75	80	Intelligent	Rebuilding their friendship benefits both socially and emotionally.
