Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Makes New Year's resolution to "get more attention by any means necessary"	Kelly	Kelly	45	35	Bandit	Focus on attention over substance risks annoying others and offering little real gain beyond ego strokes.
Lets her "real self" come out at the office after initial modest, professional phase	Kelly	Co‑workers	60	45	Intelligent	Becoming comfortable and authentic likely improves her own comfort and social integration though it also brings more annoying traits.
Clingily fixates on Ryan in a jealous way	Kelly	Ryan	30	20	Stupid	Her jealousy strains the relationship and office dynamics without giving her lasting benefit or security.
Sabotages Jim and Dwight's customer reviews over missing her party	Kelly	Jim and Dwight	65	5	Bandit	She gains petty emotional satisfaction and possible leverage while directly threatening their bonuses.
Attracts and dates Ryan, Darryl, and Ravi	Kelly	Ryan, Darryl, Ravi	75	60	Intelligent	Having multiple relationships benefits her social/romantic life and at least somewhat benefits partners who choose to be with her.
Claims she would rather make out with Kevin or anyone from the warehouse during Michael’s roast, prompting cheers	Kelly	Kevin and warehouse workers	70	70	Intelligent	She boosts her own status in the roast and flatters coworkers who are pleased by the attention.
Hates and is embarrassed by her middle name	Kelly	Kelly	35	50	Helpless	Her self‑loathing about her name hurts only herself without affecting others.
Lies about being raped when she gets in trouble at work to get sympathy and avoid punishment	Kelly	Management / coworkers	80	0	Bandit	She routinely escapes consequences and gains sympathy while severely harming trust and trivializing real victims.
Attends Minority Executive Training course	Kelly	Kelly	55	55	Intelligent	Completing the course marginally improves her credentials and is at worst neutral to others.
Returns from training putting on a fake “smart” persona	Kelly	Co‑workers	40	35	Bandit	The shallow performance brings her little real gain and mainly irritates or misleads others.
Stole her ex‑boyfriend’s father’s boat as a teen, leading to juvenile hall	Kelly	Ex‑boyfriend’s father	10	10	Stupid	She seriously harms herself with detention and the owner via theft for no lasting benefit.
Throws a party and invites coworkers	Kelly	Coworkers	70	80	Intelligent	She gains social connection while providing enjoyment and inclusion for others.
Makes everyone personalized mugs as party favors	Kelly	Coworkers	65	85	Intelligent	She spends effort and resources but gains goodwill and stronger bonds while giving coworkers thoughtful gifts.
Maintains especially close rapport with Toby, including matching Halloween costumes	Kelly	Toby	70	70	Intelligent	The mutual friendship and shared activities benefit both socially.
Leaves the office to be with her fiancé and go to Miami University in Ohio	Kelly	Kelly’s coworkers	85	70	Intelligent	Pursuing education and relationship clearly benefits her and likely does not harm and may even emotionally please others who care about her.
