Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Selina treats her daughter much like her own abusive mother treated her	Selina	Her daughter	30	10	Bandit	She vents her issues on her child, retaining control/ego at the cost of her daughter's well-being and their relationship.
Selina takes greatest offense at a nickname implying she is sexually unattractive	Selina	Herself (reputation)	35	45	Helpless	Her fixation on sexual attractiveness exposes her insecurity and distracts her without affecting others.
Selina indignantly replies “I am 48” when Catherine announces her engagement	Selina	Catherine	40	40	Helpless	She centers herself, slightly harming her relationship while getting no real benefit.
Selina hems and haws about being called a grandmother	Selina	Catherine and family	40	40	Helpless	Her refusal to accept aging adds tension for no gain.
Selina secretly gets blepharoplasty and refuses to appear in public until healed	Selina	Herself (career)	45	55	Intelligent	Cosmetic surgery and recovery plausibly help her self-image and public image with minimal downside.
Selina denies having had the cosmetic operation when Minna compliments her	Selina	Minna	40	60	Helpless	Lying protects fragile vanity but undercuts trust and authenticity.
Selina is overjoyed her symptoms were a heart attack and not menopause despite doctor’s warning	Selina	Herself (health)	10	60	Helpless	She emotionally “wins” on vanity but endangers her life by trivializing a serious condition.
Selina deliberately obscures her true age for political advantage	Selina	Voters	60	35	Bandit	Age deception slightly benefits her electability while undermining transparency and trust.
Selina trades away freeing Tibet to become President	Selina	Tibetans/China/US public	65	5	Bandit	She secures the presidency at great human and diplomatic cost.
Selina’s obsessive pursuit of the presidency alienates everyone close to her	Selina	Family, staff, allies	15	10	Stupid	Her methods leave her lonely, tarnish her legacy, and give little enduring benefit.
Selina becomes President but is defeated after one term and eclipsed by Kemi	Selina	Herself (legacy)	25	55	Helpless	The short-lived victory leads to long-term diminishment of her place in history.
Selina idolizes and romantically/sexually engages with sleazy men like Andrew and Tom	Selina	Herself (life stability)	35	30	Helpless	Her attraction repeatedly ties her to unethical, risky partners who complicate her life.
Selina occasionally shows concern for her people but later screws them over for gain	Selina	Her staff and associates	55	20	Bandit	Any short-term support is outweighed by betraying them when convenient.
Selina confesses to hospitalized Ben that she needs him	Selina	Ben	60	70	Intelligent	Honest admission strengthens their bond and helps her secure capable support.
Selina alienates her team to win the presidency, ending up alone in the Oval Office	Selina	Her team	20	20	Stupid	She sacrifices all support networks for a hollow, isolating victory.
Selina has Gary take the fall for Andrew’s crimes	Selina	Gary	70	5	Bandit	She avoids legal/political risk by destroying Gary’s freedom and life prospects.
Selina never pardons or visits Gary after becoming President	Selina	Gary	50	5	Bandit	Maintaining distance shields her from possible scandal while leaving Gary to suffer.
Selina stops at nothing to buy the House vote, including colluding with China	Selina	US institutions, rivals, public	70	10	Bandit	She nearly gains/retains power at the cost of democratic integrity and national interest.
Selina blames others for her mistakes and can’t take criticism	Selina	Her staff	45	30	Helpless	She protects her ego but degrades her team’s morale and her own competence over time.
Selina sharpens her focus and runs a relentless, ruthless campaign to secure the presidency	Selina	Rivals (Tom, Kemi, Montez)	75	20	Bandit	She skillfully wins the office but through tactics that damage opponents and norms.
Selina refuses to offer Kemi Talbot the VP slot because she thinks America won’t want two women	Selina	Kemi, female representation	55	20	Bandit	She preserves her own perceived electability while suppressing another woman’s advancement.
Selina offers positions to Calhoun and Jonah in exchange for support and concessions ending same-sex marriage	Selina	LGBTQ+ people, rivals	60	5	Bandit	She boosts her nomination chances by sacrificing others’ civil rights and empowering unsavory allies.
Selina permanently overturns gay marriage to win the 2020 nomination	Selina	LGBTQ+ community (including Catherine)	60	0	Bandit	She dramatically advances her career by inflicting maximal legal and personal harm.
Selina excused female genital mutilation when her interests demand it	Selina	Girls/women abroad	55	5	Bandit	She preserves diplomatic/political advantages while denying protection to at-risk women.
Selina browbeats fellow politicians to keep them in line in “Congressional Ball”	Selina	Other politicians	70	40	Intelligent	Forceful whipping achieves legislative goals with limited collateral damage.
Selina sees through and averts Tom James’ schemes multiple times	Selina	Tom James	75	55	Intelligent	Outmaneuvering Tom protects her position and institutional balance.
Selina has an abortion/miscarriage and is relieved not to be an unwed mother (context: horror at pregnancy)	Selina	Potential child	45	50	Helpless	Her short-term relief avoids a difficult situation but deepens emotional turmoil and has ambiguous benefit.
Selina walks out of the Oval Office quietly after the House vote deadlock	Selina	Herself (composure)	55	65	Intelligent	Choosing restraint maintains dignity and lessens immediate fallout for others.
Selina shows concern for the President when Kent says he’s resigning	Selina	The President	60	70	Intelligent	Genuine concern and stability-seeking aid both her relationship and the administration.
Selina tells Ben that Jonah shooting himself isn’t funny, then asks about PR impact	Selina	Jonah	55	40	Bandit	Minimal human concern is quickly subordinated to self-image considerations.
Selina passes a law banning gay marriage in the finale	Selina	LGBTQ+ citizens	60	0	Bandit	She secures crucial delegates and power by stripping people of rights.
Selina uses Catherine and Marjorie’s baby in her campaign despite Catherine’s postpartum depression	Selina	Catherine, Marjorie, baby	55	15	Bandit	She gains emotional optics and votes while worsening Catherine’s mental health.
Selina torches Andrew’s car during their divorce	Selina	Andrew	40	20	Stupid	She gets catharsis but risks serious legal and reputational consequences for trivial material damage.
Selina repeatedly fires staff when she feels they’re no longer useful	Selina	Staffers	55	25	Bandit	She keeps flexibility and plausible deniability at the expense of others’ careers and loyalty.
Selina vetoes her own “clean jobs” bill when the President pulls support	Selina	Bill’s beneficiaries	35	30	Helpless	She preserves her standing with POTUS but loses a signature achievement and harms policy goals.
Selina takes the blame as scapegoat to save the President during scandals	Selina	The President/administration	20	65	Helpless	She protects the administration at high personal political cost.
Selina centers herself while telling Catherine “I know not everything is about me” in a room full of her own imagery	Selina	Catherine	40	30	Helpless	The hypocrisy slightly comforts her ego while further alienating her daughter.
Selina becomes incensed that Mike and Wendy are trying IVF during her campaign	Selina	Mike and Wendy	45	20	Bandit	She tries to control their family life to keep focus on herself, harming their autonomy for her comfort.
Selina uses her grandson as a campaign prop	Selina	Grandson, Catherine	55	20	Bandit	She gains emotional optics while disregarding family boundaries and Catherine’s condition.
Selina tells Dan and Amy to stop searching her nicknames after “Viagra Prohibitor”	Selina	Staff	50	45	Helpless	Shutting down the search limits further ego damage but deprives her team of potentially useful oppo intel.
Selina strategically shapes her public persona as polite/cheerful while being caustic in private	Selina	Voters	65	35	Bandit	She benefits electorally by deceiving the public about her real character.
Selina repeatedly shifts blame to staff for her mistakes	Selina	Staff	55	25	Bandit	Deflecting responsibility protects her career while undermining staff morale and reputations.
Selina appears on SNL to counter the “upper-class twit” satire	Selina	Her public image	65	60	Intelligent	Engaging with satire humanizes her and offers entertainment without significant harm.
