Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Trying to kill Christopher and his fiancée with a car bomb	Lorna	Christopher and his fiancée	5	0	Stupid	Extreme violence fails to secure a real relationship, gravely harms others and ultimately lands her in prison.
Running a mail-order scam	Lorna	Mail-order companies	40	20	Bandit	She gains money/products while defrauding companies, with legal risk that later harms her.
Living at her parents’ home as an adult	Lorna	Her parents	60	60	Intelligent	Mutually supportive, culturally normal arrangement with no shown harm.
Getting pen-pals to put money in her commissary	Lorna	Pen-pals	70	30	Bandit	She increases her prison comfort by extracting funds from trusting outsiders with little benefit to them.
Getting Vinnie to beat up Christopher by lying he harassed her	Lorna	Christopher	20	5	Bandit	She gains vicarious revenge and validation while causing harm and legal/physical risk to both Christopher and Vinnie.
Conning Vinnie into attacking her former stalkee	Lorna	Vinnie	25	20	Bandit	Vinnie acts under false pretenses and risks serious consequences while she gratifies her delusion.
Dating several men through a pen-pal service	Lorna	Pen-pal men	55	55	Intelligent	Reciprocal companionship is implied without clear harm beyond awkwardness.
Going to Christopher's house when he's out and bathing in his fiancée's veil	Lorna	Christopher and fiancée	10	5	Stupid	Risk of arrest and restraining orders for herself while terrifying and violating the couple’s privacy.
Refusing to consume Communion wafer as a child to avoid getting fat	Child Lorna	Herself	35	50	Helpless	She gains no benefit and arguably harms her own experience/relationship to faith over irrational body fears.
Relentlessly stalking Christopher after one date	Lorna	Christopher	10	5	Stupid	Obsession brings her legal trouble and no real relationship while severely distressing him.
Planting a bomb under Christopher's fiancée's car	Lorna	Christopher's fiancée	5	0	Stupid	Attempted murder yields prison and restraining rage with no actual romantic gain.
Threatening to choke Christopher's romantic rival on the phone	Lorna	Christopher's fiancée	10	10	Stupid	Threats escalate her danger and legal risk while only intimidating others.
Having sex with Nicky in prison	Lorna	Nicky	65	55	Intelligent	Both gain emotional and physical intimacy with no direct harm shown.
Cutting off the sexual part of her relationship with Nicky	Lorna	Nicky	50	45	Helpless	She protects her marriage ideal but loses genuine support and hurts Nicky, with little clear gain.
Having sex with Vinnie in the visitors’ room (allowed once)	Lorna	Vinnie	75	55	Intelligent	They consummate their bond and conceive a wanted child without shown negative consequences then.
Marrying Vinnie quickly (“fourth-date marriage”)	Lorna	Vinnie	60	55	Intelligent	Risky speed, but it provides mutual affection, support, and a future child.
Reaming Vinnie out because she believes he’s cheating	Lorna	Vinnie	30	30	Stupid	Unfounded rage strains her primary support system without bringing her any benefit.
Telling inmates she and Vinnie will start trying for a baby	Lorna	Other inmates	65	55	Intelligent	Shared hope boosts her morale and offers others something positive to rally around.
Talking incessantly about her son after birth and bonding with O’Neill	Lorna	O’Neill and inmates	70	70	Intelligent	Mutual support over parenting gives her joy and forges warm connections.
Sharing fake baby photos online and insisting her dead son is alive	Lorna	Online contacts and inmates	20	25	Stupid	Deepens her own delusion and misleads others, obstructing grief resolution for no real gain.
Convincing Suzanne and inmates to handle mental issues by willpower and withholding meds	Lorna	Suzanne and inmates	25	5	Stupid	She momentarily feels “empowering” but worsens others’ mental stability, as seen with Suzanne.
Admitting to Nicky that something is really wrong with her	Lorna	Herself	65	60	Intelligent	Self-awareness opens the door to responsibility and potential treatment, helping her and those around her.
Accepting that she is legitimately delusional (heel realization)	Lorna	Herself	70	65	Intelligent	Clear acknowledgment of illness is a major step toward managing her behavior and reducing harm to others.
Telling Vinnie she believes he kidnapped their supposedly-alive baby	Lorna	Vinnie	10	10	Stupid	Accusation destroys trust and precipitates divorce, deepening her isolation and hurting him.
Vinnie divorcing Lorna after her kidnapping accusation	Vinnie	Lorna	45	35	Bandit	He protects himself and their child’s memory at the cost of worsening her breakdown.
Lashing out at inmates and COs after her son’s death	Lorna	Inmates and COs	15	20	Stupid	Hostility worsens her own standing and mental state, and harms relationships and safety for others.
Refusing to accept her son’s death and insisting he’s alive	Lorna	Herself	10	30	Stupid	Denial blocks grief processing and reality testing, indirectly stressing those around her.
Dating via pen-pal services to “look for love in all the wrong places”	Lorna	Pen-pal men	55	50	Intelligent	Though poorly chosen, seeking connection offers her emotional hope without clear net harm to others.
Calling Mexicans and immigrants job-stealers/criminals	Lorna	Immigrants	40	30	Stupid	Her prejudice offers shallow ego comfort while poisoning relationships and adding no real benefit.
Ranting about immigrants despite her own immigrant background	Lorna	Immigrants	40	30	Stupid	Hypocritical xenophobia alienates others and contributes nothing meaningful to her life.
Interacting sweetly with Suzanne and Rosa despite biases	Lorna	Suzanne and Rosa	60	70	Intelligent	Kindness builds bridging relationships that help both her and them.
Refusing to give medications to inmates during the riot	Lorna	Inmates needing meds	15	5	Stupid	Her anti-medication stance yields her no concrete benefit and seriously endangers others’ mental health.
Breaking off make-up and hair care after Nicky is sent to Max	Lorna	Herself	30	50	Helpless	Neglecting self-care harms her own well-being while not affecting others much.
Dating Christopher once and then pursuing a fantasy engagement	Lorna	Herself	30	40	Helpless	She builds her identity around an illusion that ultimately unravels and devastates her.
